Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,lineexcel,linemore,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,linegametime,lineexcel2,linelinx,lineturner2,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Minnesota,New Orleans,3,1.91,3.86,4,3.18,1.79,,5,1.5,1,0.71,8.55,3.59,-2.01,3.05,1.91,4.77,-0.26,9.72,3,3,,1.9,1.91,1.91,1.9,3,3.5,-5.46,,1.54,,-3.21,0.3,,1.89,4.2,-2.23,1.29,5.7,1.91,-2.8,2.5,0.01,2,-3,0.7,2.33,1.7,3,,-4.5,1.6,5.23,3.9,1.55,4,4,,,2.91,-6.88,2.47,5.32,3.2,2.54,2.66,2.9490130068,19,29,1
New England,Kansas City,9,10.43,7.94,4,6.32,7.08,,10,12.5,9,12.25,-7.46,8.46,9.28,6.75,10.43,4.82,2.49,-5.19,12,9,,7.5,10.43,10.43,7.4,9,7,17.02,,6.66,,5.58,5.9,,5.89,7.7,1.55,8.22,9.2,7.4,8.2,9.4,3,7,14.1,8.9,8.57,6.9,8,,6,2.6,9.5,6.37,-0.4,6,5,,,6.7,6.86,8.05,8.18,8.4,5.62,5.29,4.2427811441,42,27,1
San Francisco,Carolina,-5,-8.97,-5.97,-4,-5,-5.41,,-5,-8,-9,-5.26,3.29,-3.13,-9.29,-1.3,-8.97,-6.52,-13.92,-11.25,-7,-5,,-4.9,-8.97,-8.97,-3.7,-6,-3.5,-11.78,,-7.32,,-4,-4.2,,-4.9,-3.4,-7.49,-7.66,-4.7,-5,-12.6,-7.1,-4,-2,-8.8,-6.1,-3.77,-3.9,-4.5,,-2.5,-6,-4.53,-9.48,2.55,-3,-5,,,-4.44,-1.75,-6.89,-5.36,-5.1,-1.52,-3.66,3.5502266901,23,3,1
Tennessee,Oakland,2.5,-2.54,1.98,-1,-3,0.71,,0.01,5,-2,3.5,9.77,2.32,1.83,2.54,-2.54,0.69,-3.33,-2.02,0.01,2.5,,1.3,-2.54,-2.54,-1.3,1.5,-1.5,5,,-0.39,,0.04,0.5,,-0.51,-2.2,-1.2,-0.64,1.5,0.2,-3.9,2.1,0.01,-1,4.4,2.6,1.55,-1.2,2.5,,2.5,1,1.38,-3.01,-0.25,3,-1,,,-0.14,0.52,3.69,1.16,0.2,1.55,0.29,2.8786538875,26,16,1
Washington,Philadelphia,-1,0.95,-1.4,3,-1.01,1.52,,0.01,-3.5,5,-1.18,1.05,1.65,0.05,2.24,0.95,3.41,1.58,8.17,1,0,,0.1,0.95,0.95,2.5,-1,3,-1.23,,2.49,,4.29,1.3,,3.89,3.5,5.19,0.62,1.4,1.4,2.7,3.9,1,2,-1.8,1.3,1.48,1.9,1,,4,-1.3,1.17,2.45,2.3,2,1,,,1.34,5.46,3.48,-1.95,1.4,2.57,1.51,1.7971299568,30,17,1
Atlanta,Green Bay,3,0.92,6.91,1,6.42,4.11,,2,5.5,8,10.29,11.1,6.64,4.62,5.94,1.06,2.9,-2.61,1.47,11,3,,0.9,1.05,0.83,4.3,3,3,,,6.38,,3.68,-0.7,4.9,3.84,2.5,0.43,4.36,0.4,4.1,4.5,3.9,0.01,5,8.2,3.9,2.98,5.1,2.5,,7,1,3.02,6.14,-9.95,3,8,2.17,,5.85,8.47,1.71,1.87,2.1,4.67,3.18,3.6590784868,23,34,2
Baltimore,Cleveland,7.5,12.39,12.22,8,15.36,11.97,,10,9,12,12.39,11.94,13.4,13.32,9.46,12.41,16.4,15,14.15,16,8.5,,9.1,12.59,12.26,11.6,9,7,,,11.67,,11.9,10.8,24,15.84,11.5,11.28,16.04,11.7,11.92,14.2,17.6,9,9,15.4,8.7,7.16,11.5,8,,6,5.9,12.17,17.11,15.05,11,11,15.52,,11.24,6.94,12.25,6.34,11.3,7.01,9.1,3.4050175203,10,24,2
Carolina,Buffalo,6.5,8.1,2.6,4,4.16,6.17,,11,20.5,2,4.81,8.5,0.29,8.69,1.31,7.61,5.27,5.12,1.24,8,6.5,,7.1,7.61,8.47,7.1,7,7,,,4.24,,3.37,6.6,4.9,3.84,5.1,6.77,4.43,8.6,5.63,2.3,11.3,4,4,14.6,6.5,1.98,7.3,8,,4.5,3.7,9.58,8.4,12.3,9,2,5.99,,7.68,0.13,5.44,7.57,5.9,3.09,5.82,3.620621082,3,9,2
Cincinnati,Houston,6,3.12,2.95,4,6.96,4.33,,-1,9.5,-1,7.09,7.21,6.47,4.28,4.85,3.21,2.56,2.37,3.83,10,6,,3.1,3.28,3.02,3.5,6,3.5,,,5.5,,8.42,1.1,3,4.83,2.9,-4.1,6.77,4.3,4.4,4.3,7.3,5,5,7,2.2,5.74,4.5,4.5,,2.5,1.4,5.14,6.5,7.8,2.5,-1,0.13,,6.42,5.67,1.42,5.29,3,4.51,2.71,2.4520183443,13,9,2
Denver,Dallas,-3,0.02,-1.12,4,1.13,-0.59,,-1,-11,-4,-2.43,2.34,-0.1,-1.18,1.14,0.44,-1.58,1.61,-0.37,-1,-2.5,,-1.9,0.4,-0.26,-1.1,-3,-1.5,,,3.06,,3.31,-1.7,3,-1.37,-0.1,-1.13,-2.35,0.2,-1,2.4,-3.9,3,1,-3.1,-4.2,-4.21,-1,-1,,2.5,-1,-2.06,-6.52,6.15,2,-4,-1.86,,-3.07,-3.78,-2.72,-2.64,-0.3,1.92,-0.62,2.9492920919,17,42,2
