Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,lineexcel,linemore,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,linegametime,lineexcel2,linelinx,lineturner2,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Minnesota,Tampa Bay,0,-0.06,0.41,3,2.03,-1.09,3.17,1,-3,-3,-1.13,-1.64,-13.97,-1.85,-11.24,-0.54,-2.28,-1.26,7,1,0,,-1.9,-0.56,0.26,-0.5,2.5,1.5,-2.29,,0.55,,-1.72,-1.9,0.12,1.86,0.7,7.55,-5.27,2.6,-0.56,-0.8,-4,1,3,-1.9,4,-1.64,-1.1,4,-7,1,-1.3,1.73,-7.13,-4.5,1.5,-3,-1.72,,0.7,-8,0.56,1.02,2.2,3.09,0.35,3.4926888598,17,34,3
N.Y. Jets,Miami,-6,-8.36,-1.24,-0.25,-2.86,-4.96,-9.25,-3,-14.5,-7,-6.03,-7.52,-9.61,-6.15,-5.18,-9.43,-7.01,-7.02,5.88,-4,-6,,-6.3,-9.44,-7.62,-5.4,-6,-6.5,-7.22,,-2.01,,-5.18,-6.6,-8.31,-4.13,-6.1,-13.7,-8.34,-4.3,-5.4,-5.8,-6.1,-1,1,-5.8,-3.9,-6.48,-5.3,-3.5,4,1.5,-4.1,-6.18,-9.3,-4.2,-3,-5,-5.6,,-3.37,-1,-1.01,-8.76,-2.6,0.83,-2.14,3.3743725042,6,20,3
New England,Houston,13,13.61,13.36,8,15.57,12.72,5.31,10,29,8,19,19.53,13.09,14.56,8.78,13.24,5.96,6.2,8.71,18,13,,10.2,13.15,13.96,12,13.5,12,20.64,,12.96,,13.64,7.3,3.08,14.46,12.1,2.92,18.75,12,12.96,14.6,18.1,9,13,18.9,9,12.88,12.4,12.5,19,6,4.1,15.45,15.22,11.7,8,14,7.88,,12.5,23.5,6.14,12.35,11.3,8.71,9.53,5.1191673667,33,36,3
Philadelphia,N.Y. Giants,4.5,4.68,0.92,5,7.82,8.27,6.03,5,10,10,13.12,11.14,18.64,16.2,15.24,3.76,10.28,9.9,7,10,4.5,,6.3,4.13,5.08,4,6,5.5,13.1,,7.33,,2.96,7.2,13.94,4.97,2.5,14.14,17.36,5.4,6.53,14.6,17.9,7,5,17.1,1.7,4.6,5.3,3,21,6.5,-1.7,6.64,-0.21,15.7,5.5,14,3.81,,5.71,20.5,6.53,-0.02,1,2.98,5.4,5.557863201,24,27,3
San Francisco,LA Rams,-3,-1.33,1.15,-1,-0.67,-1.67,-6.11,2,6,-5,2.44,3.81,-19.24,-2.01,-9.75,-0.5,-6.44,-5.77,-7,4,-2.5,,-1.5,-0.7,-1.74,3.8,-3,-3,2.73,,-0.73,,3.44,-1,-5.58,-0.94,3.3,-1.38,-9.31,-1.9,-0.94,-3.9,-1.5,-1,1,1.5,-4.3,-1.56,3.9,0.5,-1,0.5,-1.4,-2.04,-2.26,-7.05,1,-7,-2.44,,0.22,-25,-0.61,-6.83,1.8,2.99,-0.54,5.3294840144,41,39,3
Tennessee,Seattle,2.5,-0.55,2.84,-1,-4.28,2.33,0.89,1,2,6,2.96,1.59,11,8.13,7.37,-1.32,-9.47,-11.12,-7,0.01,2.5,,2.1,-1.16,-0.12,2.9,2.5,1,2.71,,0.46,,-5.59,1.6,3.36,-1.13,2.8,-13.45,9.94,1.4,1.59,5.2,11.8,-2,-5,8.7,7.5,-3.61,3,2.5,30,8.5,-1.6,3.24,1.44,4.8,4,7,-0.55,,-1.97,18,-8.48,3.57,-1.1,-0.29,1.01,6.4831948431,27,33,3
Washington,Oakland,-3,-2.6,0.17,-0.25,-2.27,-3.06,2.19,-5,-10,-5,-2.45,0.19,-9.5,-5.91,-7.03,-2.13,-5.48,-4.21,-1.29,-1,-3,,-3.4,-2.28,-2.84,-2.5,-3,-3.5,-4.7,,-1.26,,0.65,-3.8,-3.05,-0.94,-3.6,9.15,-5.31,-3.4,-2.45,-8.5,-10.2,-1,1,-1.1,-10.3,-4.16,-1.9,-0.5,-1,2.5,-2.6,-0.31,-4.68,-1.75,-3,-6,-1.08,,-1.04,-11.5,-6.12,-4.48,-1.5,2.96,-2,3.3027704949,10,27,3
Arizona,San Francisco,6,9.32,10.02,8,,8.27,3.49,8,12.5,4,12.17,16.26,4.68,5.85,4.04,9.82,0.24,0.27,-7,13,6,,7,7,9.72,10.1,6.5,7,15.14,0.34,10.31,,10.79,7,14.72,14.19,10.6,7,5.13,9.8,8.27,11.4,12.5,6,11,8.4,4.7,5.96,10,7,2,8,6.2,9.35,13.94,4.55,6,9,12.97,,0.9,3.67,6.09,-1.89,8.9,8.27,7.52,4.0869995222,15,18,4
Atlanta,Buffalo,7.5,8.86,11.7,5,,9.31,5.96,10,19,11,10.23,20.54,2.53,8.98,2.93,9.38,-0.2,-0.15,-10.52,16,7.5,,7.7,7.42,9.11,10.3,7.5,8,16.47,1.14,9.57,,13.33,7.4,7.78,9.79,9.5,9.41,7.18,8.6,9.5,11.5,11.1,5,6,15.1,14.6,9,10.4,9.5,7,10,6.5,10.44,17.1,6.85,9.5,11,11.28,,1.85,14.33,0.23,8.11,10.1,6.45,8.75,4.7744247754,23,17,4
Baltimore,Pittsburgh,-3,-1.88,-0.57,-1,,-1.05,4.76,-2,4,-5,0.98,-0.26,-3.43,0.67,0.31,-1.68,1.92,1.86,4.61,2,-3,,-1.1,-2.46,-2.09,-1.5,-3,-2,-3.45,0.64,-0.52,,2.97,0.9,2.43,-2.11,-1.7,-2.79,-2.3,-1.6,-1.1,-6.6,-2.3,1,1,-3.3,-3,-2.43,-0.8,-1,-2,0.5,-4.8,-1.95,-2.31,-1.3,0.01,6,-0.83,,-3.28,-2.33,-12.68,-2.2,-4,0.92,-1.8,2.7260734555,26,9,4
Cleveland,Cincinnati,-3.5,-2.41,-8.72,-1,,-1.02,2.93,1,-6.5,-9,-1.91,-3.94,7.67,4.67,5.65,-2.39,3.11,2.89,15.98,-5,-3,,-1.4,2.1,-3.48,-1.2,-3,-4,-3.42,1.94,-4.65,,-1.27,0.3,7.04,-6.51,-1.3,7,-0.56,-2,-1,1.8,5.2,0.01,-6,-1.5,-0.6,-2.8,-1,-1,4,0.01,-6.4,0.31,-12.89,5.65,-0.5,-10,-6.46,,2.02,9.67,3.1,-2.56,-1.2,-2.55,-0.97,4.4267661081,31,7,4
Dallas,LA Rams,6,9.33,16.34,5,,8.25,1.43,11,23,12,16.75,18.34,-3.55,7.5,-0.47,9.47,-1.04,-2.16,-7,17,6,,8.8,6.6,10.28,15.7,6,8,20.01,0.74,12.45,,9.72,9.2,4.01,16.39,14.6,7,2.2,7.5,8.9,1.9,10.4,6,6,12.6,5.2,6.5,15.8,10,-4,5.5,8.9,8,16,-0.35,6.5,14,11.11,,-0.63,-12.33,-1.14,2.93,8.8,8.45,9.24,7.0379785151,35,30,4
Denver,Oakland,3.5,1.39,3.26,4,,3.15,8.89,3,-0.5,7,5.11,6.94,2.93,-1.04,2.71,0.79,-1.76,0.22,-1.02,6,3.5,,2.6,2.9,1.23,2.2,3,2.5,0.61,-2.46,3.95,,9.31,2.7,2.48,0.79,1.1,0.13,2.04,2,2.6,7.4,1.3,6,7,7,8.3,1.8,2.7,0.5,-1,1,1,2.6,2.95,3.4,1.5,9,2.6,,-3.34,2.33,14.78,0.85,0.01,3.54,1.81,3.2778465473,10,16,4
Green Bay,Chicago,7,10.43,12.42,8,,9.64,1.62,12,12.5,18,13.47,17.02,10.75,3.61,7.01,10.66,1,1.17,3,14,7,,7.2,6.19,12.12,10.8,7,7.5,16.77,2.54,10.87,,14.82,7.5,7.52,15.09,11.4,7.92,7.4,11.7,10.43,7.6,10.5,8,13,12.2,5.6,7.23,10.6,9.5,-1,5.5,11.3,13.48,18.04,8.1,9.5,20,11.62,,5.33,8.67,-1.81,2.02,8.6,7.52,9.44,4.6059999798,14,35,4
Houston,Tennessee,-2.5,-0.22,-0.48,-0.25,,-2.38,-0.18,1,-1,4,-0.01,0.62,-8.51,-7.07,-3.37,-0.09,-13.6,-11.83,-7,3,-2.5,,-0.9,-4.71,0.9,-0.1,-2,-1,2.33,-11.26,0.7,,2.71,-0.3,-1.55,0.19,0.1,-7,-8.5,0.2,-0.3,-6.5,-9,0.01,2,0.7,-3.5,-1.87,-0.1,-0.5,-14,-1,-1.6,-2.88,-1.63,-13.4,0.01,1,1.35,,-9.91,-9,-5.22,-3.37,-1.6,2.73,0.17,4.6710961308,14,57,4
Kansas City,Washington,6.5,6.94,2.48,8,,7.79,-1.13,9,18,5,12.77,15.38,8.87,12.69,7.42,7.32,3.2,2.64,7,12,6.5,,6.5,6.5,6.98,8.1,6.5,7,13.12,8.24,8.84,,10.6,6.4,7.17,7.09,8.5,10.43,10.84,9,8,11.1,13.5,8,6,11.9,6.8,7.04,8.2,8,4,-1,3.2,8.74,13.71,10.2,8,1,8.74,,5.64,9.33,-7.31,6.14,8,4.58,7.27,4.2867707862,20,29,4
LA Chargers,Philadelphia,1.5,-2.68,-0.78,-4,,-3.58,-3.24,-3,-7.5,-8,-3.94,-7.58,-6.52,-8.77,-2.11,-3.64,-6.01,-4.89,-7,-3,0.5,,-1.7,-4.93,-1.3,1.8,1.5,1,-8.58,-8.96,-2.11,,-5.8,-4.5,-13.57,-0.81,2.5,-7,-5.69,-0.7,-3.24,-6.8,-10.6,-2,1,-6.7,4.8,-1.74,0.9,-1,-4,5.5,-1,1.02,-13.67,-7.3,-1,2,-6.87,,-4.65,-7.67,5.13,1.89,-2.9,2.2,-2.32,4.2111018002,26,24,4
Miami,New Orleans,-4.5,-3.59,-1.76,-2,,-4.31,-1.94,-5,-11,4,-5.25,2.03,-6.45,-3.51,-3.41,-2.9,-12.95,-11.18,1.03,-6,-4.5,,-2.6,-6.85,-3.25,-3,-3,-2,-9.68,-5.4,-4.46,,-4.91,-2.4,2.39,-2.9,-1.8,-0.1,-9.63,-2.8,-3.48,-11,-3,-3,-1,-15.3,-7.7,-2.59,-3.6,-1.5,-14,-6.5,2.3,-3.79,-3.48,-20,-2,-4,-0.47,,-5.23,-4.33,3.65,-22.1,-1.6,1.49,-2.78,4.7462724055,20,0,4
Minnesota,Detroit,2.5,3.23,7.72,3,,2.78,5.09,3,14,-2,4.19,1.39,0,-0.75,1.67,3.29,-0.77,-1.22,7,4,2.5,,0.6,3.46,3.12,1.1,2.5,1,3.77,0.64,3.93,,0.12,0.6,3.35,4.19,0.4,1.95,2.75,3.7,3,1.9,5.1,1,5,4.2,10,1.37,1.4,2.5,4,0.5,2.9,5.25,5.79,1.15,3.5,6,0.76,,5.84,-2.33,3.81,-0.77,2,3.8,-1.54,2.8507836835,14,7,4
N.Y. Jets,Jacksonville,-3.5,-2.18,0.71,-1,,-4.65,-1.21,-1,-10.5,-1,-2.67,-9.26,-14.14,-3.28,-6.37,-2.47,-16.15,-16.46,-7,-3,-3.5,,-3.6,-2.9,-4.27,-2.5,-3,-3.5,-4.16,-5.46,-1.21,,-11.73,-3.8,-1.44,-1,-3.2,11.25,-12.48,-6.1,-3.1,-16.7,-3.1,-2,3,-12.4,-5.5,-3.23,-2.5,-1.5,-11,0.5,-1.3,-7.33,-5.3,-9.55,-2.5,-4,2.21,,-7.27,-10.33,1.83,-7.65,-0.8,1.88,-0.69,4.9884240281,20,23,4
New England,Carolina,9,9.06,14.39,5,,8.55,2.48,10,19.5,12,13.29,13.13,1.36,8.08,2.16,9.73,-0.33,-0.73,-7,14,9,,6.9,9.37,9.78,9.5,9,8,18.72,5.54,8.88,,12.92,4.8,3.09,10.2,10.8,16.36,9.22,9.9,9.06,8.7,14.1,5,11,15.7,4.5,9.49,9.1,8.5,9,4,4.3,10.69,12.44,6,6.5,12,9.12,,5.88,20,-14.14,9.76,8.7,7.65,7,5.5023019641,33,30,4
Seattle,Indianapolis,13,9.05,4.03,6,,8.36,3.42,11,6.5,13,5.08,6.05,8.68,8.85,5.55,8.7,9.51,9.98,7,8,12,,8.8,7.77,9.85,9.1,13,13,8.8,8.94,6.15,,7.68,4.6,3.97,12.09,8.9,1.52,13.34,11.1,8.7,11.8,13.1,9,7,8.4,12.1,12.96,8.7,9.5,13,-0.5,8.7,17.64,2.24,12.65,9.5,13,7.96,,14.63,0.33,-1.75,12.26,11.7,4.34,8.48,3.7647612711,18,46,4
Tampa Bay,N.Y. Giants,2.5,5.53,-1.76,5,,5.43,1.98,4,6,-3,8.37,9.89,16.98,6.04,10.13,5.8,6.75,6.99,7,6,3,,3.4,6.21,5.26,3.7,3,4,7.06,5.94,4.99,,3.35,3.8,12.92,3.09,2.8,-1.29,9.55,4.1,5.26,3.4,10.5,3,1,5.6,2.5,4.57,4.5,2.5,10,6.5,-2.8,4.94,2.08,10.2,5.5,2,3.03,,6.95,12.67,8.92,-1.91,1.1,2.34,5.87,3.7586678023,23,25,4
Chicago,Minnesota,-3,-3.1,-6.68,-3,,-3.52,2.53,-2,-1,1,-6.82,-5.68,-6.77,-5.08,-2.28,-3.14,-13.16,-11.81,7,-7,-3,,-2.8,-0.46,-4.25,-3.9,0,-2,-5.24,-8.16,-3.36,,-4.35,-2.5,-0.3,-2.67,-3.8,1.29,-8.79,-4,-3.36,-6.6,6,-2,-3,-7.4,-2.3,-0.83,-4.4,-4,-8,0.5,-2.6,-7.7,-7.28,-5.35,-3,5,-0.59,,-4.13,-2.5,4.45,-4.29,-3.4,-0.86,0.03,3.5080050863,20,17,5
Cincinnati,Buffalo,3,-0.59,-5.19,-3,,-1.47,3.33,2,8,-1,-1.92,0.5,-3.45,-10.28,0.13,-1.69,-16.61,-16.17,7,3,2.5,,0.1,-6.89,1.82,2.5,3,1,-1.72,-14.46,-1.79,,3.22,-2.8,-5.19,-0.37,2.7,-7,-10.16,4.6,0.1,-6.7,10.9,1,1,2.1,2.9,4.04,1.9,2,-12,2,1,1.8,-13.02,-8.65,3.5,-1,-2.8,,1.13,-0.25,2.14,3.83,-1.4,3.83,1.09,5.73589513,16,20,5
Cleveland,N.Y. Jets,-2,-2.35,-5.94,-6,,-2.75,-0.36,-1,4,-1,-1.33,1.13,-2.1,-12.79,-0.17,-1.52,-7,-7,-10.09,0.01,-2,,-0.6,-8.6,1.51,1.7,0,1,-5.06,-14.56,-4.85,,2.86,-2.8,-8.31,-0.87,2.4,-13.9,-13.37,2.7,-1,-7.5,12,0.01,-1,-3.7,-1.5,2.71,1.8,1.5,-13,-1,-1.7,3.12,-13.4,-10.25,1,-1,-9.63,,-0.83,-1,-7.98,-4.98,-2.2,1.03,-0.9,5.2267163799,17,14,5
Dallas,Green Bay,3,-0.58,0.38,-1,,-0.01,2.67,-1,-1,10,1.73,-1.51,-1.95,0.12,0.01,-0.47,-2.41,-2.59,7,0.01,2,,0.9,-1.53,-0.37,1.8,2.5,2.5,-1.54,-0.26,1.13,,-6.23,-0.3,0.24,1.33,0.7,-9.46,-1.69,0.4,0,-5,-0.4,1,2,-3.5,7.3,0.36,2,3.5,-2,0.01,1,1.34,-6.53,-2.3,-0.5,8,-1.34,,1.91,0.01,-8.71,1.85,0.7,2.75,1.73,2.9086643502,35,31,5
Detroit,Carolina,2,2.16,4.88,2,,2.52,-1.01,5,-9,-1,3.19,3.84,7.23,7.15,5.22,1.55,-0.41,-1.74,-7,5,2,,3.6,6.45,1.35,5,2.5,3,2.31,1.64,1.12,,-1.4,4.2,2.87,1.23,6.3,1.65,2.85,3.4,2.87,5.3,-4.7,1,2,8.6,0.8,2.16,4.9,4,5,2,6.4,3.14,2.47,6.4,3.5,3,4.56,,2.5,7.25,-15.66,3.23,2.1,1.52,3.86,3.9569175511,27,24,5
Houston,Kansas City,-1.5,-2.85,-7.06,-5,,-3.94,8.78,-1,-2,-4,-6.77,-10.39,-0.83,-10.81,-0.77,-4.37,-13.83,-14.05,7,-3,-1.5,,-2,-2.96,-1.88,-1.7,-1,0,-2.33,-14.56,-7.2,,-2.73,-2.6,-3.26,-4.07,-1.3,-16.98,-8.2,0,-3,-7.2,10.2,-3,-4,-0.8,-1,-1.79,-2.5,-2,-5,3.5,-4.4,-3.74,-12.38,-6.65,-0.5,-8,-2.95,,-2.59,-1,-1.33,-2.26,-5.8,-0.56,-3.13,4.6500961307,42,34,5
Indianapolis,San Francisco,1.5,4.99,-2.22,4,,1.36,0.17,4,6,3,5.95,12.26,-0.95,-3.47,0.08,5.94,-13.67,-13.52,-7,5,1.5,,2.1,3.68,4.67,4.4,1.5,1.5,8.32,-5.96,4.96,,1.9,2.8,9.72,2.43,5,9.65,-9.54,3.1,2.8,-4.7,-1.5,1,7,-0.5,-4.5,0.09,3.9,3.5,-11,4,1.2,1.53,4.02,-5.95,1.5,-3,9.5,,0.04,3.25,-13.42,-6.08,-0.3,6.79,2.85,5.9358378456,23,26,5
LA Rams,Seattle,2,-1.98,5.92,2,,-0.27,0.01,-4,-10,-11,-3.12,0.25,4.8,5.9,3.81,-2.19,4.9,5.24,7,-7,1.5,,-0.3,2.76,-3.6,-7.2,0,1,-5.44,5.94,-2.77,,-8.52,-2.6,6.44,-3.97,-7.5,11.66,5.74,-2.1,-1.5,5.4,-3.8,-2,-4,-3.1,10,-6.64,-6.7,-0.5,8,1.5,-6.1,-3.42,14.47,7.6,-1.5,-4,0.04,,3.34,14,-0.6,3.03,-1.2,-3.42,-2.12,5.6900509891,16,10,5
Miami,Tennessee,1.5,1.11,-2.54,1,,-1.77,-1.71,-2,-7,2,-1.69,-1.58,-4.63,-4,-3.22,0.65,-8.37,-8.64,-7,2,1,,-2.4,0.38,1.68,1.1,-1,-3,-3.84,-5.36,-1.18,,2.39,-1.8,1.41,-0.47,1,1.34,-5.93,-1,-1.27,-5.2,4.4,1,2,-2.6,-1.1,-0.28,1.1,-2.5,-9,-1,-1,1.14,-7.71,-10.35,-2,14,1.93,,-3.14,-14.67,-9.14,-0.02,-0.4,2.98,-1.27,3.8672399678,10,16,5
N.Y. Giants,LA Chargers,3.5,3.26,1.81,2,,2.37,2.79,7,9,20,2.23,4.58,-0.24,1.81,0.89,3.58,-6.97,-7.07,-11.74,4,3.5,,3.3,2.09,3.33,3.6,3.5,3,6.25,-6.26,2.82,,6.37,3.1,8.35,5.02,4.1,4.18,-3.29,4.8,2.82,-4.4,-4.4,2,2,5.3,-3.9,3.32,3.3,5,-1,1,1.3,5.63,-1.22,1.5,5,2,10.12,,2.4,-1,-9.77,4.44,3.4,2.79,5.02,4.7304923118,27,22,5
Oakland,Baltimore,3,6.76,5.16,6,,6.53,1.43,8,-2,19,6.05,4.14,11.04,11.15,6.84,6.6,7,7,4.09,4,3.5,,1.4,6.87,7.22,6.8,2.5,0,5.96,12.14,6.62,,-3.16,2.9,3.96,6.13,7,12.34,15.92,6.4,6.6,11.9,-14,3,3,8.4,8.5,5.94,6.4,3,13,3,4.4,8.42,14.57,12.8,1.5,13,6.15,,6.01,9.75,14.95,3.62,8.6,2.52,5.59,5.0827489474,30,17,5
Philadelphia,Arizona,6,7.37,9.74,7,,7.44,6.76,7,9,1,9.88,9.06,9.08,19.2,6.88,7.5,7,7,7,5,6,,6.7,9.08,6.8,6.5,6.5,6,11,18.44,6.3,,2.58,6.9,6.77,5.63,5.1,7,17.71,5,6.9,12.6,-17,5,-1,13.1,6.5,3.43,7.7,6,15,0.5,1,9.66,18.01,17.7,6.5,2,6.56,,8.88,9.25,6.62,8.59,10.1,1.43,6.13,5.598765503,7,34,5
Pittsburgh,Jacksonville,7,8.29,4.85,6,,5.72,5.33,9,18,6,10.07,5.79,3.53,4.22,3.2,9.33,-7.45,-7.24,-7,8,7,,8,3.48,9.18,11.6,8,8.5,15.48,0.24,7.13,,1.73,7.5,6.59,9.43,11.5,14.53,-3.06,8.1,6.45,2.6,-7.9,4,10,5,5.2,8.91,11.7,9.5,-3,1.5,7.5,8.77,10.44,0.3,9,5,7.6,,6.45,-2.75,2.44,2.85,8.4,6.41,8.77,5.2144771864,30,9,5
Tampa Bay,New England,-5.5,-2.5,-2.23,-2,,-3.5,2.11,0.01,-11.5,-12,-4.33,-6.36,4.85,-1.33,4.44,-4.02,-11.14,-11.44,-7,-4,-5.5,,-3.1,0.33,-4.37,-1.1,-5.5,-4,-9.26,-9.76,-4.94,,-9,-0.7,4.94,-4.37,-2.5,1.23,-6.64,-3.9,-3.1,-9.1,3.8,-2,-10,-1.7,5,-4.91,-0.3,-2.5,-9,-0.5,-4.3,-2.99,-5.09,-2.85,0.01,-10,1.81,,-6.15,-6.58,5.29,-3.26,-5,-2.78,0.82,4.5474441144,19,14,5
Arizona,Tampa Bay,-1.5,-1.75,-5.66,-1,,-1.82,-0.18,-2,-1.5,1,-1.08,0.31,-5.41,-3.65,-1.5,-1.2,-10.5,-10.52,-7,0.01,-1.5,,-1.8,0.26,-2.95,-0.3,-1.5,0,-4.1,-5.14,-1.85,-0.84,2.86,-1.1,1.5,0.16,0.6,-14.9,-10.24,1.1,-1.15,-3.8,2.7,1,4,-5.6,-5.2,-1.08,-1,0.01,-3,6.5,1,-1.55,-10.63,-6.3,0.01,3,0.8,,-3.84,-3.05,-7.94,-1.65,-0.7,4.55,-2.4,3.6361843878,33,38,6
Atlanta,Miami,13.5,8.66,12.13,8,,11.91,7.34,10,22,13,14.96,21.19,14.86,11.05,8.86,8.5,12.1,12.19,-7,18,13.5,,10.6,8.49,8.92,10.9,11.5,10,16.42,12.86,13.34,9.72,11.62,10.2,7.89,9.86,10.8,2.88,14.1,9.5,11.51,16.9,-12.8,8,8,21.8,18,11.7,11.7,10,18,13,11.4,14,14.34,11.4,10.5,12,8.22,,8.48,17.75,15.76,10.29,9.2,7.05,9.76,5.1838286164,20,17,6
Baltimore,Chicago,6,6.69,6.13,6,,7.84,0.37,8,8,25,10.73,10.53,9.88,9.88,6.61,7.13,10.24,10.55,-0.71,12,6,,7.4,4.75,7.09,11.5,6.5,7,11.51,9.26,7.84,8.08,14.44,7.8,6.34,7.85,11.2,2.12,7.57,9.2,7.85,-0.3,-13.8,7,8,9.3,0.6,5.23,11.9,7.5,7,4,8.6,11.83,13.6,7.2,8,21,3.96,,5.45,4.4,-2.85,1.09,8.5,6.06,8.27,4.9894912597,27,24,6
Carolina,Philadelphia,3,1.69,-3.81,2,,0.95,0.53,2,7,10,-1.3,-0.97,-0.97,-1.6,0.41,1.95,-2.79,-2.25,-7,-1,3,,2.7,0.36,1.9,0.2,3,3,4.17,0.16,1.29,2.68,1.15,2.3,2.91,2.55,0.5,-5.42,-1.35,2.2,1.08,-3.3,-2.2,1,4,-0.4,-0.4,2.37,-0.3,3.5,2,3,1,2.1,-0.6,-1.05,3.5,5,1.64,,1.22,-4.4,-1.03,3.57,0.01,2.47,1.37,2.4929759642,28,23,6
Denver,N.Y. Giants,12.5,7.5,13.23,12,,9.86,8.55,7,1,12,12.45,13.88,15.78,10.75,10.13,8.03,13.99,14.68,7,9,12,,10.9,10.95,6.37,7.8,11.5,9.5,9.95,13.86,9.28,14.5,10.49,9.8,15.33,6.05,6.9,7,14.94,6.7,9.88,12.9,-15.3,10,8,9.7,15.9,8.56,8.6,9.5,17,6.5,5.1,8.17,19.37,14.9,6,15,4.81,,9.82,10.1,14.3,8.87,3.7,3.42,5.82,5.1186328799,23,10,6
Houston,Cleveland,7,13.12,10.48,14,,12.89,5.37,13,18,20,14.34,15.11,13.6,18.89,10.22,12.68,7,7,7,16,8,,11.1,15.23,12.94,12.4,9.5,9,17.95,16.26,13.36,15.44,7.93,12.8,14.05,12.35,12.4,7,24.22,13,12.97,20.2,-18,8,9,20.3,9,8.56,11.8,9.5,24,9,6.6,14.64,19.46,23.75,12,14,18.05,,12.76,15.4,9.46,5.2,12.5,5.79,10.23,6.2007195575,17,33,6
Jacksonville,LA Rams,1.5,5.17,6.53,6,,6.54,3.44,6,7,-8,8.22,15.39,7.66,12.54,6.45,4.49,14.24,14.29,14.58,12,2.5,,4.4,9.06,4.95,10.2,2.5,0,9.02,11.46,6.29,4.86,14.07,6.4,0.05,5.75,10.4,10.06,13.84,6.8,6.35,6.8,-14,5,4,17.1,-3.6,1.24,10.1,2,11,6.5,-1,9.01,16.09,9.85,4,1,1.71,,6.2,-0.6,0.01,-1.7,8.8,5.05,6.24,5.8109906896,27,17,6
Kansas City,Pittsburgh,4,6.53,13.76,11,,8.28,5.89,8,3,-1,12.84,13.61,8.14,17.3,6.56,6.26,7,7,7,12,5,,6.5,12.47,5.18,5.7,4.5,4,11.02,15.06,9.14,13.5,6.94,8.6,5.33,5.76,5.4,14.25,18.65,5.3,7,15.8,-15.1,6,4,16.5,5.3,2.7,6.4,8,18,6,3.3,8.78,16.18,17.55,3,-1,8.1,,6.77,15,6.15,4.97,7.9,2.96,5.78,5.6425659027,19,13,6
Minnesota,Green Bay,-3,-1.95,4.19,-1,,-1.48,3.62,-2,-6,-7,-1.79,-2.53,0.29,0.35,1.43,-2.03,-0.75,-0.44,7,0.01,-3,,-3.3,-0.81,-2.33,-2.1,-3,-4,-6.17,0.06,-1.22,-0.14,-7.19,-3.1,-0.31,-1.14,-2.3,1.64,-0.26,-0.7,-1.07,-0.5,-0.6,-1,2,-1.4,3.5,-3.2,-2,1,1,-1.5,-11.7,0.26,-0.51,0.7,0.5,-6,-2.71,,0.33,-5.6,-3.4,-4.43,0.01,1.34,-3.91,2.7685243246,10,23,6
N.Y. Jets,New England,-8.5,-9.54,-1.41,-4,,-7.08,1.99,-6,-27,-14,-9.75,-14.92,-0.64,-2.02,1.38,-12.46,-9.54,-9.57,7,-12,-8.5,,-7,-0.31,-14.45,-8.6,-9,-9,-14.27,-5.64,-9.9,-0.26,-11.66,-4.4,4,-10.55,-9.7,0.89,-8.9,-10.5,-7.02,-13.5,5.8,-5,-8,-6.5,-2.2,-11.75,-8.2,-6.5,-7,0.01,3.3,-13,-4.72,-4.7,-6,-12,-1.27,,-7.05,-9.2,-4.25,-6.29,-7.7,-5.17,-6.08,5.8021323899,24,17,6
New Orleans,Detroit,4,3.55,7.29,2,,3.17,4.47,4,13,-1,4.9,3.66,1.84,5.2,2.77,3.21,5.73,5.54,-7,5,4,,2.8,3.91,3.79,2.4,5,3,7.61,1.66,2.65,2.71,6.65,1,0.42,4.25,0.8,1.93,4.94,2.4,3.38,4.3,-9.2,2,3,7.5,5,2.29,2.6,2,5,6.5,-6.5,6.27,0.35,4.2,2,-1,0.92,,3.7,0.65,3.89,0.73,3.1,4.02,1.86,3.1657067338,38,52,6
Oakland,LA Chargers,3,4.91,4.21,5,,3.23,-3.21,4,5,-5,3.31,6.08,5.78,0.92,4.6,6.12,4.03,4.46,-7,3,3,,2.2,0.07,5.39,3.7,4,4,0.57,2.46,2.83,3.38,4.39,1.3,18.08,5.76,4.6,6.83,1.98,6.2,3.42,-3.4,-7.7,4,2,-2.1,-5.8,4.65,3.1,2.5,4,-0.5,3.4,3.44,15.04,2.95,4.5,1,10.3,,2.24,3.8,3.04,4.23,4.5,2.78,4.28,4.0999001795,17,16,6
