Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linekalin,linenseye,linestd,rscore,hscore,week
Minnesota,San Diego,1,-0.16,0.87,1,-0.44,-0.03,-0.97,2,-0.34,3.8,8,-3.85,-3.13,3.12,-0.82,-3.04,2.44,0.39,4.08,,2.33,8.54,-1,1,,1.7,0.65,-0.42,2,1,1,,-1.38,,0.01,,0.39,0.8,,-0.05,-1.6,0.12,-2.68,1.03,0.19,-10.5,-3.6,0.01,1,-1.1,,-1.27,3.3,-1,1.5,-12,0.5,-3.7,0.19,2.66,-3.1,,3,6,-0.52,,-0.02,-0.5,,0.66,0.56,0.98,,2.1,1.31,0.27,,3.1556127642,14,31,3
N.Y. Giants,Washington,3,4.28,9.02,3,4.48,5.28,-1.55,6,4.15,4.75,5,9.72,6.64,2.51,-2.91,5.61,6.83,3.24,6.6,,0.54,2.1,10,3,,2.6,4.22,4.55,7.4,3,4,,5.39,,6,,10.13,1.1,,6.25,7.6,-0.44,7.38,1.89,5.39,3,6,2,11,7.1,,5.32,7.9,9,4,8,1.5,7.3,3.12,8.29,3.4,,4,7,7.23,,0.53,4,,4.49,6.94,5.52,,9.2,5.09,5.26,,2.7810766969,21,32,3
N.Y. Jets,Philadelphia,3,3.69,-3.68,3,-0.23,3.04,3.15,1,13,7.94,-9,6.12,3.96,6.08,20.95,13.89,-3.12,5,-3.14,,-1,-0.48,2,3,,5.1,2.06,3.5,-0.8,2.5,2,,9.21,,3,,-6.97,8.2,,1.66,0.5,1,9.39,0.15,2.06,13.1,16.7,-3,2,12.8,,-0.06,-0.1,-6,1,9,-0.5,-6.2,-0.07,14.32,13.95,,4,-3,-3.31,,6.25,12,,0.68,-9.94,-4.83,,-4.4,2.38,0.92,,6.5797831216,24,17,3
New England,Jacksonville,14.5,14.16,18.65,14,22.16,16.17,2.97,16,18.6,12.39,21,21.08,9.81,8.16,11.3,21.48,13.3,14.07,7,,7,7,26,14.5,,12.7,14.4,14.26,20.5,14.5,14,,29.26,,21,,20.55,11.9,,25.55,16.1,16.31,23.84,12.1,16,18.8,18.8,16,25,25.1,,16.88,21.5,24,14.5,13,10.5,13.4,12.82,3.01,10.7,,12.5,10,18.87,,25.9,19,,14.14,16.75,16.57,,17.1,11.94,14.93,,5.7480387306,17,51,3
Seattle,Chicago,15.5,10.79,14.78,9,17.72,12.92,0.31,14,18.78,13.4,12,15.27,11.96,8.59,7.31,14.54,10.5,9.87,7,,7,16.96,26,15.5,,12.4,11.11,11.12,15.5,15.5,15,,22.75,,16,,15.39,10.3,,18.06,15.6,13.03,12.07,14.07,12.98,1.1,16.7,11,22,25.3,,15.28,15,16,10.5,-2,4.5,9.5,19.43,17.69,6.75,,13.5,11,14.49,,16.62,22,,11.54,6.43,7,,15.7,11.05,12.98,,5.3208526744,0,26,3
St. Louis,Pittsburgh,-2,-2.43,-0.54,-0.25,-1.44,-3.96,-1.5,-4,-5.22,-2.35,11,-6.75,2.13,1.38,-6.59,-11.16,0.54,-1.59,-8.3,,-12,0.27,-2,-2,,-3.4,-1.18,-2.84,-5.5,0,-2.5,,-5.22,,-3,,2.19,-5.6,,-2.34,-3.9,-6.01,-12.58,0.95,-3,-18.9,-13.3,-4,-3,-9.2,,-3.2,-6.8,-2,-2,-21,-1.5,-5.1,-3.57,-7.41,-8.6,,-1,3,0.08,,-7.27,-5,,-1.19,-4.4,-9.02,,-2.4,-0.42,-2.26,,5.2245711112,12,6,3
Tennessee,Indianapolis,-3.5,-1.77,-12.85,-0.25,-5.82,-4.01,4.66,-2,-8.1,3.57,-9,-7.61,-11.94,0.38,19.05,1.58,-7.38,-0.94,-7.36,,-14.34,-9.28,-8,-3.5,,-1.5,-4.21,-1.77,-1.9,-3,-5.5,,-13.27,,-7,,-7.59,0.4,,-6.65,-2.8,-8.72,-1.97,-1.63,-4.26,10.9,1.7,-1,-7,-6.5,,-3.05,-0.6,-9,-1.5,4,-3.5,-11.6,-2.27,-11.03,16.4,,-2,-5,-7.85,,-15.56,-9.5,,-4.26,-9.23,-6.25,,-11.1,-0.35,-4.6,,6.6515108804,35,33,3
Arizona,St. Louis,7.5,10.8,12.44,11,14.41,10.92,9.72,12,11.7,20.17,11,8.82,9.8,15.18,21.36,16.91,3.9,10.67,6.35,,2.38,15.61,9,8,,9.5,9.6,11.03,14.4,7.5,6.5,15.88,8.58,11.3,10.94,,8.06,12.5,,8.61,11.9,4.58,18.71,13.4,10.94,20.3,15.9,13,9,13.8,,12.86,16,4.5,11,14,2,7.1,13.2,8.11,22.3,11.8,7.5,10,5.85,,11.15,6.5,,9.97,0.93,5.26,,7,7.79,7.63,,4.5089898245,24,22,4
Atlanta,Houston,6,7.09,7.25,8,3.11,7.25,7.57,10,8.62,16.08,2,8.99,0.61,20.13,8.38,15.7,-0.22,8.9,2.78,,7.5,4.34,4,6,,7.1,7.04,6.63,5.2,6,6,9.57,8.3,32.4,2.23,,-1.64,7.8,,6.2,4.4,5.19,11.69,8.4,6.62,12.8,16,2,3,8.7,,8.61,6.6,1,6.5,13,6.5,2.8,4.57,4.06,9.2,27.9,5.5,4,2.93,,11.38,3.5,,10.1,2.56,-0.67,,6.1,3.31,2.69,,6.1259712455,21,48,4
Buffalo,N.Y. Giants,5.5,6.52,4.08,8,8.87,8.02,1.13,9,12.95,13.46,1,11.68,11.53,12.06,8.43,9.1,5.46,6.36,11.65,,10.62,13.53,12,5.5,,6.6,6.06,6.67,6,5.5,6,6.02,17.57,-2.4,9.57,,12.46,9.1,,10.1,7,11.61,12.31,10.2,8.33,9.4,12,8,10,16.2,,5.79,5.6,5,8.5,9,3.5,7.5,8.24,4.78,9.95,-1.8,5.5,4,4.85,,18.24,12,,2.9,-0.31,9.36,,3.4,6.25,7.11,,4.1923113509,24,10,4
Chicago,Oakland,-4,0.06,-5.69,1,2.27,-1.56,-3.91,-1,-1.04,-6.78,-6,-1.8,0.97,-10.23,-6.93,-11.28,5.49,-1.11,-0.24,,-10.5,-0.68,-1,-3.5,,-3,0.13,0.44,3.2,-3,-2,2.7,-8.75,-3.1,0.35,,3.32,-3,,0.4,-2,-1.27,-2.33,1.7,-0.62,0.4,-5.5,1,1,-6.3,,0.28,3.9,7.5,-1,0.01,5.5,-1.2,-1.35,-26.58,-7.05,-3.6,1.5,-6,4.32,,-5.16,2.5,,-1.19,6.13,-4.01,,2.2,0.97,1.45,,5.2674010144,20,22,4
Cincinnati,Kansas City,4,5.27,13.02,6,1.94,4.59,13.95,4,2.05,6.87,4,4.14,6.53,10.16,12.77,8.58,0.57,6.64,-6.8,,-7.36,-13.29,2,4,,3.9,5.5,4.89,6.8,4,4.5,4.15,4.27,7.1,1.66,,-4.77,4.4,,2,6.2,-1.04,5.41,5.8,4.59,14,10.5,1,1,4,,5.77,6.7,1.5,6,5,3,2.8,3.83,5.19,6.35,7.5,6,7,1.97,,6.59,2,,4.78,3.38,-2.46,,3.9,3.69,3.5,,4.0652789704,21,36,4
Denver,Minnesota,7,10.42,7.12,9,13.14,9.84,0.98,9,8.45,14.8,21,13.88,9.42,18.16,6.9,10.94,6.83,10.97,3.98,,1.62,8.53,13,7.5,,7.7,10.8,10.27,8.8,7,7,9.1,14.45,8.4,11.47,,9.37,8.9,,10.7,10.7,5.27,12.06,3.6,10.11,10,14.2,8,11,12.2,,10.21,7.5,12,6.5,12,11.5,6,9.51,10.69,13.05,11.2,7,9,10.63,,13.6,11,,6.39,10.81,5.96,,8,7.14,8.24,,3.4424033903,20,23,4
Indianapolis,Jacksonville,4,9.59,1.31,7,13.43,9.22,3.6,10,2.21,13.92,12,11.38,5.83,-0.43,6.59,6.67,12.77,8.49,4.58,,14.62,-5.22,12,5,,7.9,10.42,9.94,15.1,9,9,1.41,11.17,1.6,13.19,,9.4,6.8,,12.91,11.3,6.33,10.14,8.2,9.45,8.1,10.6,10,12,8.2,,7.12,15.9,15,11.5,7,9.5,8.3,13.48,5.99,9.1,6.5,10.5,6,11.15,,14.46,9,,7.04,13.54,8.03,,12.5,7.6,9.22,,3.7646813139,13,16,4
Miami,N.Y. Jets,-2.5,-2.59,-6.77,-3,1.51,-3.63,-7.01,-1,-9.85,-14.01,5,-12.07,-3.82,-2.04,-15.49,-8.89,4.42,-1.21,-2.36,,-3.83,-13.98,-6,-2.5,,-3.5,0.33,-3.31,-5,-2,-1,-5.61,-8.59,-10.3,-2.21,,0.06,-5.6,,2.3,-3.3,-0.06,-10.61,6,-3.31,-12,-5.3,-2,-1,-12.2,,-2.05,-6,7.5,-0.5,-9,1,-2.6,-3.33,-7.98,-20.3,-7.7,-1,3,4.54,,-6.08,-9.5,,-5.5,8.31,5.03,,2.5,0.96,0.27,,5.7636662919,27,14,4
New Orleans,Dallas,3,-3.41,-9.7,-4,-1.79,-5.1,4.94,-3,-3.81,-10.12,-13,-8.76,-3.98,-19.18,-3.19,-12.24,-0.75,-5.64,-4.86,,-2.21,-15.45,-7,1.5,,0.2,-4.83,-2.74,-6.1,3,3,0.69,-11.76,-26.5,-4.32,,-4.15,-3.6,,-0.09,-8.7,-8.56,-8.41,3,-4.05,-7.5,-11.2,-3,-8,-8.5,,3.17,-6.3,-6,2.5,-1,1.5,-4.8,1.57,-16.43,-9.4,-15.6,-1,-2,-0.15,,-11.4,-7.5,,-1.44,-1.22,0.96,,-4.1,-1.19,-0.96,,5.76137362,20,26,4
Pittsburgh,Baltimore,-3,5.74,19.64,8,6.53,6.58,2.73,6,14.07,10.67,2,13.94,-4.46,18.12,13.37,11.73,1.3,6.82,4.08,,11.12,-1.4,7,-1.5,,-3.7,5.36,5.48,2.5,-3,-2.5,7.65,12.2,18.9,3.46,,3.52,9.9,,5.71,3.6,5.29,11.33,-2.2,5.48,13.6,12.1,3,5,11.1,,0.21,2.3,2,2.5,9,4,1,2.23,11.33,12.2,19.1,1,1,2.31,,8.85,11,,2.64,2.54,6.26,,4.5,4.67,2.79,,5.7051495323,23,20,4
San Diego,Cleveland,7,6.07,6.36,7,8.03,6.57,1.1,9,5.19,2.03,8,13.41,4.37,3.16,2.77,4.21,4.25,5.3,1.74,,5,-5,11,7,,7,6.23,6.28,9.7,7.5,10,4.37,12.44,-7.7,7.54,,7.06,6.5,,6.8,11.6,6.95,3.78,13.9,6.6,11.6,6.5,8,10,8.9,,10.19,10,8,7.5,1,5.5,3.6,9.55,9.5,6.7,3.6,5,3,8.41,,15.03,8.5,,4.67,5.06,3.06,,7,5.02,7.13,,3.6459533175,27,30,4
San Francisco,Green Bay,-9,-7.92,-4.06,-5,-3.35,-7.49,-2.29,-8,-6.89,-6.87,-4,-9.84,-10.83,-6.96,-14.55,-3.29,-1.97,-6.95,-14.45,,-16,-2.1,-11,-9,,-7.8,-7.94,-8.44,-8.7,-9,-7,-0.21,-11.18,-3.7,-4.7,,-10.48,-7.1,,-6.3,-10.4,-7.05,-13.33,-5,-7.3,-13.3,-5.3,-8,-12,-17.1,,-10.24,-9.4,-7,-6,1,-2.5,-8.2,-8.52,-8.95,-7.55,-10.7,-6.5,-4,-5.66,,-5.82,-5,,-7.88,-8.65,-6,,-7.5,-4.29,-4.04,,3.6694857589,17,3,4
Seattle,Detroit,9.5,9.53,7.07,8,15.15,9.94,9.54,10,10.4,10.83,11,10.13,7.62,8.89,13.79,6.66,5.53,8.84,15.26,,7,7,15,9.5,,10.8,9.1,10.01,9.3,9.5,9,7.86,13.12,16.9,12.26,,9.18,12,,10.31,10.1,9.87,13.41,9.5,9.95,13.5,11.9,8,12,15.1,,11.47,9.9,8,9.5,7,6,3.8,10.83,10.86,4.9,12.8,10,8,9.14,,6.17,10,,10.33,6.31,11.85,,9.3,7.92,7.79,,2.7615651216,10,13,4
Tampa Bay,Carolina,-3.5,-5.4,-14.69,-7,-10.83,-7.09,-4.57,-1,-6.5,-12.63,-11,-13.85,-7.41,-14.66,-12.58,-7.47,-0.33,-6.53,-10.25,,-5.5,-13.18,-9,-4,,-4.2,-5.86,-5.06,-7.2,-3,-3.5,-11.67,-8.59,-13.8,-8.01,,-8,-5.4,,-4.1,-6,-6.34,-11.8,0.8,-6.95,-11.7,-9.7,-8,-6,-10.3,,-0.37,-7.7,-5.5,-3.5,-12,-0.5,-2,-5.54,-19.27,-9.35,-6.9,-0.5,1,-3.42,,-12.42,-7,,-3.29,-3.22,-6.79,,-2.5,-2.76,-4.73,,4.3517914066,37,23,4
Washington,Philadelphia,-3,-2.96,-5.67,-2,-7.97,-4.73,2.92,-4,-1.18,-4.68,-10,-1.89,-5.34,-3.65,3.24,-7.19,-3.83,-3.14,-7,,-7,-7,-7,-3,,-3.5,-3.76,-2.84,-7,-3,-3,-9.31,-8.37,-9.6,-7.24,,-10.75,-4.1,,-5.2,-6.9,-9,-7.08,6.6,-5.27,-1.7,-7.9,-4,-7,-6.6,,-0.77,-7.9,-7.5,-3,-10,0.01,-7.5,-4.07,-2.92,-5.95,-8.7,-1,1,-7.88,,-0.73,5,,-3.9,-8.81,-8.24,,-7.3,-1.96,-4.03,,3.5213765927,20,23,4
Atlanta,Washington,7,8.32,10.45,10,8.06,10.01,5.69,12,12.15,11.34,5,10.98,4.48,14.55,10,14.94,7.77,9.1,6.82,,4.81,7,14,7.5,,8.6,8.57,8.09,9.6,7,8,9.76,16.57,11.7,9.38,11.56,6.42,9.7,12.84,11.58,10.7,5.92,16.01,,9.74,14.9,16,6,14,16.1,,9.77,11.1,12,9,16,5.5,9.3,9.74,11.41,16.35,12.4,8,4,3.53,,10.9,7,,8.13,16.75,2.38,,9.4,7.88,7.59,,3.5792049366,19,25,5
Baltimore,Cleveland,6,8.3,3.46,8,12.96,8.71,4.07,12,9.97,7.43,5,11.46,14.09,5.38,4.28,11.58,3.9,7.7,-2.59,,2.8,-7,14,6.5,,8.4,8.56,8.46,13.2,6.5,6.5,10.23,16.25,8.8,10.12,6.34,7.77,10.3,4,11.08,13.6,-7,10.68,,8.8,12.8,13.6,8,13,14.2,,9.6,13.8,6,5.5,11,6.5,4.2,10.33,6.3,11.7,11.8,8,3,4.59,,10.32,9,,7.97,4,-0.22,,11.8,7.11,8.97,,3.8792306642,33,30,5
Cincinnati,Seattle,3,2.03,12.84,6,-0.29,4.54,8.37,1,6.81,3.69,5,9.46,-1.2,10.74,6.95,12.93,6.16,3.51,3.34,,7.2,9.39,-4,3,,2.5,2.04,1.59,1.5,3,3,4.32,5.41,10,-0.52,9.04,-6.95,3.5,12.3,1.58,3.2,6.12,7.27,,3.69,7.2,10.1,1,-3,4.7,,2.82,2.2,8.5,6.5,11,4.5,1.5,3.6,10.73,12.5,11,0.5,-1,7.75,,6.76,0.01,,3.65,10.5,6.01,,-0.3,1.3,0.29,,4.452901737,24,27,5
Dallas,New England,-9,-3.23,-11.9,-5,-6.19,-7.04,3.88,-3,-17.67,-10.67,-5,-10.98,-13.11,-12.41,-6.88,-10.75,-5.39,-3.9,-15.89,,-13.8,-11.75,-8,-9,,-8.5,-3.18,-3.06,-1.1,-8.5,-7,-2.62,-14.79,-6,-5.96,-6.8,-7.62,-8.6,-3.93,-4.62,-4.1,-7,-11.79,,-6.19,-10.1,-3.5,-6,-6,-13.9,,-12.85,-1.1,-5.5,-7.5,-9,3,-7.8,-8.75,-7.21,-10.35,-2.8,-4.5,-4,-1.6,,-5.48,-9,,-7.61,-13.92,-8.56,,-0.7,-2.61,-4.81,,4.5097318084,30,6,5
Detroit,Arizona,-3.5,-4.61,-5.39,-5,1.4,-5.05,-6.62,-2,-7.57,-12.87,1,-7.45,-0.95,-4.71,-14.22,-5.77,-9.43,-4.85,-9.02,,-0.8,-9.26,-2,-3.5,,-3.1,-3.36,-4.85,-2.1,-2.5,-3,-4.16,-0.67,-13.7,-1.32,-7.93,0.68,-3.3,-8.12,-0.12,-2.4,-6.66,-15.3,,-4.4,-19.5,-4.4,-4,1,-1.7,,-4.63,-2.8,-3.5,-5.5,-10,1,-6.7,-5.72,-24.58,-9,-9.5,-0.5,2,1.15,,0.29,-5.5,,-7.25,-18.5,-5.56,,-0.4,-1.67,0.34,,5.4279220782,42,17,5
Green Bay,St. Louis,9,10.81,20.47,11,13.84,10.67,6.77,11,5.9,9.38,22,11.63,7.04,16.26,14.28,10.77,9.94,12.13,10.96,,15.52,11.36,9,9,,8.8,12.61,10.38,15.2,9,10.5,7.23,11.96,9.1,12.54,6.98,14.97,8,11.61,12.58,12.9,12.32,7.97,,10.54,8.7,13.1,12,13,11.7,,8.47,16.2,9,10.5,2,10,7.7,9.06,11.29,10.6,7.3,9.5,7,10.54,,13.46,9.5,,7.66,11.75,4.93,,10,7.48,8.96,,3.4418514286,10,24,5
Houston,Indianapolis,5,-0.39,-0.05,1,1.12,1.05,4.25,-1,1.14,0.5,-2,0.46,-1.43,0.5,1.65,2.02,2.18,-1.04,1.65,,1.8,-3.34,3,4,,0.3,-1.47,-0.08,-2.3,4,0,9.18,0.89,2.4,-0.96,-0.39,4.31,0.3,-1.42,0.08,-1.7,-0.24,-0.72,,0.89,4.1,3.5,1,4,1.5,,-1.97,-1.9,6.5,-1,1,3,-4.4,-0.58,4.34,1.9,4.8,-1.5,6,3.31,,-1.48,4,,4.97,3.25,-2.9,,-2.1,1.83,3.67,,2.5903060139,27,20,5
Kansas City,Chicago,9,7.98,3.72,8,11.5,9.36,2.56,9,7.9,10.66,2,14.35,12.26,4.12,8.56,12.85,7.52,7.04,11.09,,4.8,14.19,17,9,,8.9,7.45,8.35,10,9,10,12.08,15,6.4,10.67,4.13,13.88,8.2,3.96,13.58,11.7,6.56,9.75,,9,3.3,14.5,12,15,15.9,,10.39,10.2,9,9.5,11,5,4.6,9.65,8.25,14,8.5,6.5,6,7.88,,7.28,12,,7.32,10,15.86,,8.6,8.82,8.73,,3.4917308874,18,17,5
N.Y. Giants,San Francisco,7,9.41,13.04,6,4.35,9.51,5.52,10,7.96,16.2,-1,12.47,13.46,4.57,18.68,13.4,13.8,7.51,10.9,,-0.8,15.68,12,7,,8.6,7.34,10.34,8.4,7,7,17.39,6.42,16.1,6.11,10.53,2.71,10.1,7.65,6.97,10.9,-1.72,19.3,,8.6,17.4,14,6,11,18.2,,7.97,9.2,13.5,8.5,17,8.5,-1.6,9.9,11.33,15.1,16.6,8,3,4.96,,2.24,3,,8.4,15.5,6.16,,7.7,6.99,4.75,,4.9668611434,27,30,5
Oakland,Denver,-4,-7.82,2.61,-8,-13.39,-7.07,-3.38,-7,-12.23,-7.56,-6,-10.6,-2.62,-12.44,-5.05,-7.08,-1.94,-8.4,-7.77,,-5.4,-7,-12,-4.5,,-6.5,-9.17,-7.66,-11.2,-4.5,-5.5,-1.43,-13.97,-5.1,-9.35,-3.87,-12.32,-7.9,-6.3,-8.92,-6.8,-7,-7.82,,-7.27,-9.9,-8.8,-9,-12,-11.5,,-8.61,-11.9,1.5,-4,-5,-4.5,-11.4,-7.27,-8.14,-7.2,-6.4,-6,2,-4.38,,-10.31,-9.5,,-4.62,2,-4.53,,-7.2,-5.62,-6.93,,3.7587602159,16,10,5
Philadelphia,New Orleans,6,6.07,3.44,6,3.97,6.62,6.12,7,4.37,6.53,6,8.55,6.93,7.43,4.68,11.33,4.19,5.92,7,,7,16.92,9,6,,6.1,6.2,6.1,8.2,4.5,4.5,7.46,6.03,10.3,4.28,3.97,12.68,7.6,3.82,6.77,11,7,8.99,,6.5,3.6,12,9,8,11,,4.88,7.8,2,6.5,7,3,3.4,8.33,6.59,8.95,8.5,5.5,7,5.12,,1.93,6.5,,4.35,0.01,15.83,,7.1,5.01,5.67,,2.7684861125,17,39,5
San Diego,Pittsburgh,3.5,-2.03,3.33,1,-0.5,-1.63,0.29,-2,-6.47,-5.56,7,-6.19,-2.39,-0.3,-4.03,-6.98,-1.34,-0.94,0.27,,0.96,10.14,-4,2.5,,2.1,-0.41,-2.54,-1.4,3,3.5,-6.47,-4.2,-9.2,-2.19,-0.03,0.41,1.3,2.86,-0.72,-1.4,-6.28,-9.23,,-1.34,-7.1,-6.2,1,-3,-7.8,,1.1,-2.1,-0.5,4.5,-5,1,-2,1.06,-5.66,-4.5,-4.8,2.5,4,1.32,,1.46,-8,,-2.38,2,3.69,,-1.1,-0.72,0.07,,3.5062859166,24,20,5
Tampa Bay,Jacksonville,2,1.11,-5.45,2,1.73,0.8,2.75,3,-0.41,-3,-1,-2.88,4.02,-1.65,3.77,-2.98,4.47,0.9,-3.1,,-1.2,1.63,3,2,,0.4,1.01,1.2,3.4,2.5,3,-0.06,-0.96,-4.2,1.28,0.75,1.39,-1.9,2.82,0.68,-0.3,-0.7,-2.5,,1.01,2.1,0.1,1,1,-4.3,,2.33,3.8,0.5,4,-1,6,-1,1.14,-2.12,2.5,4.8,4.5,-3,1.01,,3.14,-1,,0.41,4.5,-0.44,,3,2.73,1.06,,2.5787995364,31,38,5
Tennessee,Buffalo,-1,-5.37,-6.83,-4,-6.92,-5.64,1.85,-4,-11.21,-4.83,-8,-12.98,-5.98,-3.22,2.39,-6.64,2.25,-5.56,-10.65,,-5.06,-9.68,-15,-2,,-5.3,-5.87,-5.41,-2.9,-2.5,-4,-2.13,-18.48,-10.7,-9.6,-2.42,-14.19,-8,1.81,-6.52,-3.8,-13.43,-10.87,,-5.3,-1.2,-5.4,-4,-14,-12,,-3.8,-2.3,-5,-3,-10,1,-9.5,0.27,-8.08,-2.8,-6.1,-1,-9,0.78,,-4.69,-15.5,,-2.26,4.17,0.54,,-5,-3.08,-4.48,,4.5754554732,14,13,5
Buffalo,Cincinnati,-3,-0.96,-0.91,-3,0.4,-0.51,-2.15,2,0.89,-5.62,-1,1.85,0.8,-8.25,-0.21,-3.18,0.17,-2.07,-0.11,,-4.08,-7,2,-2.5,,-2.5,-2.09,-0.54,0.3,-3.5,0,3.62,-0.45,-3.04,-0.69,-2.3,8.29,-2.6,-4.16,-0.02,0.01,-7,-0.24,,-0.54,-2.6,-0.9,-1,3,-1,,1.3,-0.1,3,0.01,4,3,-1.5,1.62,-5.28,-4.2,-3.8,0.5,1,-0.68,,-3.02,9.75,,-2.94,-2.8,-1.19,,-0.2,1.39,0.04,,2.5850046453,34,21,6
Cleveland,Denver,-3,-7.29,-4.6,-9,-9.13,-6.24,-2.92,-7,-3.53,-2.35,-8,-9.66,-11.81,-9.95,-4.49,-4.96,-2.11,-8.69,-6.43,,-4.25,12.15,-11,-3.5,,-6.2,-9.44,-6.83,-8.6,-4,-6,-1.68,-12.81,-5.24,-7.9,-5.8,-9.58,-8.5,-7.69,-7.51,-8.9,-7,-4.31,,-6.43,-4.8,-6.6,-7,-6,-8.3,,-4.18,-8,6,-4.5,-3,-3.5,-5.9,-2.64,-8.42,-9.6,-6.4,-4,-10,-2.6,,-12.6,-7.75,,-3.78,3,1.21,,-5.7,-3.93,-6.39,,3.5502016259,26,23,6
Detroit,Chicago,3.5,3.79,0.33,-0.25,6.94,3.1,-1.8,5,1.66,0.69,4,4.41,10.48,0.15,2.92,0.54,2.24,2.19,1.52,,2.25,2.28,10,3.5,,1.3,2.57,4.4,7.2,3,3.5,2.26,4.29,-0.74,5.12,-2.76,9.29,-0.4,-2.91,6.38,6,-7,2.84,,3.79,0.6,2.5,6,9,4.5,,3.82,6.3,6.5,2.5,2,2.5,-4.3,5.03,-24.51,8.75,0.2,4.5,5,1.67,,5.39,5.75,,1.12,1.4,4.09,,5.8,5.62,6.19,,4.797743396,34,37,6
Green Bay,San Diego,10,11.33,21.22,14,12.8,12.07,4.08,12,17.06,11.19,21,15.66,7.49,11.92,13.11,14.25,10.52,12.26,11.45,,9.75,8.13,13,10,,9.9,12.34,11.03,12.4,10.5,9.5,10.14,18.53,13.96,11.41,13.64,14.83,10.4,13.66,13.98,11.9,7,13.84,,12.01,12.8,16.3,9,13,18.3,,12.01,13.2,10,11.5,11,5,6.5,10.38,13.79,13.65,12.5,11.5,14,12.36,,12.03,14.75,,8.75,6.2,8.4,,10.1,8.85,9.63,,3.2962695258,20,27,6
Indianapolis,New England,-9,-7.23,-13.32,-8,-9.8,-10.15,-6.51,-6,-13.11,-18.2,-9,-16.96,-13.22,-16.06,-8.4,-17.68,-6.21,-6.26,-7,,-10.99,-4.8,-15,-9,,-8.1,-4.87,-7.76,-7.5,-8,-7,-11.24,-16.73,-15.64,-8.95,-8.96,-11.23,-8.7,-2.24,-11.02,-7.2,-7,-20.85,,-8.96,-18,-12.2,-9,-9,-24.7,,-8.07,-8.4,-13,-3.5,-17,0.5,-6.9,-3.28,-11.67,-17.45,-20,-3,-3,-2.9,,-4.63,-12.25,,-11.31,-15.45,-6.52,,-6.6,-5.62,-4.52,,5.2740499572,34,27,6
Jacksonville,Houston,2.5,-1.51,-1.9,0.25,-4.56,-0.31,2.54,1,0.24,1.53,-4,-0.19,3.59,1.18,1.48,1.55,1.95,-1.53,1.88,,-0.39,7,-3,2,,-0.9,-2.05,-1.44,-3.2,1,-1.5,-0.41,-1.16,0.06,-4.23,1.54,-5.53,-0.8,3.53,-0.32,-0.4,-0.16,0.09,,-0.22,2,2.9,-3,-3,2.6,,-1.33,-3.9,4.5,0.01,1,-4,-1,-0.22,-0.33,-0.2,0.7,0.5,-3,2.31,,0.44,0.75,,0.54,1.2,-0.98,,-0.4,-0.63,-1.09,,2.2459944309,31,20,6
Minnesota,Kansas City,3,2.44,10.64,4,1.21,3.79,-1.5,6,4.71,7.08,4,2.5,0.81,7.52,7.82,8.15,6.33,2.3,4.57,,10.75,7,2,3,,4,2.17,2.51,6.3,4,3,-0.02,7.01,4.76,2.29,6.53,-1.81,4.6,7.77,3.58,3.2,-4.81,6.25,,3.61,3.1,5.9,1,3,9.3,,4.89,8.1,5,6,0.01,-1,-3.3,3.07,6.1,1.65,5.3,4.5,7,3.43,,3.61,-1.5,,3.9,-1.4,-0.51,,3.3,2.87,2.18,,3.0581146555,10,16,6
N.Y. Jets,Washington,8,6.69,4.72,6,5.85,6.11,2.94,6,5.08,6.75,-3,8.46,8.17,0.06,12.12,5.03,8.76,6.53,-0.23,,1.49,11.61,9,8,,4.5,5.83,6.87,8.4,6,5.5,6.82,10.04,6.66,8.82,6.57,8.92,3.5,7.88,9.68,9,-1.16,9.82,,6.53,5.9,10.2,4,8,6.4,,3.59,8.9,5,7.5,7,4.5,4.2,9.95,7.23,7.05,2.8,7,-1,2.91,,5.36,9,,5.49,6.35,-0.95,,5.4,6.08,6.37,,3.0008881017,20,34,6
New Orleans,Atlanta,-3.5,-5.77,-12.43,-11,-0.7,-6.69,-3.03,-5,-13.31,-6,-4,-13.55,1.09,-6,-7.99,-12.87,-5.84,-6.57,-12.78,,-13.98,-7,-6,-3.5,,-6.4,-5.74,-5.56,-1.2,-3.5,-2.5,-2.25,-11.23,-14.14,-4.87,-10.42,-0.66,-9.4,-10.32,-4.12,-5.4,-7,-14.26,,-6,-8.3,-11.9,-4,-3,-12,,-3.39,-2.2,-2,-5,-11,-2,-7,-3.36,-12.92,-13.85,-12.5,-2,-6,-1.26,,-3.29,-9.5,,-6.69,-9.8,-7.43,,-2.1,-1.88,-1.36,,4.4162380264,21,31,6
