Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linekalin,linenseye,linestd,rscore,hscore,week
Oakland,Cincinnati,-2.5,-2.73,-5.15,-3,-9.63,-4.85,,0.01,-4.75,-4.46,-11,-6.33,-10.02,-0.78,-5.5,-3.8,-3.36,-2.73,-6.65,,-6.56,-7.59,-7,-2.5,,-3,-2.73,-2.73,-9.8,-3,-3,-5.19,-4.43,,-3,,-4.38,-2.5,,-3.91,-4.6,-6.24,-6.59,,-4.53,-1.1,-4.1,-6,-6,-5.2,,-3.88,-12,-7.5,-5.5,,0.01,-6.2,-4.53,-6.88,-0.15,,-3,-2,-5.34,,-7.72,-6,,-2.81,-5.63,-4.39,,-4.7,-2.28,-4.25,,2.7103945443,33,13,1
San Diego,Detroit,3.5,2.44,1.36,2,3.48,1.81,,3,-0.53,6.74,10,-0.31,-3.01,7.52,1.21,-1.05,1.96,2.44,0.95,,1.8,6.27,2,3.5,,2.2,2.44,2.44,0.9,3,2,1.98,0.46,,3,,2.62,1.3,,2.59,2.9,0.82,1.87,,2,2.9,2.7,2,1,-1.9,,2.92,-0.3,-0.5,0.5,,4,-2.6,2.71,0.59,2.2,,2,4,2.89,,-0.47,-0.5,,2.43,3.69,2.39,,1.7,2.07,0.25,,2.2654690389,28,33,1
San Francisco,Minnesota,-1,0.65,4.74,4,6.33,2.08,,-1,1,-3.66,4,1.7,-5.43,0.02,2.15,0.53,2.46,0.65,2.07,,2.19,-0.03,5,0,,-0.8,0.65,0.65,1.8,-2.5,3.5,4.61,6.42,,3,,1.73,0.8,,5.89,2.5,4.27,2.37,,2.19,6.8,5.1,2,1,4.3,,2.79,0.2,2.5,2,,3.5,-1.2,2.23,2.39,6.3,,1,4,4.29,,6.18,-1,,3.19,0.81,1,,-1.5,3.32,2.98,,2.6563720861,3,20,1
St. Louis,Seattle,-3.5,-5.14,-5.49,-4,-6.1,-7.21,,-6,-9.06,-8.06,-15,-8.3,-11.86,-9.78,-4.18,-7.9,-1.69,-5.14,-10.06,,-9.32,-10.13,-8,-4.5,,-5.1,-5.14,-5.14,-8.9,-4,-3,-5.87,-9.81,,-7,,-9.26,-6.2,,-6.81,-5.3,-6.37,-8.56,,-7,-8.4,-8.7,-9,-9,-8.5,,-3.07,-10,-8.5,-5.25,,-2,-10.1,-3.84,-7.38,-19.25,,-3,-6,-5.62,,-12.01,-8,,-4.48,-2.12,-6.68,,-7.5,-1.59,-4.22,,3.2738692705,31,34,1
Tampa Bay,Tennessee,2.5,3.74,4.97,3,3.24,4.74,,5,10.63,3.44,1,6.77,10.52,2.22,4.84,8.25,4.73,3.74,4.32,,4.27,1.64,11,2.5,,2.8,3.74,3.74,0.7,3,3,3.24,9.64,,4,,4.22,2.6,,6.09,2.2,-1.47,5.26,,4,2.8,8.4,2,8,12,,2.94,0.01,2.5,2.5,,4.5,-1,3.02,3.34,4.3,,4,4,5.91,,8.91,11.5,,3.7,3.44,3.49,,3.5,4.61,3.38,,2.8110606216,42,14,1
Washington,Miami,-3.5,-3.07,-3.04,-1,-8.94,-3.93,,-5,0.46,-10.26,-11,-4.64,2.17,-8.88,-3.49,-4.66,-1.96,-3.07,-9.4,,-9.23,-12.75,-4,-3.5,,-2.1,-3.07,-3.07,-3.5,-3.5,-2.5,-3.33,-4.03,,-6,,-4.71,-0.2,,-3.81,-6.2,-5.69,-9.15,,-3.81,-8.7,-6.6,0.01,-8,-2.6,,-0.44,-3.5,-6.5,-5.25,,3.5,-7.3,-3.1,-6.83,13.1,,-1,-1,-4.78,,-5.72,-1.5,,-3.26,-3.44,-7.06,,-7.4,-0.73,-4.07,,3.9832482811,17,10,1
Buffalo,New England,0,-0.49,-1.25,-0.25,-2.09,-2.11,,-1,-1.65,-3.66,-7,0.05,-5.14,-6.03,-0.73,1.79,0.37,-0.7,-3.77,,-3.52,-0.33,-5,0,,0.8,-1.46,-0.33,-4.1,0,-1.5,-0.15,-11.71,,-3,,-2.32,1.6,,-1.39,-2.9,-3.34,-1.23,2.4,-1.63,-0.5,2.8,-1,-4,0.1,,-0.92,-3.6,-6,0.01,,-2,-1.6,-2.4,-3.61,8,,-1,-5,-6.4,,-1.58,-1,,-2.34,-6.88,-3.98,,-5.1,-0.11,-2.42,,2.983266704,40,32,2
Carolina,Houston,2.5,4.12,-0.09,5,2.42,2.28,,4,3.22,-3.98,-1,1.9,1.04,-4.13,-1.71,7.38,-0.18,4.55,-3.34,,-3.43,-5.15,5,2.5,,4.3,2.96,4.13,6.6,3,3.5,3.22,4.27,,3,,0.29,5.5,,1.01,4.9,0.11,0.43,3.1,3,-3.2,6.3,3,-2,8.8,,4.9,7.2,-2.5,2,,4,-3.7,3.43,-0.25,3.3,,4.5,-1,1.9,,13.23,3,,2.55,1.28,-2.74,,2.3,3.68,3.71,,3.451313805,17,24,2
Chicago,Arizona,-1,-2.68,-2,-1,-1.76,-2.85,,-4,-3.75,-2.27,-3,-3.45,1.51,-2.31,-2.15,-5.18,-0.28,-3.11,-5.81,,-5.62,-4.28,-7,-1,,-2.6,-2.37,-2.6,-2.9,-2,-2,-3.29,-6.88,,-4,,-2.48,-2.7,,-3.49,-2.4,-5.57,-4.92,-1.8,-2.8,-6.5,-6.7,-1,-5,-3.8,,-3.75,-3.2,-1.5,-2.5,,6.5,-5.3,-2.19,-6.84,-0.3,,1,4,-3.69,,-10.83,-4.5,,-1.52,2.76,-2.66,,-4.3,-1.35,-3.31,,2.8081326235,48,23,2
Cincinnati,San Diego,3,3.99,5.01,3,3.43,3.56,,4,3.7,-3.8,12,5.15,0.69,-5.29,3.22,7,3.14,3.43,-1.16,,-1.62,-0.18,4,3,,4.3,3.07,4.26,6.1,3,3.5,4.84,5.19,,3,,-0.01,5.1,,2.31,5.9,-0.38,2.38,6.2,3.69,-1.7,6.9,4,3,7.2,,4.98,6.2,5,6.5,,1.5,3.4,6.57,1.37,-0.45,,6,10,1.7,,3,3.5,,3.57,3.69,1.93,,4,4.23,4.01,,2.9880508132,19,24,2
Cleveland,Tennessee,0,2.51,9.21,4,1,3.2,,0.01,5.54,3.37,1,5.59,2.04,4.23,8.92,-1.89,7.18,2.97,8.18,,7.78,7.42,5,0.5,,-0.6,5.5,2.1,0.5,0,4,2.03,-0.6,,4,,6.78,-1.1,,6.61,-1.8,7.63,-2.56,1.8,2.98,6.6,-1.2,0.01,6,2.9,,0.8,-0.8,10.5,1,,3,-1.5,-2.6,7.7,-5.8,,1.5,6,7.39,,5.52,7,,5.09,4.81,6.9,,4.7,2.36,2.39,,3.5121700058,14,28,2
