Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,linebmc2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,linenseye,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linestd,rscore,date,hscore,date1,week
Cincinnati,Tennessee,6.5,7.19,10.75,7,10.86,9.72,5.48,12,15.5,15.87,9,7.35,1.44,15.49,8.37,9.19,6.83,8.66,9.7,,9.32,7.34,12,7,,,8.99,5.97,8.4,6.5,7,16.3,13.2,,8,,9.75,10.5,9.72,6.67,11.4,7,12.62,11.8,9.32,12.4,17,10,14,12.5,5,10.46,7.7,9,10.5,23,7.1,4,,11.99,12.5,,,8,4.96,16.4,12.21,16.63,17.75,3.94,8.54,0.47,7,,,4.2852514872,7,19987,33,19973,3
Cleveland,Baltimore,-1.5,-3.57,-0.14,-2,-2.4,-2.87,-0.11,-1,-5,-7.04,-2,1.77,-4.62,-2.04,0.15,-2.79,1.02,-1.7,-7.97,,-8.37,-7,-1,-1.5,,,-1.34,-4.22,-3.2,-2,0,-6.14,-12.4,,-3,,-3.62,-2.4,3.77,-2.36,-3.9,-7,-6.54,-5.3,-2.4,-6.8,-3.2,-4,-1.5,0.6,-0.39,-3.85,-2.5,-1,0.01,-17,2.6,-4,,-4.15,-5.35,,,3,-2.46,9.7,-4.08,-1.18,2.63,-1.69,-3.13,-9.91,1,,,3.9896313019,23,19987,21,19973,3
Detroit,Green Bay,1,-3.11,3.4,2,3.31,2.11,8.72,0.01,4,2.95,-6,9.64,-2.72,-2.42,4.35,0.55,4.03,-0.48,8.08,,6.08,15.23,7,1,,,-0.63,-4.12,2.6,2.5,1,2.94,-5.7,,3,,3.34,0.8,2.71,2.98,0.6,-2.45,6.06,7.4,2.94,4.5,6.9,4,-3.5,6,2.55,2.64,3.8,1.5,-0.75,7,3.4,-8,,-8.72,3.2,,,4,1.71,-6.4,-1.35,2.91,1.81,3.68,3.06,13.18,-4,,,4.3587239741,7,19987,19,19973,3
Jacksonville,Indianapolis,-6,-8.22,-13.45,-2,-13.15,-8.15,-5.01,-8,-15.5,-20.64,-3,1.91,-11.41,-11.19,-6.78,-8.63,-4.83,-5.61,-6.2,,-6.46,-0.6,-10,-6,,,-4.69,-9.14,-13.1,-7,-7,-7.37,-5.4,,-7,,-8.18,-7.9,5.21,-4.38,-13.3,-0.76,-17.3,-5.8,-8.22,-9.3,-8.7,-9,-9,-15.8,-3.38,-10.37,-14.3,-11,-4.5,-15,-0.1,-11,,-11.78,-11.5,,,-3,-4.84,-21.3,-8.22,-13.25,-11,-3.23,-13.57,-8.39,-3,,,5.059282748,44,19987,17,19973,3
Miami,Kansas City,4.5,-0.37,-6.88,6,2.1,3.53,4.68,5,3,9.56,11,7.35,0.79,12.45,-2.75,-5.94,-0.77,1.88,1.87,,2.37,-4.76,1,4.5,,,3.2,-1.72,1.1,4,5,8.32,1.6,,3,,-0.86,4.6,13.07,4.83,0.8,14.6,7.81,-1.9,2.37,8.4,17.6,5,9,0.3,2,4.15,0.8,-3,4.25,19,-1.2,1,,8.59,7.55,,,-1,0.7,-7.5,7.69,2.5,2,3.81,-7.42,3.92,3,,,5.3093789903,34,19987,15,19973,3
N.Y. Giants,Houston,1,1.62,8.79,1,-0.11,0.85,-1.19,0.01,3,-9.88,2,-5.4,6.49,-2.39,5.41,5.2,4.96,0.74,-2.29,,-4.37,-10.56,6,1,,,1.56,2.05,3.6,-2,-2.5,-4.68,13.3,,3,,7.59,-5.5,-13.49,5.66,2.8,3.43,-7.27,1.1,1.47,-16.2,-4.1,1,-0.5,1.4,3.02,-0.69,3,7,0.01,-15,10.3,-5,,7.33,-8,,,6,2.55,6.7,7.65,4.28,5.56,-0.44,4.94,9.88,1,,,6.0829093165,17,19987,30,19973,3
N.Y. Jets,Chicago,2.5,-3.44,-0.38,1,-3.24,-1.3,3.41,-4,3,-4.07,1,3.1,5.41,-2.67,-0.43,0.04,0.39,-1.37,-10.18,,-8.52,-13.9,-2,2,,,-1.59,-4.06,1,3,0,-4.53,5.8,,-1,,0.77,0.7,2.63,2.92,-0.2,-3.55,-9.6,1.1,-0.2,-3.7,-10.9,0.01,1.5,0.7,0.74,-2.64,0.4,1,-1.25,-21,1.8,-3,,1.09,3.1,,,-4,-2.69,7.5,2.72,-1,-5,-6.43,-3,1.86,4,,,4.6645086997,27,19987,19,19973,3
New England,Oakland,14,13.89,14.17,11,16.71,15.49,8.06,15,18.5,22.42,14,7.35,10.68,12.92,12.64,20.21,10.32,13.97,20.74,,20.75,7,26,14,,,13.98,12.95,19.4,14,13,13.05,26.4,,16,,14.98,14.4,14.44,11.29,18.7,7,20.18,18,14.44,13.2,20.5,12,17.5,28.2,9.33,19.57,19.5,16,15.25,11,6.2,13,,29.21,15.85,,,10,12.92,30.7,20.87,18.5,18.5,15.09,15.69,7.77,16,,,5.3520602549,9,19987,16,19973,3
New Orleans,Minnesota,10,8.21,20.68,3,11.22,6.37,3.36,9,2.5,-1.74,16,-0.9,13.5,-2.28,10.53,11.17,8.81,8.48,-4.83,,-5.44,-11.45,9,9.5,,,7.83,7.84,15.5,10,9.5,2.62,16.8,,7,,9.5,3.5,-4.78,5.06,14.3,-10.53,3.24,5.3,7,-0.4,6,5,8,7.7,7.72,8.59,17,16.5,6,-3,6.9,3,,0.27,-1.1,,,9,9.35,14.8,-0.02,1.13,-0.25,8.37,12.71,-2.2,6,,,6.2050563486,9,19987,20,19973,3
Philadelphia,Washington,4,5.2,4.12,4,5.65,9,9.15,9,18,9.8,10,7.35,3.36,15.78,10.81,10.94,9.11,6.14,14.33,,13.18,6.54,14,5,,,6.67,4.34,9.4,6.5,7,4.85,15.8,,7,,12.07,7.6,9.42,8.18,10.4,7,6.44,18.9,9,-2.7,11.9,4,14,15,6.05,9.66,9.4,13.5,8.75,-10,9.3,7,,18.49,7.1,,,9,8.24,25.7,15.22,18.75,19.5,5.66,13.41,7.43,12,,,5.6443694621,34,19987,37,19973,3
Seattle,Denver,4,1.32,1.92,3,9.17,4.94,3.52,3,3.5,1.56,11,2.67,7.67,-5.31,4.73,2.17,4.19,3.11,10.03,,9.06,8.99,12,4,,,2.36,0.62,5.6,5,4.5,7.28,15.9,,4,,5.28,2,-2.62,4.61,3.6,6.58,4.84,2.1,4.5,1.4,9.4,4,7,16.7,5.16,4.75,5.5,1.5,1.75,13,-5.1,1,,2.5,8.9,,,6,3.58,14.6,0.78,4.5,5.5,11.45,-0.33,9.66,1,,,4.5443584651,20,19987,26,19973,3
St. Louis,Dallas,-1.5,-0.67,7.84,4,-2.72,0.09,-2.27,-3,8.5,-5.93,1,-0.9,-7.58,-1.6,1.98,5.09,2.47,0.88,4.44,,4.23,7.84,1,-1.5,,,1.24,-1.36,-2.8,1,-1,-3.27,8.3,,2,,4.76,-0.6,2.55,3.25,-2,8.56,-8.46,2.3,0.87,-10.9,-7.8,0.01,4.5,-3.9,2.01,-4.13,-4.1,4,0.75,-15,-0.7,-5,,6.5,-3.1,,,3,2.03,-4.6,6.56,11.94,15.38,2.68,-0.44,-1.81,1,,,5.3618437661,34,19987,31,19973,3
Baltimore,Carolina,3.5,1.53,-6.21,3,1.3,,1.79,6,4.25,16.63,3,1.16,-0.81,8.6,-4.13,-1.28,-1.46,3.28,11.18,11.44,10.87,7,2,6.15,,17.85,3.35,0.62,1.9,3.5,3,8.82,0.8,17.74,3,,0.13,5,-4.41,3.46,5.3,5.67,10.32,-4.7,4.5,10.8,13,5,9,6.4,2,4.61,1.2,-6,3.75,18,-1.7,4,,1.62,8.2,19.4,,1,1.64,7.6,-0.31,2.09,1.19,4.6,-7.59,15.1,-4,,,6.2680879815,10,19994,38,19973,4
Chicago,Green Bay,-1.5,-0.85,-3,5,3.99,,4.61,4,6.25,13.11,-3,9.1,-6.76,5.99,2.34,3.97,2.47,2.07,-1.44,2.41,-2.66,10.42,5,4.92,,2.69,1.74,-2.22,5.1,-1.5,1,11.06,5.8,14.14,4,,-0.38,3.3,3.08,4.65,6.7,1.8,10.44,3.7,3.83,4.9,12.8,0.01,2.5,12.3,2.43,1.77,5.7,-1,1.25,11,8.5,-1,,3.66,5.95,18.5,,4,1.29,12.8,1.83,6,6.5,-0.63,-0.19,-0.68,1,,,4.9830610932,38,19994,17,19973,4
Dallas,New Orleans,-3,-4.74,1.16,0.25,0.27,,2.4,0.01,3.5,-6.47,-1,4.19,-5.64,4.07,-0.92,-4.66,-0.05,-2.2,-7.37,-8.09,-6.79,-11.64,-1,3.71,,-5.52,-1.21,-5.93,-3.9,-3,-3,3.03,1.5,-3.96,1,,-3.69,-0.7,11.23,3.88,-2.6,2.47,-3.35,-4.7,-1.3,0.2,4.8,-5,-2,0.5,-0.5,1.69,-3.9,-6,-1.25,-4,0.9,-3,,-0.64,-0.95,-4.9,,3,-3.8,-8.6,2.66,0.87,0.25,-1.64,-4.34,-1.14,-6,,,3.7597277494,17,19994,38,19973,4
Houston,Buffalo,3.5,0.99,0.21,2,2.79,,2.04,4,-4.75,-3.82,9,3.1,-4.95,-8.42,-1.43,-3.97,-0.42,2.77,16.92,-1.41,17.42,7.84,-6,5.92,,-0.37,2.05,0.29,1.4,3.5,4,-5.04,-6.4,-10.26,-1,,0.64,1.7,2.78,-3.49,1.2,8.59,-4.12,-6.8,0.29,0.4,-3.5,3,0.5,-7.9,3.77,2.51,1.2,-2.5,2.25,-5,4.9,1,,-11.16,1.45,8,,6,4.96,-6.7,-6.17,-4,-5,0,-5.44,19.82,3,,,5.9719752903,17,19994,23,19973,4
Indianapolis,Tennessee,7.5,6.75,5.9,4,6.82,,1.38,13,15,2.48,9,4.29,11.86,4.51,5.17,8.79,4.6,7.13,8.75,8.6,8.93,-3.85,11,4.12,,7.06,6.3,6.48,8.8,7.5,7,7.47,12.4,-8.66,4,,6.4,7.8,-6.99,4.98,11.9,-7,6.5,9.2,6.98,7.5,5.8,5,14,14.7,4.09,9.16,8.5,7,7,4,6.1,3,,5.68,9.75,6.5,,6,6.79,20.1,9.11,13.75,11.5,4.25,4.13,8.44,7,,,4.3733692829,17,19994,41,19973,4
Kansas City,New England,-3.5,-3.65,-1.34,-2,-5.98,,0.35,-2,-0.5,-4.56,-17,0.6,-5.77,1.85,3.57,1.79,3.27,-1.73,-11.32,-4.14,-13.94,8.93,-3,4.36,,-3.52,-1.56,-4.31,1.1,-3.5,-4,2.98,-0.5,5.24,-1,,-0.43,-2.5,-8.44,-1.92,0.4,-10.49,0.73,-4.7,-1.56,-0.1,2.7,-2,0.5,0.6,1.61,1.15,2,1.5,-0.25,2,-0.9,-7,,-2.65,-3.2,0.9,,-2,-3.06,9.1,-5.31,-3,-2.5,-3.14,1.79,8.13,-1,,,4.3644644332,14,19994,41,19973,4
Minnesota,Atlanta,-3,-3.37,3.26,-0.25,-0.26,,5.03,-2,-0.5,-13.8,1,-0.33,1.28,-5.52,3.34,0.52,3.35,-1.14,4.64,-7.23,5.89,-7,1,4.95,,-3.92,-1.71,-4.02,-1.5,-3,-3,-3.1,-0.8,-14.66,3,,6.57,-4,2.92,4.15,-2.6,6.79,-11.15,-4.2,-1.24,-10.1,-0.3,0.01,-5.5,-1.5,1.48,-1.02,-1.8,2.5,-0.5,-11,6.1,-7,,1.58,-1.6,-12.3,,4,1.14,7.5,6.76,-0.5,-1,-4.35,0.69,5.86,-4,,,5.0341613331,28,19994,41,19973,4
N.Y. Jets,Detroit,-1.5,-3.19,1.86,-2,-2.46,,0.34,-2,0.25,-3.29,1,-1.44,-3.42,-2.85,-2.44,-0.03,-0.65,-1.49,-0.31,-4.71,-0.49,7,-4,2.96,,-3.12,-1.66,-3.67,-1.7,-1.5,-1,-6.73,-0.4,-10.36,-3,,-4.82,-4.2,3,1.17,0.5,-0.29,-6.5,-5.8,-1.96,-4.6,-3.6,-7,-3,-0.4,0.62,-0.36,-2.9,-1.5,-1,-7,4,-2,,3.33,-4.8,-2.4,,5,-2.22,6.4,5.9,2.09,-0.31,-1.41,-6.25,2.11,-1,,,3.2209769261,24,19994,17,19973,4
Oakland,Miami,-3.5,-4.66,-4.12,-5,-6.57,,-2.24,-2,-7.75,-6.61,1,-2.5,-0.97,-15.19,-4.45,-2.19,-3.18,-3.79,2.76,-4.4,2.58,-12.45,-7,4.54,,-3.52,-4.69,-4.61,-2.7,-3.5,-3.5,-5.18,-9,-8.3,-4,,-3.67,-1.7,-7.07,-4.59,-1.8,-0.6,-5.76,-7.5,-3.94,-2.2,-3.7,-3,-1,0.1,-3.94,-4.42,-3.2,-5.5,-3.75,0.01,4.4,-8,,-25.96,-2.85,-5.2,,1,-4.02,-5.7,-14.25,-9,-9,-3.88,-7.06,6.03,-6,,,4.5982823714,38,19994,14,19973,4
Pittsburgh,Tampa Bay,7.5,3.94,5.37,9,10.66,,7.07,14,3.5,22.28,20,11.6,3.83,26.6,8.19,11.08,6.55,6.24,11.83,13.17,11.14,7,14,6.19,,16.42,6.9,2.49,12.2,7.5,8,17.87,16,23.14,9,,10.32,12.3,17.36,8.03,16.6,13.23,18.47,13.7,11.65,19.4,18.8,11,12,18.2,4.47,12.61,12.8,6,5.5,23,7.7,10,,12.45,16,25.6,,10,2.59,28.2,9.49,2.31,1.63,9.53,7.88,15.5,6,,,6.4211949166,27,19994,24,19973,4
San Diego,Jacksonville,13.5,11.93,8.65,14,21.87,,12.28,17,19.75,39.79,8,12.8,4.67,35.35,13.79,18.9,10.87,13.84,16.84,24.26,15.46,7,28,9.72,,21,13.06,10.54,27.4,13.5,13.5,23.76,33,46.34,21,,19.87,15.8,11.15,11.14,25.4,7,37.37,15.9,19.49,31.1,21.3,19,21.5,38.8,8.29,15.91,29.8,18,12,37,10.6,15,,22.24,32.7,36.5,,9,7.61,31.2,17.38,17.5,17.5,17.66,16.85,14.31,14,,,9.5786519753,14,19994,33,19973,4
San Francisco,Philadelphia,5,4.24,2.31,3,8.1,,-0.37,2,3.5,1.15,8,-2.05,15.98,-6.45,6.53,10.31,5.29,4.43,-5.97,8.55,-6.65,2.95,6,5.15,,7.56,4.1,4.13,3.9,5.5,3.5,4.49,4.1,16.34,7,,6.98,-0.9,-3.5,4.27,2.7,-5.34,7.51,-3.3,3.96,0.4,6.6,2,6.5,4.4,6.12,9.05,3.8,9,5.75,9,-2.5,-3,,4.34,-0.7,3.4,,-1,6.58,16.2,1.77,6.75,8,6.13,5.17,-6.94,1,,,5.2624813936,21,19994,26,19973,4
Washington,N.Y. Giants,3.5,1.33,3.54,2,0.22,,6.8,4,-2.5,4.79,-4,5.21,9.69,-2.85,1.65,-2.48,1.85,3.87,2.26,-2.6,1.64,7,2,4.74,,-1.58,1.95,0.5,1.6,3.5,4.5,3.08,-5.3,-9.46,0.01,,0.36,3.3,13.07,-2.82,2.6,-5.21,0.93,-4,1.95,11.4,2.6,4,5,3.6,1.91,3.45,2.2,0.01,2.75,1,1.1,1,,-10.65,10.95,13.5,,-1,6.06,6,-2.11,-4.41,-6.31,2.27,-2.44,5.21,4,,,4.731497385,45,19994,14,19973,4
Carolina,Chicago,0,1.23,-0.61,4,3.09,2,5.44,-1,7,-1.92,3,4.06,-1,-6.05,0.21,8.75,0.65,1.51,2.9,-1.24,-10.06,16,5,0,,-0.67,1.9,0.8,2.1,1.5,2.5,1.86,5.2,3.9,3,1.55,9.82,2.3,2.72,4.43,-0.8,5.46,0.86,5.5,2.29,-3.6,2.2,5,8,-0.1,4.23,1.55,2,3,6.81,1,2.6,1,7,2.29,-3.8,0.4,,6,4.11,-10.8,5.47,6.25,5.5,2.76,-2.75,7.2,1,,,3.7958333954,24,20003,31,19973,5
Dallas,Houston,5,4.7,3.94,3,9.38,5.84,1.88,6,10.5,3.24,1,2.23,-2.5,1.11,3.4,7.66,2.79,2.96,2.1,5.94,7.55,7,15,5,,7.67,4.21,6.66,8,7,4,6.07,13.3,5.9,7,3.22,9.07,5.6,3.18,6.84,7.7,-9.38,6.42,6.9,5.97,7.6,11.7,3,2.5,15.1,2.94,4.36,7.9,2.5,6.36,1,7.9,1,13.5,1.53,1.8,5.4,,7,4.19,6.6,8.82,9.43,8.37,4.44,9,14.32,2,,,3.8403835271,17,20003,20,19973,5
Denver,Arizona,10,6.19,-2.68,2,8.94,2.97,4.07,6,5.75,-1.28,12,2.44,13.55,-5.21,-0.78,4.11,0.08,7.09,1.14,11.22,2.71,-7,2,9,,11.33,5.55,4.73,4.7,9,8.5,-2.27,2.6,-2.6,3,-1.97,3.71,3.4,-0.88,-1.7,5.1,-13.19,1.86,-0.5,2.85,-3.5,2.6,6,2.5,3.2,6.71,5.13,4.9,4,2.32,-1,-0.4,1,4,-4.69,0.8,-2.7,,4,8.82,-4.5,2.11,2.3,-1.15,-2.52,5,14.45,3,,,4.5417688471,20,20003,41,19973,5
Detroit,Buffalo,4.5,7.83,5.4,6,10,5.46,5.76,7,4,3.48,-1,5.6,10.04,4.84,6.84,0.78,5.42,6.74,5.34,6.65,-0.04,7,6,4.5,,8.67,6.79,7.85,8,7.5,7,5.33,7.6,5.1,7,6.24,7.53,6.7,7.12,5.46,6.4,1.76,4.36,1.5,5.72,5.8,7.6,9,9.5,5.3,5.6,6.45,8.2,6,-3.77,4,8.1,5,7,4.56,2.3,4.9,,3,5.66,4.4,5.84,2.69,1.38,5.69,3.5,7,4,,,2.5539123378,17,20003,14,19973,5
Green Bay,Minnesota,9,8.13,9.28,4,5.61,5.61,-5.26,9,0.5,2.6,6,-0.43,18.53,7.3,9.86,2.55,8.31,6.92,9.02,13.88,-15.58,-2,12,8.5,,18.67,9.12,6.22,7.4,9,9,3.73,5.4,9,,4.77,3.16,5.3,3.88,5.52,6.9,7,4.58,,5.61,-0.8,10.5,4,9.5,3.1,6.56,7.65,7.3,8.5,2.67,,,6,3,5.84,4.5,4.5,,6,5.57,11.8,3.61,0.01,-0.5,7.13,8.6,-10.26,4,,,5.6720209471,10,20003,42,19973,5
Indianapolis,Baltimore,2.5,2.23,-2.54,-2,2.55,1.93,2.55,4,5,-6.54,25,1.98,0.4,-5.85,0.92,6.98,0.62,2.65,-1.9,5.02,10,-7,2,2.5,,5,1.45,2.7,6.2,3,3,-5.29,4.4,-3.8,3,-1.13,0.03,-0.9,-0.89,2,6.7,-10.3,-2.67,4.9,2,-1.6,3.5,-2,2,3.4,3.09,2.06,6.6,-1.5,9.47,-9,2.4,1,2,-5.98,-5.4,-2.1,,1,4.13,6.3,1.14,3.81,2.62,2.45,10.25,5.97,2,,,4.9336086534,13,20003,20,19973,5
Jacksonville,Pittsburgh,-6,-7.16,-7.74,-6,-14.04,-8.59,-6.18,-7,-6.5,-18.4,-5,-5,-10.06,-19.03,-7.02,-7.74,-8.09,-5.84,-11.37,-6.46,0.09,-7,-12,-6,,-2.67,-6.09,-5.06,-12.5,-7,-6,-7.14,-11.9,-11.4,-8,-6.71,-8.56,-5.1,-9.64,-5.17,-12.8,10.54,-15.46,-14.3,-8,-14.7,-8.3,-10,-5,-9.7,-1.88,-4.46,-13.5,-10,0.07,-13,-0.7,-12,-6,-15.77,-27.3,-3.8,,-9,-11.77,-10.8,-7.67,-3.94,-1.38,-6.64,-7.75,-9.18,-13,,,4.80353313,17,20003,9,19973,5
N.Y. Giants,Atlanta,4,2.42,8.94,4,0.33,3.98,-0.07,4,-1.5,5.29,2,3.1,6.84,9.73,2.64,3.39,2.63,2.4,8.41,5.8,3.92,7,3,4,,7.67,2.41,2.55,6.4,4,3,8.96,6,9.4,4,6.45,8.33,5.4,3.54,5.47,5.7,7,2.32,-1.9,3.6,1.6,9.3,2,5.5,8,2.78,0.55,6.6,12,2.7,9,8.2,-1,2,6.04,-3.6,2,,-1,-3.43,19.4,3.67,-0.37,0.76,6.64,-5,-6.79,1,,,4.2944139496,20,20003,30,19973,5
New England,Cincinnati,-2.5,-2.84,-9.23,-3,-2.5,-6.35,-3.01,-1,-4.5,-28.73,19,-5.03,-3.94,-11.19,-8.75,6.19,-7.59,-1.53,-7,-5.63,-7,-7,-1,-2.5,,-2,-0.63,-4.01,-1.1,0,0,-2.5,-2.7,-20.4,-3,-9.54,-1.97,-4.7,-2.13,-4.42,-4.1,-7,-18.77,-8,-4.68,-18.8,-9.7,-5,1,-6.3,3.39,-1.36,-0.9,-13.5,6.32,-21,-0.3,-6,-11.25,-13.14,-32.1,-18.9,,-4,3.05,-22,-0.31,-7,-9.5,-5.83,-4.67,-13.79,-12,,,8.1486663567,17,20003,43,19973,5
New Orleans,Tampa Bay,12,11.1,6.73,8,14.52,10.37,8.15,9,3,14.94,18,4.56,6.46,5.53,7.65,10.61,6.71,10.62,14.8,12.3,7,7,11,12,,18.67,8.13,11.42,13.5,11.5,11,9.05,7.8,8.3,10,7.78,12.35,7.3,3.43,5.45,14.5,8.72,14.73,8.8,9.18,17.2,12,13,1.5,10,7.38,10.7,14.3,21.5,19.52,14,6.5,9,5.5,4.59,32.5,11.7,,7,11.15,25.5,4.44,3,3,9.3,7.75,7,11,,,5.3758543064,31,20003,37,19973,5
Philadelphia,St. Louis,4,8.71,5.75,7,6.77,9.76,11.61,13,4,15.76,-5,9.95,9.76,6.04,11.37,1.26,9.99,5.56,7,14.77,7,7,8,5,,18.67,6.91,12.98,12.7,7,8,5.04,11.5,14.7,5,9.59,7.53,6,9.69,7.45,12.9,7,13.59,7.5,9.38,10.9,15.6,10,10.5,9.7,6.03,7.41,12.6,7,22.17,15,1.3,11,-0.25,9.16,34.6,15.5,,3,7.29,30.4,7.02,5.34,6.68,6.72,13.83,14.68,10,,,6.1465917591,28,20003,34,19973,5
San Diego,N.Y. Jets,7.5,12.81,8.77,11,12.74,12.92,1.79,11,14,18.21,9,9.27,-1.28,16.51,12.63,10.09,10.18,10.44,7,18.88,7,7,17,8.5,,10,10.35,13.61,13.4,7.5,7,15.63,23.1,23.9,17,12.76,14.91,11,13.34,12.19,12.5,12.43,20.34,11,12.5,15.5,19.1,10,17,18.7,4.49,10.25,14.3,9.5,7.53,18,11.3,3,12.5,18.52,38.8,25.7,,13,6.13,28.9,10.54,16.47,18.94,8.59,7.75,6.45,9,,,6.6333214716,0,20003,31,19973,5
San Francisco,Kansas City,4.5,5.82,4.17,5,6.41,4,4.02,4,5.5,-3.43,25,3.66,-1.98,3.09,-1,9.29,-0.1,5.94,0.85,10.2,-0.03,13.71,5,4.5,,10,7.12,2.92,3.3,5,6.5,4.33,2.2,7.4,4,3.93,8.21,2.5,2.95,5.98,4.8,12.05,1.57,1,4.01,3.9,4.1,4,6.5,-3.1,6.16,4.13,2.3,4.5,10.62,7,-5.8,4,-5.5,4.56,-1,8,,4,9.13,4.7,6.46,7,8.5,8.23,-1.5,-4.81,3,,,4.6300395859,17,20003,22,19973,5
Tennessee,Cleveland,0,0.04,-1.25,2,0.76,0.7,2.49,-1,1,-7.13,-1,0.36,3,8.48,-4.3,6.69,-3.34,0.04,-1.98,4.17,-7,-15,-1,0,,3,1.72,-0.38,3.7,0,1,-3.49,-1.3,-1.7,3,0.98,4.27,-0.9,1.39,5.68,1.8,11.44,-2.15,0.6,0.72,-3,6.4,1,-1,-3.9,5.39,-2.16,3.8,3.5,9.88,1,5.1,2,-3,-2.81,-5.9,-1.9,,-4,5.03,9.8,3.57,-0.11,-1.22,2.06,-7.67,-0.46,-6,,,3.9071133459,29,20003,28,19973,5
Washington,Seattle,-8.5,-10.63,-3.38,-8,-12.52,-10.44,0.07,-7,-14.5,-18.46,-12,-3.83,-4.52,-15.48,-2.56,-15.93,-1.57,-7.61,-7,-16.91,-9.95,15.98,-21,-8.5,,-21.67,-9.02,-10.01,-8.8,-8.5,-8.5,-3.94,-25.8,-13.6,-14,-6.86,-15.25,-8.2,-4.19,-9.38,-6,-6.63,-17.41,-21.3,-10,-10.8,-14.5,-10,-13.5,-23.4,-5.38,-5.92,-8.9,-7,3.22,-17,-3,-10,-15.25,-14.09,-27.5,-10,,-3,-11.51,-20.7,-12.27,-14.87,-15.24,-6.99,-1.92,4.1,-5,,,6.7280971636,27,20003,17,19973,5
Arizona,Washington,7,9.67,9.01,12,12.85,11.35,5.62,9,15.75,20.08,12,7.48,10.49,17.11,6.04,16.21,5.15,9.61,7,11.06,7,7,16,7.5,,11.33,10.99,8.69,12.4,,2.5,11.75,23.4,17.1,14,11.66,14.34,7,27.2,13.56,11.3,7,16.5,13.5,11.33,5,16.8,7,12,16.2,5.51,5.55,12.6,12,10.25,17,-5.3,4,10.5,17.48,15.4,13.6,,6,5.32,20.9,16.56,13.12,20.55,7.69,1.1,-0.58,6,9.2,,5.6392239262,20,20010,30,19973,6
Atlanta,Chicago,2.5,2.66,1.41,4,3.22,3.15,8.22,4,5,4.85,2,3.54,-0.86,1.08,5.79,2.39,5.4,2.63,-0.76,2.17,-2.96,-7,5,2.5,,1.67,1.93,3.29,2.3,3,3,-0.65,1.4,-0.6,2,3.02,3.12,3.3,2.1,2.46,1.3,-7.59,3.26,4.2,2.66,4.3,1.3,6,6,8.8,1.53,2.08,1.3,11,2.75,6,-1,-5,4.75,-2.12,8.3,-0.6,,1,3.28,11.4,0.62,4.88,8.25,3.3,9,13.86,7,-1.1,,3.4362814973,27,20010,13,19973,6
Buffalo,New England,0,-1.21,5.55,2,-1.99,0.94,1.81,-2,3.75,11.03,-6,4.79,-5.63,8.88,2,3.09,2.43,-0.35,7.75,1.34,14.57,7,-3,0,,1.33,-1.41,-1.96,-3.5,-3,-3,4.02,-4.4,9.1,-3,4.48,-6.68,-0.5,2.6,3.01,-2.3,3.84,4.58,-7.6,0.25,4.1,2.1,-3,0.5,-3.2,-1.1,-0.29,-3,6.5,0.25,9,-6.8,-2,2.5,4.5,4.85,7,,-6,-3.82,7.9,-0.55,3.13,2.34,-0.11,-3.4,3.41,-1,-0.3,,4.722173259,37,20010,22,19973,6
Cincinnati,Carolina,7.5,7.44,5.43,6,4.81,8.61,7.61,7,8.75,18.62,13,6.44,3.85,12.5,9.04,8.36,7.29,7.47,7.73,11.37,9.69,7,8,7.5,,15,6.6,8.14,7.3,7.5,7,8,9.1,10.1,7,6.79,7.1,7.3,8.9,6.28,10.2,1.05,12.11,9.2,8,12.7,11.3,8,8.5,10,3,10.44,7,12,7.25,11,0.8,2,12.25,5.51,17.9,11.2,,10,4.4,21.3,2.19,10.5,10.34,6.72,5.45,14.03,6,6,,3.7610134106,37,20010,37,19973,6
Cleveland,Pittsburgh,0,1.45,0.89,1,-1.45,1.5,-0.75,0.01,3.5,6.31,-2,1.05,-1.77,3.97,1.83,3.95,2.15,1.84,6.56,0.84,2.56,-3.55,-1,0,,1.67,0.69,1.71,-0.6,1,0,3.39,-0.8,4.9,0.01,2.7,-4.13,2.5,-2.5,2.66,-1.4,1.08,4.5,-8.2,1.14,0.3,4,1,-1,2.4,1.02,1.14,0.01,1,2.25,5,-4.3,-1,7.5,1.36,6.3,5.6,,-4,-1.82,10.5,-1.69,5.5,9.34,2.85,4.95,2.77,-1,0.6,,3.2815616665,10,20010,31,19973,6
