Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,linebmc2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,linenseye,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linestd,rscore,date,hscore,date1,week
N.Y. Jets,Oakland,5.5,7.25,7.94,4,4.22,6.4,4.36,9,14,12.02,7,3.1,14.65,8.04,3.76,8.47,3.66,7.25,1.22,7.37,-0.46,-2.36,10,5.5,,6.82,7.25,7.25,7,5.5,4.5,5.29,14.5,,5,,2.26,5.9,,5.52,12.1,5.85,4.68,1.97,5.89,3.6,9,2,12,13.3,3.95,5.29,9.9,3,6.5,,5.3,7,,5.39,4.5,,,6.5,5.87,5.9,,2.2,6.41,4.19,3.13,-4.5,17,,,4.0107512468,14,19973,19,19973,1
Philadelphia,Jacksonville,10,12.79,5.44,6,12.86,12.05,10.57,13,18.5,18.92,2,3.1,8.67,16.64,13.65,12.13,11.33,12.79,13.78,17.67,13.56,14.28,18,10,,8.5,12.79,12.79,18.4,10,11,12.37,16.2,,10,,16.5,10.4,,6.47,17.4,6.47,13.81,14.83,12.75,12.7,13,14,14,17.8,10.33,11.49,20.4,17,9.75,,12,10,,11.37,15.7,,,7.5,11.83,18.7,,1.53,5.06,10.75,17.04,14.42,13,,,4.3453143678,17,19973,34,19973,1
Pittsburgh,Cleveland,7,7.22,6.19,4,9.02,8.62,6.44,12,13.5,15.52,10,3.1,15.4,11.14,7.84,10.83,6.45,7.22,8.88,13.47,7.05,-1.6,10,7,,17.93,7.22,7.22,11.2,6.5,5,7.78,17,,8,,7.12,7.2,,6.21,14.3,7.24,8.62,6.19,7.64,5.6,12,3,5,14.3,4.48,6.28,11.7,9,11,,6.8,1,,8.18,8.1,,,7.5,5.81,10.6,,10.18,5.85,5.53,7.69,7.95,7,,,3.5927680074,27,19973,30,19973,1
Seattle,Green Bay,5.5,4.69,9.81,7,14.72,10.8,7.31,14,16.5,7.62,13,3.1,3.24,4.44,11.65,14.76,9.53,4.69,20.24,9.78,18.58,7,22,6,,7.4,4.69,4.69,11.4,6,5.5,12.73,21.4,,16,,15.78,5.9,,10.3,9,12.5,16.39,12.21,9.79,18.5,18.1,9,10.5,26.2,7.53,5.09,12.7,14,6,,11.5,4,,11.6,18.7,,,7,5.04,25,,8.45,2.39,8.47,12.99,18.42,8,,,5.9126122576,16,19973,36,19973,1
St. Louis,Minnesota,3.5,3.13,8.76,2,5.65,4.74,4.35,6,11.5,8.92,5,3.1,1.4,4.54,5.6,7.89,5.2,3.13,-0.87,6.24,-1.51,-8.49,8,3.5,,8.26,3.13,3.13,6.1,4,5.5,6.29,6.1,,7,,5.79,3,,5.86,5.4,6.26,9.1,4.22,5.23,12.8,12.3,1,2,10.4,4.73,5.05,7.3,8.5,5.25,,4.5,1,,6.33,11.55,,,6,4.01,15.1,,-0.22,-1.95,6.12,5.93,-4.4,-11,,,4.2919363616,34,19973,6,19973,1
Tampa Bay,Carolina,2.5,1.44,-9.37,-1,-8.55,-3.39,-4.91,-4,1.5,0.92,-10,3.1,3.22,2.04,-7.34,-3.58,-3.48,1.44,-4.6,1.38,-4,-0.45,-6,1.5,,1.83,1.44,1.44,-4,2.5,-2,-6.74,-7.3,,-3,,-8.04,-1.2,,-4.13,-0.6,-8.9,-6.63,-11.93,-3.53,-9.6,-6.1,-6,-4,-2.7,-0.88,-2.01,-2,-7,2.25,,-3.4,-5,,-7.8,-8.9,,,-3,-1.34,-9.6,,-1.81,-1.62,-2.93,-11.9,-6.86,-5,,,4.0607411712,20,19973,14,19973,1
Baltimore,Pittsburgh,2.5,2.2,-0.58,6,5.11,1.61,0.9,2,4.75,0.72,13,-1.15,-1.41,-4.13,1.02,-2.37,1.7,2.18,4.56,4.87,5.59,4,1,2.5,,5.25,1.75,2.76,-0.3,2.5,3,-0.89,-2,,3,,4.75,1.4,,-0.77,-1.7,5.27,2.49,-2.37,1.6,-2.7,1.5,6,6.5,-3.6,4.91,3.29,-1,1,2,,-1.7,3,,-2.62,11.25,,,-3,2.01,-7.1,,5.21,6.42,1.73,-1.56,5.43,-11,,,4.0036443064,6,19980,26,19973,2
Buffalo,Miami,1,0.82,6.29,-1,0.24,-0.37,-1.17,1,0.5,-2.71,3,3.1,2.2,-1.12,1.69,1.81,2.21,0.93,-11.45,-1.83,-12.22,-7,3,1,,-2.97,1.22,0.74,-1.6,0,1,0.57,-3,,2,,-0.61,-2.2,,1.12,0.2,-12.46,-4.33,-1.79,0.54,-3.1,-1.9,-3,-1,2.2,0.79,-2.6,-2,0.5,1.75,,2.2,-2,,-0.57,-2.25,,,4,0.99,3.1,,1.12,0.74,-0.09,-0.94,-10.01,3,,,3.3611331669,10,19980,29,19973,2
Carolina,Detroit,1,1.33,8.34,5,5.52,4.31,3.66,0.01,5.25,-0.64,10,3.1,4.47,1.44,7.72,6.72,6.19,1.32,-0.64,0.97,-0.53,16.73,5,1.5,,1.05,1.69,1.34,3.4,2.5,3.5,6.67,10.2,,8,,8.35,1.1,,8.17,2.5,9.52,5.36,4.99,4.21,1,8.3,1,9.5,2.4,4.11,1.4,2.5,11.5,3,,-3.4,2,,8.06,4.3,,,6,3.44,11.4,,11.76,9.02,7.57,6.4,-5.92,3,,,3.7375630689,7,19980,24,19973,2
Cincinnati,Atlanta,5,3.07,13.64,4,7.65,7.91,10.09,7,8.25,3.15,7,3.1,8.43,5.51,11.2,6.71,9.03,3.22,15.81,6.57,15.76,5.05,11,5,,7.67,3.13,2.77,9.5,5,5,9.23,15.2,,6,,14.19,7.4,,5.65,10.8,12.41,5.06,11.08,7.52,5.3,10.9,10,6.5,7.9,6.2,9.23,9.4,12,3,,6.3,1,,8.67,13.5,,,7,3.33,18.2,,-1.08,0.34,3.56,12.98,16.67,14,,,4.3487893556,10,19980,24,19973,2
Cleveland,New Orleans,-5,-7.49,-3.89,-4,-7.36,-6.53,-2.11,-5,-2.5,-8.55,-8,3.1,-3.05,-8.32,-5.62,-8.69,-2.95,-6.27,-4.51,-11.4,-4.55,-9.61,-7,-5,,-10.85,-6.25,-7.68,-12.2,-6.5,-6,-3.75,-15.8,,-7,,-8.27,-4.5,,-6.66,-10.7,-16.66,-8.25,-11.01,-6.26,-9.2,-6,-5,-4,-8.6,-2.39,-9.35,-13.4,-12,-5.5,,-2.9,-3,,-16.46,-4.45,,,-9,-2.69,-19,,-3.17,0.16,-6.53,-10.9,-2.01,-13,,,4.1701343265,24,19980,26,19973,2
Denver,Kansas City,13,10.81,3.06,11,11.24,10.4,8.71,13,14,16.87,9,7.35,10.68,16.83,4.57,10.84,4.6,10.1,11.53,19.86,13.12,-15.48,10,12.5,,8.14,10.2,10.32,9.5,13,12.5,9.59,15.4,,7,,11.99,13.6,,9.09,11.6,7.12,16.59,2.45,10.5,15.2,15.1,15,11.5,11.5,5.21,12.74,9.3,10,12.25,,-5.3,7,,15.85,20.35,,,10,7.39,17.4,,19.39,12.78,5.57,6.15,9.96,4,,,4.6786442781,17,19980,24,19973,2
Green Bay,N.Y. Jets,7.5,10.26,5.14,5,9.39,7,-1.43,10,-1.25,11.5,5,-1.15,16.73,13.36,7.09,1.94,6.11,8.97,8.74,16.81,9.18,9.48,6,7.5,,12.89,9.03,11.2,4.2,8,8,-0.6,4.3,,4,,9.82,4.1,,2.47,3.3,3,5.72,4.84,6.62,-5.9,6.9,7,11,12.5,6.33,8.19,4,9,11,,11.2,5,,0.51,8.35,,,4,8.85,6.3,,17.48,9.96,6.15,6.19,3.21,-3,,,4.9453934288,24,19980,31,19973,2
Indianapolis,Philadelphia,3,1.37,1.32,2,1.68,1.42,0.19,3,7.75,-2.16,14,-1.15,-0.99,0.79,2.12,2.2,2.09,1.14,-9.91,4.37,-10.78,3.01,-2,3,,4,1.16,2.13,1.9,3,3,-0.04,2.3,,3,,0.95,0.6,,3.12,2.7,-10.5,3.36,-1.35,1.34,-3.3,4.6,-2,0.5,0.3,3.05,-0.33,1.9,3,4.25,,0.9,-1,,-6.92,1.1,,,1,2.35,-5.4,,16.36,7.71,3.75,-0.47,-6.9,14,,,4.72458794,30,19980,27,19973,2
Minnesota,New England,-3.5,-4.01,-2.77,2,-2.66,-0.77,2.33,-1,1,-3.06,-3,7.35,-10.03,-6.69,-4.61,-0.85,-3.3,-2.66,12.89,-6.2,12.58,14.73,-1,-3.5,,-3.88,-2.95,-5.05,-4.4,-3,-3,3.32,-8.2,,-3,,-2.79,1.8,,4.33,-2.4,10.31,4.31,-11.16,-2.25,9.3,9.2,3,2.5,5,-3.61,-1.29,-5.2,-8.5,-0.75,,-2.1,-6,,1.52,12.45,,,-1,-3.34,-6,,-2.45,4.11,-0.54,-11.43,10.39,-7,,,5.8537566875,30,19980,7,19973,2
N.Y. Giants,Arizona,2,0.91,-0.03,2,-1.28,-3.05,-0.94,1,-6.25,-0.01,13,0.05,1.57,-2.9,-3.84,-8.25,-1.51,0.97,-14.06,1.74,-13.05,-7,-8,1.5,,2.21,0.81,1.36,-0.3,-2.5,1,-5.79,-3.7,,-4,,-6.08,-2.2,,-7.31,1.6,-4.87,-9.81,-8.33,-2.55,-19.9,-10.4,-3,-8,-14.2,1.58,-3.12,-0.6,-6.5,0.75,,-5.7,-7,,-7.48,-6.05,,,4,2.55,-17.7,,11.35,6.19,-8.53,-8,-8.22,-11,,,6.2881871738,25,19980,14,19973,2
Oakland,Houston,-3,-0.93,3.5,0.25,-2.67,-0.03,-0.28,-2,1.25,-1.88,-6,-1.15,-4.84,-2.87,4.29,1.91,4.12,-0.75,0.17,0.71,0.32,12.21,1,-2.5,,1.1,-0.75,-0.43,-0.2,-3,-3,-1.51,0.4,,1,,4,-4.4,,3.27,-0.9,0.35,-3.79,1.21,-0.24,-7.7,3.3,-1,3.5,4.6,1.5,-1.14,-0.3,5.5,-0.5,,9.9,-9,,2.84,0.95,,,3,-2.07,7.4,,-7.13,-3.76,-1.81,2.31,8.29,-2,,,3.6862435543,30,19980,14,19973,2
San Diego,Seattle,-4.5,-5.27,-2.43,-4,-5.16,-4.81,-2.41,-3,-1.25,-9.52,3,0.05,4.04,-10.05,-2.79,-1.43,-0.91,-4.41,-7.49,-7.14,-8.15,12.52,-7,-4.5,,-5.62,-4.59,-5.02,-3.7,-5.5,-5,-5.93,-8,,-7,,-5.94,-7.1,,-3.72,-2.5,0.53,-8.93,-8.46,-4.86,-14.1,-4.7,-8,-1.5,-9.7,-2.87,-6.32,-4,-4,-5.25,,-1.8,-7,,-6.36,-11.05,,,-1,-3.85,-10.1,,-9.54,-1.07,-5.57,-6.89,-7.01,-3,,,3.5798582059,21,19980,30,19973,2
San Francisco,Chicago,7,8.21,4.74,8,13.48,11.7,7.76,8,13.5,11.53,16,7.35,14.07,10.69,9.91,16.96,8.32,7.7,16.83,10.93,17.65,11.57,17,7.5,,10.35,8.08,7.64,10,7,7,11.33,22.6,,14,,15.78,11.3,,12.63,9,16.38,15.97,8.91,11.15,14.4,16.9,11,19,20.6,6.39,14.12,10.1,16,10.75,,1.2,6,,11.86,13.3,,,9,6.77,27.7,,10.79,10.08,12.56,10.64,13.99,14,,,4.5073386693,28,19980,20,19973,2
Tampa Bay,St. Louis,4,4.1,-1.47,1,4.05,1.6,1.33,5,-2.75,0.31,2,3.1,1.96,-1.96,-1.04,-0.1,0.27,4.23,-7.62,5.18,-7.82,0.88,0.01,4,,5.92,3.79,3.95,5.9,5.5,3.5,2.04,-0.4,,2,,-1.04,2.1,,3.58,3,-3.99,7.87,-4.91,1.98,7.6,9.5,3,1,2.6,2.61,4.89,5.7,-1,4.5,,0.9,1,,-1.58,3.7,,,3,2.51,-6.2,,-1.41,-0.31,1.94,-4.31,-6.62,-4,,,3.7573632555,19,19980,17,19973,2
Tennessee,Dallas,3,1.65,8.7,5,1.4,4.31,4.71,3,6,-0.83,-1,7.35,6,4.43,1.88,5.95,2.31,2.13,7.28,2.87,7.12,7,2,3,,3.97,2.3,0.68,8.4,3.5,3,7.94,-0.9,,3,,3.9,5.7,,6.58,6.8,3.33,5.68,-1.5,3.94,14.9,13.5,7,8,8.7,2.25,4.91,9.1,2,4,,0.6,1,,-0.14,17.35,,,-1,-1.46,14.8,,-1.2,0.59,6.94,-0.63,7.34,2,,,4.2457737132,26,19980,10,19973,2
Washington,Jacksonville,5,8.42,1.78,6,6.74,5.04,6.85,7,-0.25,2.35,-1,3.1,8.8,4.82,5.84,1.38,5.84,7.77,-3.13,5.27,-2.61,-10.55,4,5,,6.05,7.77,8.43,8.7,6,6,3.73,4.1,,3,,6.28,3.7,,-4.02,6.7,-1.38,7.3,3.35,5.84,6,-0.7,10,4,-1.7,7.28,3.03,10.7,6.5,6,,8.9,4,,-13.69,6.6,,,4,8.95,-8.2,,20.9,14.79,3.54,4.63,4.72,10,,,5.1829927077,10,19980,41,19973,2
Arizona,San Francisco,-3,-4.4,1.62,2,-0.16,1.54,2.45,3,0.5,6.09,11,6.13,-4.87,6.26,-0.14,2.79,0.79,-1.57,2.15,,1.82,-1.12,1,-2,,,-1.07,-5.56,3.3,-3,-3,4.07,-0.3,,0.01,,-0.33,2,9.5,4.37,1.7,2.8,0.41,1.7,1.62,2.4,2.8,2,7,7.3,-0.66,-0.21,3.9,-1,1,-3,-5.6,-4,,3.05,8.25,,,4,-0.15,4.3,5.38,0.66,0.81,-0.06,-3.14,5.25,-1,,,3.5711636479,14,19987,23,19973,3
Atlanta,Tampa Bay,5.5,4.21,1.94,6,4.85,5.42,4.82,9,5.5,10.61,16,7.35,8.38,14,4.1,0.8,3.62,5.44,1.69,,0.2,-6.88,4,5.5,,,6.19,3.22,4.1,5.5,6.5,1.71,3.1,,4,,2.78,6.4,17.36,4.73,6.7,2.58,4.53,-1.6,4.51,-0.1,12.7,5,10.5,7.4,4.18,4.07,4.1,2,8.75,5,1.2,3,,4.76,8.7,,,4,-0.15,14.7,5.38,7.87,10.25,4.51,1.69,3.75,4,,,3.9341483296,14,19987,56,19973,3
Buffalo,San Diego,2.5,-2.28,-1.8,2,1.94,-1.13,2.37,-2,-1,4.46,-3,6.15,-0.79,3.37,-1.57,-6.12,-0.15,0.37,-9.78,,-10.08,-2.31,-5,2,,,0.96,-3.63,-3.2,2.5,0,6.01,-15,,-3,,-6.8,0.7,9.35,1.48,-1.4,-5,0.83,-2.8,-0.85,4.9,8.7,-3,-4,-7.8,1.29,-0.46,-3.3,-4,2,4,-2.4,2,,-5.42,-3.25,,,-4,-0.85,-9,-0.71,0.63,2.25,2.49,-5.28,-7.09,-6,,,4.6021413123,22,19987,10,19973,3
Carolina,Pittsburgh,0,2.93,6.22,8,9.22,7.27,4.97,4,6.5,11.34,13,7.35,-0.84,6,8.14,6.25,6.49,5.25,2.17,,3.1,14.94,10,1.5,,,4.8,1.73,8,3.5,3,12.24,5,,10,,11.15,10.3,9.64,6.64,3.9,-8.67,16.97,0.6,6.95,13.3,13.7,9,10,13.2,5.41,8.36,8.6,10,7.25,15,3,3,,1.52,15.25,,,5,4.33,8.4,7.4,9.72,12.93,6.95,7.03,-0.7,5,,,4.1625954642,37,19987,19,19973,3
