Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,linedoi,linelinx,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
New Orleans,Oakland,3,-1.37,0.5,1,2.85,-0.22,,-1,2.5,-0.96,-7,-0.66,-2.32,-1.28,2.3,-0.81,2.19,-1.37,-4.25,-6.5,-13.07,-1,2.5,,-0.4,-1.37,-1.37,3.9,1.5,2,2.54,1.11,,-1.77,,-4.05,-1.9,,-0.65,6.7,-0.1,-4.26,0.8,-0.65,0.01,-1.3,-1,5,2.6,-3.2,-0.14,3.3,0.01,1,,4.5,-3.5,1.37,-1.3,-1.95,,0.01,0.8,2.59,1.13,5.06,-5.52,1.75,-1.6,2.37,-0.14,2.8227209805,35,34,1
Philadelphia,Cleveland,3.5,8.09,6.44,7,5.5,5.86,,6,7,6.94,9,6.57,0.96,5.82,7.03,3.53,6.53,8.09,3.12,7.64,-4.02,4,4,,5.7,8.09,8.09,10.5,4,7,7.78,5.43,,3.64,,7.46,7.4,,6.36,5.2,6.05,3.83,6.7,6.05,4.6,6.5,10,8,1.5,3,3.57,10.2,9,5,,5.5,-1,7.4,6.09,4.8,,6,3.19,8.92,5.03,8.19,2.93,4.21,6.4,4.52,5.55,2.4070034653,10,29,1
San Francisco,Los Angeles,-3,-0.25,-3.62,1,0.94,-1.34,,1,2.5,-4.36,4,-2.3,-5.11,-3.38,-1.05,-2.39,-0.18,-0.25,0.33,-2.5,2.11,-3,-3,,-2.2,-0.25,-0.25,-2.7,-2.5,-2,,0.45,,-2.17,,-3.94,-1.8,,-2.45,-2.8,0.25,-2.77,-0.1,-1.1,-2.7,-1.1,0.01,-1,-4.1,-4,-1.26,-3.3,-1.5,0.5,,-6,1.2,-0.99,-2.6,-1.75,,-1,1.47,1.94,-0.8,-0.63,0.31,-5.6,-0.9,0.78,0.48,2.0507288349,0,28,1
Seattle,Miami,10.5,9.84,14.43,8,15.54,12.72,,13,11,15.84,5,13.59,6.93,14.72,11.39,17.29,9.34,9.84,7,7,13.73,20,10.5,,9.6,9.84,9.84,18.6,10,7,14.18,17.81,,14.13,,14.98,8.7,,11.26,13.3,9.23,19.94,10.5,12.37,22.8,17.3,10,15,23.2,16.6,10.85,20.3,16,10,,9.5,8.5,12.38,11.11,20.95,,9,12.36,13.25,12.48,8.01,7,5.77,13.3,8.72,10.87,4.3525731119,10,12,1
Tennessee,Minnesota,-3,-5.86,-7.27,-5,-11.67,-7.97,,-6,-10,-11.86,-14,-13.64,-17.12,-13.28,-4.52,-14.5,-2.58,-5.86,-9.23,-7,-14.12,-17,-3.5,,-4,-5.86,-5.86,-7.5,-2.5,-3,-6.32,-19.71,,-13.72,,-11.31,-5.9,,-6.64,-3.7,-11.04,-14.69,-3.5,-7.14,-10,-13.7,-4,-8,-23.8,-2.9,0.12,-8.8,-9,-3,,5,1,-3.29,-10.94,-11.9,,-2,-4.2,-8.75,-7.58,-1.31,-4.52,0.06,-4,-3.27,-4.93,5.5053578124,25,16,1
Washington,Pittsburgh,-1.5,-4.41,-0.14,-1,-7.02,-2.83,,-2,0.01,-6.76,2,-4.88,3.54,-8.98,-0.85,-3.98,-0.16,-4.41,-1.73,-1.06,-1.89,-4,-1.5,,-2.1,-4.41,-4.41,-1.2,-3,-3,-2.55,0.02,,-6.21,,-5.07,-1.2,,-7.04,0.3,-2.77,-8.19,-4.1,-2.43,-9.5,-5.5,-1,-2,-4.9,-4.2,-5.67,-2.3,-4,1,,1.5,-6.9,-2.24,-3.88,-6.3,,-1,-2.92,-0.19,-3.04,0.44,-6.4,-3.77,-1.7,-0.58,-3.35,3.0142187235,38,16,1
Arizona,Tampa Bay,7,6.69,11.55,8,14.97,9.21,,10,9.5,8.99,15,13.87,9.82,11.16,10.65,5.61,9.61,6.3,16.46,10.33,16.76,14,7.5,,4.6,6.08,7.15,13.9,6.5,7,11.49,16.2,,11.75,,11.37,2.7,-14,11.63,9.9,13.93,15.76,10.5,9.82,10.7,10.3,7,11,9.4,2.4,8.01,15.8,,6,11,5,8.9,9.77,11.25,-0.6,,5.5,9.57,9.16,7.89,10.07,7.01,5.93,11.6,6.83,8.98,4.6944724935,7,40,2
Buffalo,N.Y. Jets,-1,2.14,-0.67,2,5.41,0.84,,2,-2,-3.63,4,-1.48,-0.05,-1.92,0.76,-0.64,1.3,2.23,-2.71,-0.22,12.17,1,-0.5,,-0.4,2.21,2.08,-2.6,-1,2.5,2.32,1.67,,0.66,,-0.39,-0.9,8.22,1.53,0.8,1.6,-2.95,3.9,1,-2.8,0.7,1,3,1.4,-0.7,0.88,-3.7,,0.5,4,1,-4.1,4.86,-0.17,3.95,,3,2.09,2.36,1.34,1.5,2.96,1.57,0.7,2.22,1.6,2.3554380768,37,31,2
Carolina,San Francisco,13,7.59,18.63,7,11.91,10.93,,13,2,11.89,13,15.01,10.92,14.15,15.69,8.49,13.35,7.71,4.35,3.39,10.39,18,13,,10.3,7.44,7.76,17.4,13.5,11.5,14.05,16.54,,12.42,,16.65,7.2,-7.34,14.33,14.8,14.75,9.32,8.5,11,5,10.7,6,13,13.8,8.9,10.39,18.4,,13,11,13.5,12,11.82,11.35,8.5,,10,10.33,7.78,10.12,18.18,3.05,5.11,18.6,7.59,9.97,4.7552490059,27,46,2
Chicago,Philadelphia,3,1.22,2.59,-0.25,-2.28,0.08,,3,-4.25,-3.96,-10,-4.72,-3.27,1.62,2.45,-1.39,2.63,1.39,-1.28,-3.82,-13.05,1,2.5,,-0.1,1.28,1.19,0.1,3,1,2.84,-0.78,,0.87,,0.16,-3.2,-7.34,0.52,1.2,1.82,-0.64,2.3,0.85,3.4,2,-3,-1,-1.4,7.9,1.38,0.6,,4,11,3,2.1,3.13,1.23,-9.1,,5,-0.91,-1.32,0.89,-0.63,-3.43,1.91,3.5,0.95,0.85,3.5526478353,29,14,2
Cleveland,Baltimore,-4.5,-6.71,-1.63,-3,-4.23,-5.15,,-5,-4.75,-13.27,-1,-6.62,-6.77,-13.65,-0.04,-5.22,0.23,-6.59,-5.91,-8.89,-5.34,-3,-4.5,,-8.7,-6.62,-6.83,-5.7,-7,-6.5,-0.99,-4.52,,-4,,-6.05,-10.5,-7.34,-0.67,-6.9,-1.58,-8.11,-4,-5.22,-10.5,-7.2,-6,-2,-5.1,-5.9,-7.19,-6,,-4,11,-1.5,-10.7,-7.35,-3.89,-14.5,,-6,-0.08,-5.09,-2.85,-1.13,-4.3,-3.62,-4.8,-0.53,-4.16,3.973267107,25,20,2
Denver,Indianapolis,6.5,5.47,10.29,8,13.23,9.2,,6,10.25,9.16,12,19.34,12.57,12.12,9.1,13.11,7.54,5.64,9.23,0.78,16.85,17,6.5,,6,5.76,5.26,11.6,6,5.5,8.98,20.58,,11.89,,10.92,6.1,18.56,5.33,5.9,8.13,17.31,6.9,9,11.7,15.7,9,12,25.6,11.9,3.31,13,,7,-5,5,1,5.41,7.29,3.1,,2.5,4.34,9.55,7.37,3.4,10.07,5.52,7.6,7.17,6.86,5.3025739305,20,34,2
Detroit,Tennessee,6,7.33,7.6,8,12.14,8.87,,7,6.25,9.76,9,9.72,11.96,9.83,6.22,13.23,5.61,7.38,8.65,11.33,12.52,16,6,,4.8,7.5,7.2,11.7,6,5,7.56,18.02,,11.16,,9.56,4.1,20,9.22,9.1,10.52,10.6,8.2,8.65,12.9,15.3,6,12,13.9,3.7,6,12,,6.5,-5,5,1,6.67,12.61,1.45,,5.5,7.33,16.71,7.19,5.69,9.25,2.94,6.1,7.23,9.76,4.2521097815,16,15,2
Houston,Kansas City,1,1.31,-1.34,-0.25,-6.13,-1.16,,1,0.01,-1.4,-4,-4.33,-3.11,-1.85,-2.29,-2.5,-0.92,1.05,-1.08,2.34,-4.94,-7,1,,0.6,1.1,1.44,1.9,3,1,-3.16,-1.85,,-6.38,,-7.11,-1.2,3,-1.38,4,-2.38,-5.24,-0.9,-1,-0.6,-2.9,-2,-4,-4.9,0.7,2.69,0.9,,-1,4,2,-1.4,1.97,-3.9,0.95,,1.5,-0.2,0.58,0.3,-3.34,-3.3,0.28,0.6,-0.24,-0.23,2.7775630761,12,19,2
Los Angeles,Seattle,-4.5,-4.48,-6.51,-3,-9.41,-7.23,,-9,-5.25,-14.35,-16,-8.26,-8.61,-13.96,-4.51,-7.08,-2.27,-4.54,-10.06,-4.35,-7,-13,-5,,-6.7,-4.65,-4.43,-8.1,-3.5,-6.5,,-8.97,,-7.85,,-9.77,-9.9,-7.34,-4.07,-2.9,-4.15,-13.33,-5.5,-7.27,-15.2,-10.9,-7,-7,-13.7,-8.1,-6.44,-9.9,,-4.5,11,-6,-10.8,-4.68,-7.35,-1.7,,-4,-9.29,-3.06,-4.4,-5.89,-7.61,2.61,-8.3,-3.72,-7.2,4.215469097,3,9,2
Minnesota,Green Bay,-1.5,1.36,3.88,2,1.55,1.77,,0.01,4,-0.94,-1,3.19,1.5,-0.09,3.7,3.81,3.58,1.3,5.9,3.08,4.37,3,-0.5,,-1.7,1.32,1.39,-0.1,-2.5,-3,2.12,6.69,,1.72,,3.67,-0.9,3,1.13,-0.4,1.77,3.52,-0.3,1.55,0.3,4.2,2,2,5.4,4.2,-1.78,0.4,,0.01,4,0.5,-3.8,0.7,5.32,6.65,,0.01,-0.67,2.65,2.18,0.72,0.8,-3.29,-1.4,2.97,-1.23,2.2291870856,14,17,2
N.Y. Giants,New Orleans,4,5.44,1.45,4,3.58,3.79,,9,1.75,6.51,5,2.53,5.48,5.5,4.51,2.68,4.42,5.68,-1.92,3.23,-1.07,3,4,,5.1,5.76,5.22,2.4,4.5,3.5,3.9,1.56,,2.59,,3.54,5.2,20,4.93,-1.1,-0.5,3.25,3.7,3.9,2.2,7.9,4,4,-0.9,5.4,4.2,2.8,,5.5,-5,1,2.4,6.24,1.53,-1.25,,6.5,3.96,1.38,3.02,2.75,1.24,5.46,5.9,3.88,5.35,3.2885314024,13,16,2
New England,Miami,6.5,9.47,12.22,8,12.25,10.16,,13,9.75,9.03,14,13.08,12.14,15.06,11.35,8.43,9.64,10.09,14.66,11.11,15.31,12,7.5,,7.4,10.1,9.05,9.1,6.5,5.5,11.53,16.46,,11.73,,14.22,8.3,14.78,10.53,5.2,7.8,13.65,9.9,10.1,13.2,14,9,12,9.1,6.6,7.15,9.7,,8.5,-5,9.5,3.1,6.36,9.29,7.4,,6,10.47,10.18,9.17,10.96,13.14,1.76,12.2,7.31,8.8,3.3853326654,24,31,2
Oakland,Atlanta,4,6.46,2.37,3,1.63,5.68,,8,9,9.37,-2,5.09,9.89,6.42,1.7,10.44,2.01,6.73,8.95,5.45,9.32,7,4,,4.4,6.83,6.19,6.5,4.5,4,2.21,10.72,,3.83,,4.65,4.3,20,5.83,4.1,2.96,7.86,6.1,5.5,3.6,13.4,3,4,9.8,2.8,3.67,6.9,,5.5,-5,4,1,7.89,6.2,9.1,,5.5,3.23,6.92,5.87,3.25,6.13,8.74,6.5,3.27,4.44,3.712106776,35,28,2
Pittsburgh,Cincinnati,3,5.16,0.04,1,2.69,3.67,,7,7.5,3.93,8,4.45,6.81,2.59,1.31,8.72,1.75,4.77,0.06,0.71,-10.82,3,3,,3.3,4.8,5.43,0.2,3,4,1.5,3.72,,1.98,,0.5,3,3,4.63,0.6,0.47,6.41,4.5,3.66,12,8.9,2,5,9.4,2.3,3.66,0.6,,4,4,3,1.4,6.88,2.01,-7.65,,6.5,0.68,3.63,4.24,1.86,4.62,6.45,4.2,4.02,4.65,3.0437768387,16,24,2
San Diego,Jacksonville,3,1.56,3.73,5,8.52,4.2,,2,5.25,-4.62,17,6.53,7.16,-2.22,2.4,8.57,2.23,1.45,4.94,7.56,12.79,9,3,,2.2,1.49,1.6,3.6,3,3,3.26,13.51,,5.79,,3.11,1.4,8.22,5.93,3,4.1,7.25,4.6,3.73,5.3,13,3,5,13.1,4,2.04,4.1,,3.5,4,0.5,-5.2,5.14,2.08,0.15,,2,3.89,3.88,3.52,-1.5,2.15,-3.1,-0.3,4.14,2.81,4.0317747356,14,38,2
Washington,Dallas,3,-0.66,7.56,3,-0.69,3.46,,1,1.75,-2.28,-3,2.26,1.32,1.99,7.08,3.35,6.12,-0.32,5.74,7.78,1.25,4,3,,1.2,-0.32,-0.91,8.4,2.5,3,6.34,8.23,,3.07,,4.8,-0.6,3,4.93,8.9,7.37,6.05,0.7,3.07,3.6,6,1,4,5.5,4.8,-1.5,8.8,,0.5,4,3,5.8,4.67,8.38,-0.55,,1.5,1.76,9.26,3.65,8.69,1.3,3.24,4.3,2.6,2.69,3.1631581705,27,23,2
Buffalo,Arizona,-4.5,-3.29,-10.5,-3,-2.1,-4.89,-6.46,-5,-3.25,1.05,1,-7.72,-6.31,-4.22,-13.66,-7.58,-7.81,-3.12,-7.08,-6.34,8.41,-5,-4.5,,-5.7,-3.19,-3.55,-7.9,-3.5,-5,-2.41,-8.46,-0.89,-4.52,,-6.95,-6.9,8.22,-5.22,-4.5,-3.32,-13.32,-4.5,-4.52,-13.5,-9.1,-4,-2,-3.9,-4.3,-3.43,-8.7,,-4,-11,-1,-5.6,-2.2,-7.15,-8.5,5.3,-2,-1.57,-0.14,-4.45,-9.5,-5.75,4.22,-5.1,-1.53,-3.91,3.9384189234,18,33,3
