Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,linedoi,linelinx,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
New Orleans,Atlanta,2.5,1.21,4.22,-1,3.03,1.34,-3.28,2,8.5,-1.41,-4,2.06,4.51,-1.18,1.37,0.85,1.72,0.46,3.49,3.2,-1.02,1,2.5,,1.1,0.41,1.73,5.2,3,3,2.19,2.63,0.31,0.01,,-0.97,-0.9,3,1.38,4.7,-7,1.71,2.7,1.6,2.1,-0.7,-2,3,2.4,-1.5,0.14,4.6,,1,9,2.5,-3.1,3.82,-6.82,-6.15,5,1.5,2.68,4.75,2.52,-4,1.21,7.24,1.9,1.94,0.94,2.9567063482,45,32,3
Philadelphia,Pittsburgh,-4,-2.52,-0.04,1,-4.61,-1.49,18.18,-5,-2.25,1.19,-1,-5.66,-4.54,-9.17,4.97,-4.56,4.02,-2.61,8.83,9.11,-3.54,-6,-4,,-4,-2.49,-2.54,-2.9,-3.5,-3.5,-3.34,-2.94,21.41,-5.58,,-3.4,-4.5,1.56,-4.12,-5.5,7,-6.92,-3.4,-2.97,-2.3,-7.3,1,-3,-6.5,-10.5,-7.01,-4.8,,-4.5,-1,2,-9.3,-3.12,12.23,-0.25,6.9,-4.5,-0.62,-0.21,-4.08,0.01,5.42,-4.41,-7.1,-1.03,-3.86,6.0125771287,3,34,3
Seattle,San Francisco,10.5,5.76,-3.02,5,13.83,5.13,3.21,12,-2.75,4.26,10,6.81,8.21,2.05,-5.12,-2.95,-0.22,6.39,-2.02,-1.14,-2.63,15,10,,7.6,6.12,5.51,13.8,9.5,10,15.85,8.33,-14.59,12.01,,14.92,5.1,3,13.48,9.5,3.93,1.12,10.1,7,-5.2,3.5,6,11,7.2,11.7,7.55,14.4,,11,-12,9,12.3,8.6,-10.41,-3.6,-5,9,2.12,8.15,10.16,-18,-1.36,2.5,18.1,7.38,9.15,7.7366954854,18,37,3
Tampa Bay,Los Angeles,3.5,2.34,5.64,1,-3.8,2.32,8.57,3,9.5,7.2,-7,-3.38,1.96,10.69,8.45,4.34,8.98,2.48,-3.1,-3.45,7.34,-1,3.5,,1.8,2.57,2.11,1.5,5.5,3.5,,-5.52,-4.09,-1.96,,-1.82,-1,14.78,1.98,0.9,-10.2,-0.27,1.7,1.96,0.2,6.9,2,1,-5,7.8,2.46,1.2,,5.5,9,9.5,2.5,5.62,-5.04,-6.55,0.1,3,5.8,1.79,0.52,16.5,-0.03,-0.32,5.2,1.11,0.96,4.9973304153,37,32,3
Tennessee,Oakland,-1.5,-1.02,5.41,1,-4.78,1.58,23.07,-1,-1.25,8.7,-2,-0.86,-1.27,5.78,0.46,4.37,1.45,-0.7,13.61,13.26,-3.42,-5,-1.5,,1.4,-0.54,-1.41,-0.8,1.5,0,-1.68,-2.48,30.41,-4.56,,-4.74,1.3,-14,-0.62,0.5,7,1.36,-1.9,-0.27,5.5,6.4,2,-1,-1.2,4.9,0.69,-1.2,,-1,12,1,-1.2,0.94,17.17,2.15,6.1,0.01,3.9,-9.26,-2.02,-13.5,10.72,-2.57,-3.6,0.39,-2.82,7.3409070912,17,10,3
Arizona,Los Angeles,9.5,7.75,6.81,5,13.72,9.07,11.59,9,16,14.61,10,12.37,10.55,9.46,11.71,3.52,8.56,5.66,6.76,5.85,7,12,9.5,,6.6,5.48,9.81,10.6,8,9.5,,8.31,11.4,9.33,,7.4,5.1,-2.22,11.32,7.2,0.05,16.69,10.6,9,13.1,8.1,7,9,6.9,9.9,11.52,11.5,15.5,8,17,12,9,13.13,0.39,3.4,8,7.5,2.7,7.95,8.57,13,6.71,5.91,11.8,7.09,7.8,3.7221532405,17,13,4
Atlanta,Carolina,-3,-0.81,-4.44,-2,-6.59,-3.67,1.21,-1,-6.75,-2.15,-12,-7.62,-5.85,-4.48,3.84,-2.96,4.16,-0.36,-5.33,-5.05,1.14,-7,-3,,-2.5,-0.12,-1.37,-6,-3,-3.5,-4.56,-7.04,-6,-5.23,,-10.37,-1.9,-2.22,-5.47,-2.2,0.11,-9.27,-1.3,-3.72,-6.7,-2.5,-3,-4,-3.2,-4.6,-1.1,-6.7,-8.5,-3,-9,-2.5,-7.3,-1.2,-3.8,-3.55,1,-0.5,-1.25,-3.67,-3.77,11.33,-8.87,-0.21,-4.9,-1.23,-2.54,3.733239609,33,48,4
Baltimore,Oakland,3.5,4.72,0.23,6,6.11,5.01,7.7,4,3.5,0.85,10,3.95,6.48,16.46,6.98,5.46,4.81,5.11,12.71,13.03,13.02,5,3.5,,3.2,5.22,4.42,4.2,3.5,4,1.37,1.92,12.3,2.36,,-0.31,2.8,1.56,2.63,5.4,6.65,6.6,3.5,4.35,6.5,7.7,5,5,3.9,8.6,4.27,3.9,0.01,3.5,1,3,2.1,2.51,11.31,4.75,11,3.5,3.2,1.81,4.45,-5.67,15.49,3.68,4,3.56,3.57,3.8689881904,28,27,4
Chicago,Detroit,-3,0.81,-5,-2,-2.15,-2.05,1.54,-1,-1,-1.62,-19,-2.9,-2.86,-3.86,-4.83,-4.52,-3.47,0.97,5.88,6.43,-2.79,-2,-3,,-2.8,0.83,0.79,-3.6,-3,-3,2.57,-5.94,-1.2,-2.35,,-0.47,-2.5,-8.78,-1.17,-5.2,-2.65,-2.02,-0.2,-2,-2.2,-1.3,-2,-2,-4.7,-1.2,-1.33,-3.7,1,0.5,5,0.5,1.1,-0.32,-3.44,-6.8,-5.4,1.5,-2.01,-3.19,-4.59,-10,4.35,-8.11,-0.3,-0.3,-1.41,3.7920406217,14,17,4
Cincinnati,Miami,7,4.33,-1.7,5,7.6,5.8,1.68,6,8,5.14,2,6.25,8.56,8.28,-0.92,2.92,0.43,4.95,3.55,4.11,-7,12,7,,6.1,4.82,4,13,7,7,12.24,8.33,-0.3,7.71,,11.4,5.1,14.78,6.33,11.3,1.29,3.41,5.8,5.35,2.2,3.4,5,9,9,4.2,5.17,13.9,16,8,-2,6.5,5.2,6.98,1.43,3.5,-6.2,5.5,9.19,9.41,6.01,-0.67,4.15,2.78,5.1,5.55,7.17,4.2182375959,7,22,4
Houston,Tennessee,4,8.23,2.71,7,9.41,8,8.38,8,6.75,6.08,9,8.76,11.47,14.65,4.09,8.47,3.85,9.37,3.08,3.06,6.61,13,4.5,,6.7,9.35,7.43,8.7,6.5,6.5,8.62,15.24,11.6,11.24,,8.26,6.9,18.56,9.53,8.1,5.93,8.69,8.5,8.17,5.1,11,5,10,8.4,3.7,5.34,9.3,12,8,5,3,7.3,7.75,12.49,3.2,3.7,6.5,4.29,15.49,3.02,2,3.5,1.21,7.4,6.29,10.14,3.5408231268,20,27,4
Jacksonville,Indianapolis,-2.5,-3.12,-4.8,-6,-5.04,-3.24,5.22,-2,0.25,-6.39,-8,-6.95,-4.05,-6.12,-4.1,-3.58,-3.09,-3.41,-5.05,-4.82,-3,-5,-2.5,,-4.3,-3.42,-2.92,-2.3,-2.5,-1,1.5,-13.36,-3.7,-4.24,,-1.48,-6.1,0.01,-3.7,-2.3,-0.04,-5.55,-2.3,-3.26,1.4,-2.7,-2,-3,-4.1,1.7,-2.93,-2.2,-1,-2,-3,2.5,-1,-4.65,-8.32,-9.7,-0.5,-2.5,-0.43,-6.3,-3.01,-5.33,-1.08,-3.47,-1,0.89,-3.47,3.005864632,27,30,4
Minnesota,N.Y. Giants,4,9.61,10.93,9,9.06,10.33,5.84,7,5,20.5,16,12.52,9.07,19.14,9.54,20.82,6.8,9.54,7,7,0.25,16,5,,6.9,9.59,9.7,10.9,4,3.5,6.16,21.33,19.6,9.36,,11.96,9.9,3,9.13,10.2,10.61,15.58,8.1,9.36,11.1,17.2,8,9,21.8,2.3,4.86,12.1,10,6.5,15,-0.5,1.1,9.24,12.66,24.55,23.3,5.5,7.03,8.8,8.18,2.33,9.85,-1.36,9.5,6.91,6.07,5.5133461818,10,24,4
N.Y. Jets,Seattle,-1.5,-1.19,-2.71,-3,-5.07,-1.74,-1.94,-2,6.5,-0.01,-16,1.04,-0.56,9.6,-6.13,0.79,-2.87,-0.91,-5.54,-5.79,-2.27,-4,-1.5,,-2,-0.84,-1.45,-1.6,-1.5,-3,-3.79,-2.02,0.6,-1.32,,-5.87,-2.6,-12.56,-0.88,-0.7,-0.06,-2.43,-3,-1.6,-3.2,-1.6,-3,-2,-4.6,3,-1.91,-1.4,-3,1,-3,3,1,1.32,-4.21,0.35,0.4,-2,2.64,-0.61,-0.82,5.33,-1.52,5.26,-2.3,-1.16,-2.65,3.6768897301,27,17,4
New England,Buffalo,3.5,9.47,14.63,10,11.78,9.21,8.16,13,10.25,11.56,7,9.81,11.35,16.93,10.67,10.02,9.55,9.9,9.81,8.78,9.36,10,5,,7.2,9.93,9.13,6,4.5,6.5,6.22,12.66,13.4,8.9,,9.7,10,14.78,9.12,3.4,6.89,12.93,9.3,9.53,11.9,14.2,7,8,9.5,4,7,6.3,9,6.5,13,4,4.1,5.86,13.08,11.1,11.7,3,5.61,7.06,5.9,5.33,4.26,0.88,10.3,6.45,7.44,3.1054664301,16,0,4
Pittsburgh,Kansas City,3.5,3.01,4.14,0.25,0.12,2.33,4.74,4,8,1.3,16,2.46,4.81,7.25,-2.67,4.34,-0.77,3.95,0.44,0.55,-4.04,-1,3.5,,3.7,3.85,2.41,2.2,5.5,4.5,1.39,1.59,1.9,-0.31,,-3.94,1.9,4.44,2.83,2.4,5.77,-1.23,1.2,2.4,-1,6.7,-1,1,-2.1,5.5,2.71,2.3,3.5,3.5,1,3.5,2.6,3.2,1.88,2.15,-4.9,3,3.99,3.14,3.36,0.67,4.35,2.63,2,1.12,2.62,3.0533137691,14,43,4
San Diego,New Orleans,4,7.05,10.92,8,6.44,7.2,9.63,6,3,16.25,8,9.13,7.12,7.33,9.1,11.58,8.15,6.28,7,7,8.77,9,4.5,,4.6,6.39,7.55,5.8,4,4.5,1.12,7.03,17.4,5.16,,5.07,5.2,8.22,6.03,4.3,6.69,13.66,7,7,11.1,14.7,7,5,11.5,5.8,5.27,6.1,3,4.5,6,2,-1,7.12,11.38,15.95,17.1,7,0.93,-2.06,7.59,4.67,7,3.99,5.7,5.16,5.33,3.9373497369,35,34,4
San Francisco,Dallas,-1.5,0.66,-4.05,2,2.41,1.03,0.97,-3,10,3.65,1,-1.94,0.07,5.53,-3.19,4.24,-1.62,-0.07,-0.24,-0.91,13.84,1,-1.5,,-3,0,1.12,2.1,-3,-3,0.5,1.14,0,0.11,,1.08,-3,18.56,-0.77,3.1,1.96,1.33,1.4,0.79,-0.5,4.1,1,1,2.7,1,-1.25,2.4,2,-4.5,4,-1,-2,1.88,-0.97,8,4.5,-1.5,3.2,6.82,0.91,0.67,-2.2,-0.76,-2.2,0.97,-0.32,3.5715630886,24,17,4
Tampa Bay,Denver,-3.5,-5.03,-8.73,-10,-14.31,-8.33,1.3,-8,-4,-14.89,-26,-18.27,-11.76,-5.86,-8.79,-11.41,-6.54,-4.5,-4.66,-3.69,9.73,-14,-4,,-6.6,-4.58,-5.49,-10.1,-3,-3,-3.87,-20.43,-13.5,-12.52,,-8.36,-10.2,4.44,-5.78,-5.8,0.12,-18.31,-5.3,-7.38,-10.6,-11.7,-7,-9,-19.6,-2,-6.3,-11.4,-6,-2,-11,4,-8.5,-4.75,-13.45,-10.65,-5,-3,-5.77,-5.89,-4.83,-2.67,-1.78,-2.21,-4.3,-4.92,-7.76,5.6123941834,27,7,4
Washington,Cleveland,7.5,6.1,2.52,6,3.72,5.51,6.62,10,6.75,6.41,5,6.12,8.95,9.18,4.9,-0.25,5.05,6.87,-0.01,-0.02,-3.24,7,7.5,,7.5,6.81,5.6,10.3,7.5,10,8.57,8.83,0.1,5.59,,9.51,7,-2.22,6.13,10,2.43,3.73,5.1,6.13,-1.2,4.8,5,7,3.6,8,5.85,10.6,10.5,8,-1,5.5,9.6,7.3,6.23,-0.5,-8.4,6.5,7.13,12.69,4.19,6.67,1.84,7.78,5.7,5.14,6.29,3.7254829224,20,31,4
Baltimore,Washington,3.5,7.34,1.68,6,5.77,5.01,8.14,3,1.5,9.1,3,3.4,6.13,7.13,7.95,6.19,5.39,7.38,6.16,6.29,-7,5,3.5,,2.9,7.38,7.39,1.9,3.5,3.5,,1.74,5.04,2.88,,1.41,2.3,9.96,3.73,3.5,-3.19,4.08,7.1,4.68,7.9,5.9,6,3,3.6,4.3,5.78,1.6,9.5,4.5,5,4,4.5,4.68,1.87,12.6,8.3,4.5,6.29,3,3.69,-1.75,9.82,3.36,4.1,3.41,3.75,2.599120989,16,10,5
Carolina,Tampa Bay,6,9.16,6.21,9,13.61,11.03,7.57,12,11.25,15.67,15,15.65,14.11,10.41,9.68,9.99,8.61,7.72,14.24,15.39,7,16,7,,6.7,7.53,10.61,14.6,4.5,4.5,,18.29,11.24,10.82,,15.17,7.5,2.47,13.82,13.1,1.72,15.14,10.2,10.61,13.3,11.7,9,14,17.5,5.2,9,16,8.5,7,15,5.5,6.8,9.61,6.17,16.65,7.4,10,14.77,10.16,7.89,10,5.81,4.85,11.1,10.11,10.33,3.6045886442,17,14,5
Cleveland,New England,-10,-8.76,-6.6,-11,-13.25,-8.73,5.7,-11,-5,-11.86,-8,-17.04,-14.67,-18.7,-9.14,-4.98,-4.19,-9.05,-2.31,-2.91,-7,-10,-10,,-10.5,-8.88,-8.8,-13.7,-10.5,-10,,-13.19,-5.06,-11.23,,-13.75,-10.6,-9.88,-14.07,-11.1,-6.49,-10.35,-9.7,-9,-5.9,-6.2,-7,-8,-7.9,-4.3,-8.83,-14.6,-3,-9,-9,2,-22.9,-9.38,-15.33,-7.4,2.5,-8,-5.67,-12.51,-4.83,0.25,-2.32,-11.8,-7.2,-5.26,-9.79,5.0901847613,33,13,5
Dallas,Cincinnati,-2.5,2.72,4.26,1,-6.97,0.24,3.84,3,-1.5,0.86,-11,-2.67,0.11,-5.32,8.61,0.11,6.61,3.36,3.61,3.99,-8,-4,-2,,-0.7,3.5,2.17,-5.7,-1,1,,0.73,4.74,-4.12,,-6.59,-0.4,6.22,-2.77,-5,1.51,0.81,-0.9,0.22,1.8,4.6,-2,-1,-1.9,0.8,-1.17,-6.6,1.5,2.5,4,5.5,-4.8,-0.23,4.37,1.05,7.3,3,0.18,-0.35,-1.03,7.75,-2.28,-0.19,1,0.22,-1.05,4.0208572181,14,28,5
Denver,Atlanta,3.5,7.78,4.08,10,12,7.96,7.59,7,7.25,7.07,11,10.5,12.84,11.65,8.02,7.08,6.23,8.06,7.96,7.27,-7,11,5,,6.1,8,7.64,11.4,5.5,6,,13.92,7.84,9.3,,10.11,6.2,5.62,7.43,6.2,9.59,8.88,8.1,7.84,6.5,10.7,7,9,8.5,4.9,5.77,11.4,9.5,7,7,1.5,3.9,6.9,7.84,12.25,4.7,5.5,6.69,9.38,5.71,-8.25,11.06,7.39,7.9,6.48,8.77,3.2427509072,23,16,5
Detroit,Philadelphia,-3,-3.26,-14.25,-5,-1.16,-6.83,-1.03,-3,-3.75,-18.66,4,-11.22,-5.86,-19.93,-11.42,-18.22,-10.59,-3.94,-7,-7,-7,-3,-3,,-5.6,-4.14,-2.7,-3.7,-3,-2.5,,-7.53,-17.16,-3.16,,-0.33,-8.3,-3.6,-1.77,-0.9,-7,-20.21,-0.2,-4.92,-18.3,-12.7,-3,-1,-13.1,-2.7,-4.37,-4.9,-12.5,1.5,-21,2,-5.6,-5.85,-20.55,-16.15,-15.2,1,-5.8,-0.51,-10.33,-4.92,-8.53,-5.08,-2.3,-1,-1.55,6.4755985501,23,24,5
Green Bay,N.Y. Giants,7,8.19,8.45,7,10.94,7.63,3.41,8,5.25,7.21,13,7.38,7.26,8.35,7.73,11.13,5.76,7.89,3.17,2.86,7,13,7,,6.4,7.8,8.48,9.4,7.5,7,,13.38,6.64,7.2,,8.99,5.8,3.75,9.33,9.1,-6.94,6.48,9.8,7.76,3.8,8.8,7,9,11.9,-6.4,9,9.7,6.5,8.5,4,5,6.4,11.9,2.1,15.7,11.4,7,8.44,7.83,5.86,8.75,-0.66,0.49,9.7,6.14,7.76,3.4200879618,16,23,5
Indianapolis,Chicago,4,5.16,0.37,4,3.05,3.87,1.7,7,6.25,3.43,-3,5.91,7.24,-5.22,7.71,3.24,7.36,4.55,1.81,1.38,7,4,4,,4.1,4.48,5.65,5.5,4.5,4,,3.85,3.94,2.79,,-1.32,3.7,8.75,5.43,9.1,-7.15,2.03,5.9,4,-2.3,2.5,3,5,5.2,2.5,2.8,5.1,0.5,3,-1,5.5,4.1,7.84,-4.22,2.45,1.8,6.5,4.73,6.66,2.69,13.5,4.31,1.06,4.8,3.62,5.22,3.2133252353,23,29,5
Los Angeles,Buffalo,-2.5,-0.5,-1.57,1,-0.12,-0.95,0.37,0.01,0.25,-7.84,9,-5.5,-0.01,7.97,-4.63,-2.02,-0.8,1.19,-5.59,-6.11,-7,-3,-2.5,,0.1,1.2,-1.82,-0.6,2.5,2.5,,1.57,-3.66,-1.88,,-0.13,-2.8,7.68,-0.67,0.2,2.39,-7.61,-0.3,-0.6,-6,1.2,-1,-1,-7.1,-0.9,-0.6,-1.4,3.5,4,-9,-0.5,1,-1.96,-0.07,-4.55,1.7,0.5,0.19,2.71,0.11,-4,-4.08,-2.86,0.01,-0.5,-1.1,3.4861319887,30,19,5
Miami,Tennessee,3,5.84,-1.04,4,5.86,4.23,0.92,5,4.75,5.45,-6,5.45,7.04,1.03,4.26,4.48,3.69,5.55,4.68,4.52,7,12,3,,2.7,5.46,6.08,4.6,3.5,3.5,,5.97,3.44,6.93,,3.6,1.9,3.53,6.13,3.7,1.6,5.16,7.4,4.6,0.1,5.2,3,8,7.4,5.9,3.66,4.8,-0.5,3.5,0.01,0.01,2,4.86,0.07,1.3,4.6,4.5,4.03,4.38,3.57,4.25,8.55,0.79,4.8,5.19,6.14,2.7278986087,30,17,5
Minnesota,Houston,6,9.04,9.91,7,8.17,9.44,2.18,9,6.25,18.63,10,9.86,9.38,10.8,12.79,14.32,8.3,8.11,13.66,13.09,3,12,6.5,,6.8,8.15,9.78,10.6,6,6,,12.04,13.04,9.24,,6.41,7.7,6.65,7.83,8.2,9.75,13.04,6.8,9,10.9,15.1,6,9,17.7,6.8,7.01,11.2,22,6.5,14,3.5,2.5,9.15,10.82,13.7,17.2,7,8.69,5.9,7.32,6.75,2.73,10.12,7.9,6.4,5.59,3.8701489592,13,31,5
Oakland,San Diego,3.5,5.6,7.43,7,-0.86,4.66,3.28,6,3.5,10.53,3,0.01,3.69,19.55,1.3,7.04,1.9,7.16,5.21,5.35,-8.88,2,3.5,,3.6,7.13,4.62,2.9,3.5,4,,9.42,5.64,2.09,,4.42,3.1,6.85,4.92,2.7,13.96,2.6,3.1,3.69,4.9,9.8,2,2,3,2.9,3.27,3.7,3.5,6.5,10,2.5,3.3,3.84,15.43,4.7,8.8,4,3.63,8.15,5.04,-1.25,-0.15,6.19,8.5,2.35,3.45,3.5613554203,31,34,5
Pittsburgh,N.Y. Jets,9,9.79,18.02,10,11.01,10.33,4.79,10,7,18.96,17,12.65,12.52,12.53,13.09,14.72,9.71,9.46,7,7,-7,10,9,,9.4,9.45,10.04,9.2,7,7,,11.83,17.94,7.98,,6.9,11.8,6.88,9.23,10.2,10.05,16.87,9,9.79,12.3,16.2,6,9,15.6,3.8,8.34,9.6,12,8,21,-1,3.2,9.66,15.38,11.15,10.6,10,10.54,4.98,8.98,9.25,5.11,12.94,8.7,7.09,9.11,4.0554577998,13,31,5
San Francisco,Arizona,-3.5,-1.24,-1.94,-1,-4.06,-2.69,1.23,-3,-5,5.4,-2,-4.62,-5.64,5.08,-2.57,0.11,-0.42,-0.55,1.23,0.81,7,-5,-3.5,,-3.5,-0.3,-2.05,-8.5,-3.5,-2.5,,-5.15,0.24,-5.39,,-7.05,-4,3.53,-11.08,-5.4,2.27,-4.21,-5.5,-3,-4.4,1.2,-4,-4,-0.8,-5.7,-2.94,-9.2,5.5,-4,1,-6.5,-8.8,-4.71,0.39,-1.05,2.6,-3,-4.99,-0.31,-1.94,1.5,-3.38,4.52,-7.3,-2.54,-4.56,3.5528813802,33,21,5
Arizona,N.Y. Jets,7.5,8.02,7.15,8,10.96,7.69,5.92,7,6,8.78,11,7.52,9.2,4.81,12.29,6.58,9.87,6.88,10.47,10.99,0.12,7,7.5,,6.1,6.78,9.08,6.8,7.5,7.5,,10.01,8.69,5.64,7.98,5.2,4.8,2.42,7.76,6.7,7,12.52,10.1,7.47,9.8,8.7,6,7,6.7,10.2,9.59,6.3,11.5,5.5,11,4.5,5.3,9.52,8.1,7.05,6.6,8,8.18,3.37,7.42,8.6,2.89,9.63,8.4,6.55,7.32,2.2170595896,3,28,6
Buffalo,San Francisco,8.5,9.63,12.21,10,11.84,11.55,4.45,12,9,15.89,20,13.1,13.9,15.31,11.29,17.35,9.09,9.43,13.53,13.79,7,14,9,,10.3,9.5,9.79,15,7.5,7.5,,20.37,14.49,11.57,11.08,7.36,12.6,7.23,15.57,14.4,15.53,13.49,10.1,11.57,10.2,15.2,6,11,22.2,12,9.35,15.8,12,9,13,8,1,12.06,11.56,9.5,13.7,11,9.2,7.95,8.49,3.2,6.3,-0.59,11.3,9.05,10.8,3.8086958097,16,45,6
Chicago,Jacksonville,2.5,1.93,0.86,2,4.95,2.76,3.87,-1,2,7.35,-1,-0.67,2.96,1.44,1.43,3.79,0.84,2.02,5.07,4.94,14.01,5,2.5,,0.9,2.02,1.87,1.2,2.5,1.5,,6.75,1.69,3.14,2.34,3.57,-0.8,3.36,4.57,-2,4.32,3.82,1.9,2.65,5.1,8.3,2,3,1.1,6.6,-1.48,1.5,7,4,5,1.5,-1,2.15,-0.07,5.05,3,1.5,5.28,4.9,3.27,-2,6.03,-4.92,1.4,3.09,1.65,2.3767441568,17,16,6
Detroit,Los Angeles,3,2.2,4.88,1,5.25,3.79,3.51,2,0.5,8.22,8,1.04,-0.08,2.97,6.24,3.77,4.83,1.13,8.57,9.17,16.2,3,3,,2.3,1.12,3.02,2.9,3.5,3,,1.36,6.79,2.37,0.02,4.11,1.6,-3.53,3.37,1.3,-7.53,7.94,2.7,3.23,4.1,5.5,4,3,3.1,5,2.65,2.8,7,1,7,7,-6.8,6.11,2.25,7.2,8.6,3,5.39,-1.12,4.78,9.4,12.37,-0.38,6.2,3.35,2.67,3.259869051,28,31,6
Green Bay,Dallas,4,3.52,4.99,4,7.84,4.17,3.2,6,5,1.46,8,-1.99,4.65,1.19,0.32,2.38,0.47,3.77,3.21,3.03,-2.2,6,4,,2.7,3.64,3.47,8.1,4.5,7,,1.85,3.99,5.09,2.2,5.53,1.5,2.08,7.17,7.6,7,2.85,7.2,4,-5,6.1,4,6,2.7,4.9,6.66,7.7,4.5,4.5,4,1.5,3.9,9.31,3.91,1.2,7.4,5,5.67,6.03,1.89,0.7,5.05,3.98,8.6,3.88,5.12,2.5882739253,30,16,6
Houston,Indianapolis,3,3.12,4.24,6,4.74,4.48,5.82,4,6.5,5.58,7,3.11,6.53,5.01,0.49,4.6,1.04,4.25,2.14,2.25,7,8,3,,3.2,4.38,2.16,5,3,3.5,,7.42,5.39,4.18,6.02,7.78,3.4,9.49,5.87,4.4,15.84,2.88,3.6,4.39,8.3,7.9,5,4,4.9,2.3,4.7,5.7,1,4,8,1,10.2,2.86,4.95,6.6,3.9,1,4.08,7.86,2.53,-9,2.77,3.48,4,3.73,3.01,2.7859882139,23,26,6
Miami,Pittsburgh,-7,-7.68,-7.04,-9,-9.19,-9.69,-1.92,-8,-5.5,-13.36,-9,-15.95,-12.83,-14.75,-7.74,-15.13,-4.33,-7.93,-15.58,-15.05,-15.96,-12,-7,,-9.9,-7.94,-7.57,-11.4,-7.5,-7.5,,-16.52,-14.51,-10.2,-9.7,-8.78,-12.4,-3.08,-14.64,-9.5,-7,-15.29,-5,-9,-14.2,-14.7,-6,-8,-17.8,-0.7,-6.8,-13.4,-8.5,-7,-13,-1,-7,-6.11,-19.68,-12.95,-7.3,-7.5,-8.26,-4.18,-8.79,-8.2,-10.26,-7.5,-6.4,-5.25,-9.36,4.1750661786,15,30,6
N.Y. Giants,Baltimore,3.5,1.18,-0.88,1,2.03,2.08,0.72,5,3.5,1.84,-3,2.09,1.68,-2.07,-1.16,3.83,0.52,0.74,3.77,3.85,7,0.01,3.5,,2.2,0.76,1.48,2.2,3,3,,4.48,3.89,2.96,2.58,-0.64,1.3,0.27,4.56,-0.3,3.21,3.31,1.7,1.93,1.7,7.5,0.01,3,4.7,8.4,2.27,2.5,5,1.5,7,0.01,-6.4,4.21,0.5,0.35,4.5,3.5,3.91,1.17,1.47,1,9.42,4.02,3.2,2.29,1.77,2.586572959,23,27,6
New England,Cincinnati,8.5,7.09,9.77,8,4.57,7.16,5.06,8,4,15.56,5,6.28,8.24,12.1,12.28,5.65,8.89,6.9,8.16,9.25,-0.69,5,8.5,,7.5,6.9,7.27,7.2,8.5,8,,11.05,7.69,5.26,8.84,2.49,6,5.45,5.37,6.1,7,9.99,7.2,7.24,6.5,10.4,5,6,9.1,11.1,8.48,7.3,3.5,7.5,9,1.5,1.3,8.32,7.86,10,7.6,9,3.52,3.84,8,6.4,4.54,10.25,6,5.44,7.07,2.6112936622,17,35,6
New Orleans,Carolina,-2.5,-1.56,5.01,-1,-5.11,-1.44,0.59,0.01,-1,-3.79,-6,-5.46,-3.72,-8.9,2.39,2.57,2.36,-1.62,1.52,1.56,7,-7,-2.5,,-1.7,-1.37,-1.72,-2.1,-3,-3,,-2.6,0.69,-4.61,1.94,-12.15,-0.4,3.04,-4.64,0.4,-0.36,0.12,-1.2,-1.61,-5.3,2.4,-5,-3,1.3,-2.8,0.49,-2.7,9.5,-2,0.01,0.01,-6,3.78,0.99,-2.65,2.4,-2,-1.97,-0.54,-0.46,5.9,-4.67,-0.75,-4.7,-1.6,-3.12,3.6234192483,38,41,6
Oakland,Kansas City,-2,2.78,8.16,3,-8.01,1.86,2.69,2,0.5,7.15,-3,-3.83,-2.13,2.04,5.25,3.21,4.66,3.28,7.76,8.19,11.52,-5,-1.5,,0.4,3.39,2.37,0.5,1,1.5,,-0.81,4.59,-3.47,7.74,-7.98,-0.1,6.55,-0.93,1.9,15.21,5.86,0.3,2.21,4.4,5.5,-2,-4,1.9,6.7,-2.41,-0.1,1.5,1,9,1.5,1,2.71,4.96,5.2,8.1,2.5,3.71,1.51,5.68,9.65,2.68,-3.08,3.7,-0.46,-0.95,4.048284552,26,10,6
San Diego,Denver,-3,-3.66,-2.52,-8,-6.09,-4.59,3.32,-4,-2,-6.2,-14,-8.19,-9.78,-6.28,-1.63,-5.52,-0.69,-4.88,-3.69,-3.4,-1.19,-7,-3,,-4.3,-4.89,-2.93,-5.7,-3,-3,,-13.17,-5.31,-7.53,-7.64,-5.67,-5.6,-6.07,-5.23,-2.3,-7,-5.24,-1.3,-4.91,-5.6,-6.3,-3,-4,-5.9,4,-3.2,-6.4,-3,-2.5,-6,1,-9.8,-1.18,-8.26,-2.45,-1.8,-0.5,-2.54,-8.5,-3.46,7,-1.48,-2.23,-4.7,-1.94,-4.93,3.6024446162,13,21,6
