Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linegrinder,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linepugh,linest,linecovers,lineatom,linewhatif,linedwig,lineppros,linegametime,linepickle,linecrunch,linensr,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linecover81,linerwp,linebmc,linepi1,linepi2,linepi3,linebaldwin,linestd,week,hscore,rscore,year
N.Y. Jets,Dallas,6.5,6.63,7.41,6,8.45,6.81,7,5,14.5,3.82,10,2,2.9,3.64,7.13,9.7,5.92,5,10.53,,8.5,10.41,11,6.5,,,6.63,6.63,8.65,,4,4,,,8.5,,7,5,,9.82,,,6.63,10.4,8.9,5,4.8,15.7,4.75,3.79,7.34,9.5,7,,6,16.7,5,3,9.5,5.5,,22.83,10.79,7.08,9.6,8.34,3.51,,4.01,4.29,7.2,5.9,6.9,2.97,3.6124493022,1,27,24,2011
San Diego,Minnesota,9,4.49,9.65,3,4.83,6.77,8,8,3.8,8.12,10,2,6.25,7.14,10.93,3.86,8.85,7,5.59,,5.22,9.38,10,9,,,4.49,4.49,10.49,,9,8,,,5.73,,7.6,8,,0.3,,,6.34,5.8,3.7,2,7.7,5.8,8.25,6.43,5.02,11,9.5,,8,-3.8,7.04,4,3.3,4.9,,-1.04,4.47,5.13,7.7,9.04,10.31,,0.98,13.32,13.8,13.3,13.8,6.91,3.2937136321,1,24,17,2011
San Francisco,Seattle,6,3.13,7.16,3,9.14,4.97,5,6,-1.7,4.72,6,2,7.19,4.84,4.72,3.12,4.38,3,4.29,,6.03,7,7,6,,,3.13,3.13,8.2,,5.5,6,,,6.08,,4.4,5,,-0.25,,,4.76,4.7,3.9,3,4.2,6.3,5.25,6.81,6.78,8,0.5,,5,-2.6,5.5,4,16.2,6,,-7.61,-0.11,1.48,1.8,4.54,4.79,,2.64,5.58,7.5,4.7,6.4,4.11,3.1915405955,1,33,17,2011
St. Louis,Philadelphia,-4,-10.39,-4.91,-5,-10.51,-5.13,-6,-3,-9.5,-3.38,1,2,-3.1,-2.26,-1.03,-5.78,-0.05,-5,-7.56,,-4.18,-12.65,-10,-4,,,-10.39,-10.39,-4.06,,-4,-3.5,,,-6.84,,-1.6,-5,,-3.45,,,-5,-6.7,-2.1,-5,-2.6,-9.8,-0.75,-7.08,-12.52,-6,-4.5,,-6,-4.1,-3.23,1,-11.6,-5.8,,-33.29,-5.21,-0.93,-5.9,-1,-4.01,,-3.64,-3.45,-7.2,-5,-5,-11.67,5.2867114208,1,13,31,2011
Tampa Bay,Detroit,2.5,6.98,3.16,2,3.57,2.37,5,2,2,1.22,17,2,-0.47,1.44,4.39,2.16,3.97,3,0.17,,1.38,0.59,6,2.5,,,6.98,6.98,5.86,,3,1.5,,,1.53,,2.2,2,,4.17,,,2,-2.2,3.5,1,4.3,7,1.25,3.92,5.59,2.5,5.5,,1,-5.3,4.05,4,-2.8,1.7,,8.52,3.57,5.13,0.6,3.79,1.65,,-2.03,8.17,-1.3,-2,-2,1.53,3.374903897,1,20,27,2011
Washington,N.Y. Giants,-2,-3.33,-7.08,-1,-4.35,-3.01,-4,-3,-8.6,-3.78,11,2,-0.7,-3.46,-2.34,-2.19,-0.95,-4,-3.92,,-3,-3.96,-5,-2,,,-3.33,-3.33,-4.26,,-3,-4,,,-2.7,,0.4,-4,,-1.52,,,-3.01,-3,0.1,-2,-4.1,-2.6,-0.75,-3.01,-1.48,-3,-3.5,,-10,10,-4.89,1,-3,-0.3,,-28.05,-5.32,-2.05,-4.1,-0.64,-3.49,,-3.53,-6.04,-8.7,-9.2,-9.2,-5.93,4.7884128362,1,28,14,2011
Atlanta,Philadelphia,-2.5,0.19,1.67,,-3.19,-1.76,-3,-1,5.1,-0.25,3,-2.25,-4.09,-0.15,-21.87,-2.74,4.31,-2,-2.5,-0.84,-2.5,7,0.01,-2.5,,,0.54,-0.14,1.59,,1.5,3,,,-1.33,,-3.9,-3,,-7,-4.28,,-1.33,-4.2,0.8,-2,-1.9,-2.7,1.25,-1.7,-5.92,4,-0.5,,1,-23.6,0.63,-1,1.3,-4.9,0.15,5.31,4.65,4.2,2,-1.18,-1.86,,-0.68,4.18,-2.2,-3,-3,-2.5,4.0390273513,2,35,31,2011
Buffalo,Oakland,3.5,5.28,-9.57,,8.91,2.68,0,2,-6.3,-2.36,-4,2,1.65,-2.74,15.39,4.87,-2.81,1,2.5,5.84,2.5,11.02,-3,3.5,,,4.21,6.4,-1.48,,3,1,,,6.72,,1.3,4,,1.54,5.57,,2.25,13,8.2,4,5,0.2,-1.25,6.09,13.62,-4.5,4,,-3,15,3.46,3,2,3.3,1.46,1.35,-2.31,1.68,-2.2,-0.79,3.16,,-1.17,-5.38,-0.1,3.3,3.3,-0.07,4.8194556194,2,38,35,2011
Carolina,Green Bay,-10.5,-9.2,-12.26,,-20.25,-12.85,-14,-11,-25.1,-14.81,-6,-2.25,-8.64,-16.19,-6.3,-19.65,-8.57,-11,-5.96,-15.82,-5.52,-7,-22,-10.5,,,-9.74,-8.7,-17.81,,-10,-10,,,-19.84,,-9.4,-12,,-9.27,-25.16,,-12.13,-18.7,-13.2,-5,-11.5,-26.3,-7.25,-16.37,-15.79,-20,-9,,-10,-3.8,-6.95,-4,-21,-3.7,-15.2,-27,-17.84,-10.57,-20.6,-5.66,-9.44,,-13.44,-14.42,-15.4,-17.8,-17.8,-14.57,6.1160804252,2,23,30,2011
Denver,Cincinnati,3,-2.05,0.77,,-4.48,-1.79,0,2,-10.4,-1.56,-7,-2.25,3.12,-0.38,-7.71,-7.28,1.56,-1,-4.27,-5.15,-4.38,-13.16,-4,2,,,-2.72,-1.44,-0.92,,6,5,,,-5.27,,-2.2,-3,,6.47,-8.18,,-2.03,-9.3,-5.9,0.01,3.1,-8,1.75,1.27,-4.03,-2,0.5,,6,-3.8,-2.57,1,-0.8,5.7,3.41,-8.45,-6.25,-2.1,-3,-1.49,3.02,,-4.78,6.23,-1.2,-6.9,-6.9,-3.49,4.1433440601,2,24,22,2011
Detroit,Kansas City,7.5,6.14,1.93,,11.63,9.1,7,10,7.1,8.71,-17,6.25,4.88,8.62,23.59,17.63,2.29,6,2.5,11.99,2.5,6.13,12,7.5,,,5.79,6.61,7.56,,7,3.5,,,11.32,,12.5,8,,7,16.44,,7.85,16.1,12.8,9,12.4,25.9,4.25,9.18,16.35,4.5,12,,-4,34.2,5.4,6,5,3.7,15.09,11.56,6.28,5.45,8.3,4.07,7.34,,3.37,0.41,7.7,10.4,12,9.18,6.4193995148,2,48,3,2011
Indianapolis,Cleveland,-1.5,10.96,5.43,,8.77,3.92,3,9,19.6,-1.11,5,2,-3.16,-0.75,-3.8,5.47,6.33,1,-0.82,4.24,-1.83,7,9,-1,,,12.04,9.99,10.04,,-3,5,,,6.15,,5.2,-4,,6.68,3.55,,4.1,2.2,5.4,4,4.2,7.9,2.75,2.7,3.03,8.5,3,,-1,-5.4,0.76,1.5,-4,-3.3,3.43,17.18,14.33,9.05,5.9,2.58,-0.89,,-0.67,15.84,7.8,5.9,4.9,8.57,5.2921431618,2,19,27,2011
Miami,Houston,-3,0.81,0.31,,-6.51,-2.29,-2,-3,4.3,-1.41,11,-2.25,-1.1,0.5,-19.85,-3.86,1.59,-2,-5.53,-0.73,-4.32,7,-3,-3,,,1.43,0.12,-1.11,,-1,-1,,,0.98,,-6.6,-4,,4.12,-2.96,,-2,-10.7,2.8,-1,-7.6,-5.5,-2.75,-3.95,-8.51,4,-2,,-2,-6.7,-0.23,-1,1.8,1.7,-0.13,1.65,3.01,1.71,3,-2.62,-2.03,,2.86,-1.51,-6,-3.3,-3.3,-2.87,4.4208224481,2,13,23,2011
Minnesota,Tampa Bay,1,7.16,-4.06,,2.91,2,0,4,-2.1,-1.86,-7,2,0.19,-1.25,2.26,2.14,0.17,1,8.61,3.36,9.02,-7,1,1,,,7.07,7.26,-0.69,,2.5,2.5,,,4.82,,1.9,6,,-3.63,1.1,,1.95,2.8,5,4,1.5,-1.4,1.25,4.87,8.58,0.5,4,,-4,-4.4,1.55,3,5,4.2,0.59,-1.18,-0.02,2.06,-1.3,-0.56,2.87,,1.02,-4.1,-0.8,-2.8,-2.8,1.89,3.2091546301,2,20,24,2011
N.Y. Giants,St. Louis,6.5,13.01,6.52,,10.8,7.93,9,4,13.6,3.2,1,2,10.01,2.12,4.48,10.1,5.85,7,11.8,7.17,11.1,7,14,6.5,,,13.39,12.62,9.21,,6,8,,,10.89,,4.6,7,,8.9,9.84,,8.1,7,8.9,8,3.4,13.4,3.25,10.15,8.63,11,3,,3,4.9,7.98,4.5,6.5,8.2,10.48,15.07,10.95,8.3,10.8,6.77,6,,5.52,6.23,8.3,8.6,6.4,11.38,3.4543988175,2,28,16,2011
N.Y. Jets,Jacksonville,8,9.17,7.56,,12.14,9.37,7,12,21.6,7.23,6,2.4,12.18,4.98,2.7,10.59,6.79,7,2.5,9.85,2.5,7,14,8,,,9.29,9.13,11.75,,10.5,7.5,,,11.9,,9.1,8,,7,10.96,,9.93,8.7,11.4,10,12.1,19.2,7.75,7.52,10.05,12,10,,15,10.1,2.43,5,10.5,5.1,11.92,16.88,15.44,9.28,8.3,3.77,9.01,,2.34,10.1,12.3,10.4,13.8,9.19,3.9571088591,2,32,3,2011
New England,San Diego,6,8.73,9.45,,12.43,8.06,7,6,18.5,9.32,7,2,7.94,8.65,4.73,12.64,5.14,5,2.65,11.16,2.48,7,12,6,,,8.71,8.76,7.32,,5.5,2.5,,,11.81,,7.4,6,,8.88,12.85,,7.94,6.5,12,5,8.2,16,5.75,9.47,8.16,10,8,,2,21.3,4.46,7,12,0.8,9.87,10.09,13.47,8.44,11.2,4.67,6.52,,7.54,5.62,6.3,7,6.6,5.53,3.4655147771,2,35,21,2011
