Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linegrinder,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linepugh,linest,linecovers,lineatom,linewhatif,linedwig,lineppros,linegametime,linepickle,linecrunch,linensr,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linecover81,linerwp,linebmc,linepi1,linepi2,linepi3,linebaldwin,linestd,week,hscore,rscore,year
Dallas,Washington,6.5,6.56,-1.62,3,4.72,4.53,6,9,6.4,3.48,8,-2.25,3.78,-0.51,-3.83,7.53,4.62,2,3.62,4.9,11.59,-7,8,6.5,,,6.37,6.77,5.07,4.1,6,3.5,,,7.54,,4.6,-3,,4.82,2.01,,4.72,5.8,5.1,3,9.2,10.1,1.03,6.58,4.4,5,5,,1,-2,6.34,4,,7,9.32,6.75,5.64,4.88,8.4,4.05,5.54,4.2,2.26,9.96,5.9,4.4,1.1,8.71,3.1602704142,3,18,16,2011
Indianapolis,Pittsburgh,-10.5,-2.21,-1.48,-2,-6.22,-6.6,-8,-3,-8.1,-9.4,-10,0.28,-12.64,-11.03,-7.4,-9.57,-0.43,-8,3.85,-4.53,-12.41,7.78,-6,-10,,,-1.33,-3.19,-4.17,-8,-10,-11,,,-4.98,,-8,-12,,-7,-5.79,,-5.9,-12.4,-3.2,-4,-7.7,-13.4,-3.84,-9.13,-4.66,-4.5,-6,,-14,-12.7,-3.53,-3.5,-14,-3.9,-13.19,-8.74,-4.14,-0.18,-10.8,-3.86,-10.58,-13.5,-5.41,-1.08,-9.4,-9.8,-9.8,-3.97,3.974198931,3,20,23,2011
Minnesota,Detroit,-3,0.93,-3.04,1,-1.66,-4.49,-3,-4,-6.5,-6.53,-6,-6.5,-6.02,-2.51,-16.83,-9.2,0.95,-6,-9.76,-6.84,-7.12,11.69,-2,-3,,,0.19,1.58,-2.78,-3.2,-3.5,-5,,,-2.86,,-7,-3,,-11.36,-3.08,,-4,-16.9,-6.1,0.01,-5.9,-6,-5.82,-1.14,-6.29,-0.5,-4.5,,-4,-17.2,-2.96,-1,0.9,-2.8,-5.77,-5.75,-4.09,-1.67,-6.2,-4.54,-1.95,-4.2,-2.63,-0.42,-8,-8,-8,-1.07,3.6476535021,3,23,26,2011
New Orleans,Houston,3,6.51,3.65,3,3.56,3.2,4,4,4,2.65,-4,-2.25,5.3,4.84,-8.05,3.26,6.24,1,0.38,2.81,-0.64,7,4,3,,,7.15,5.82,2.58,3.2,3.5,3,,,4.89,,2.1,6,,3.43,1.67,,3.6,5,5.2,3,2.2,4.6,-1.06,2.25,2.1,7.5,4.5,,4,-8.1,6.07,2,3,3.9,7.09,9.83,4.9,5.8,9.2,1.52,4.11,3.3,2.27,6.87,4.5,2.8,1.4,4.79,2.8984133535,3,40,33,2011
Oakland,N.Y. Jets,-2.5,-6.02,-5.85,-7,-5.35,-4.78,-2,-5,-10.9,-0.11,-7,-1.31,-7.22,-2.26,-9.27,-0.86,2.32,-5,-2.5,-2.98,-2.5,7,-3,-2.5,,,-5.77,-6.33,-3.63,-5.3,-3.5,-1.5,,,-6.69,,-3.8,-5,,-0.36,-4.11,,-5,-8.9,-1.3,-6,-5.3,-7.1,-2.93,-6.64,-11.56,-3.5,-3.5,,-8,-9.5,-3.81,-0.5,-10.5,-3.3,-5.54,-7.39,-6.92,-2.93,-4.9,-2.43,-3.44,-4.6,-0.19,-1.76,-10.4,-6.8,-6.8,-2.32,2.9325775197,3,34,24,2011
Philadelphia,N.Y. Giants,7.5,5.25,-2.68,5,8.03,6.54,7,9,9,8.97,10,7.73,8.76,5.09,9,10.09,3.19,6,2.57,9.35,13.97,12.97,7,7.5,,,3.9,6.65,3.16,5.9,7.5,2.5,,,8.87,,8.7,7,,7.51,9.59,,6.83,10.3,7,4,10.6,8,5.3,6.25,7.71,5.5,9,,5,11.9,7.63,5.5,10,8.5,7.22,4.16,5.38,1.75,6.7,3.68,7.17,8.3,-3.71,6.55,3.8,5,5,6.53,2.8655436181,3,16,29,2011
San Diego,Kansas City,14,11.79,11.56,10,27.47,14.08,15,13,10,21.09,10,6.25,13.47,20.15,16.26,17.4,6.02,11,2.5,13.26,2.5,-0.98,22,14,,,10.79,13.75,14.4,12.1,13,11.5,,,14.51,,13.2,16,,7,16.99,,13.47,24,9.7,11,17.3,23.4,8.88,15.64,29.72,12,15,,14,29.7,10.96,7,17,11,18.53,7.19,8.05,6.09,22,11.95,12.76,15.8,4.01,11.08,15.8,15.8,19.1,14.89,5.2947929794,3,20,17,2011
Seattle,Arizona,-3,-2.01,-0.17,-0.25,-0.11,-1.59,3,0.01,2.4,1.09,-6,-5.59,-1.12,3.37,-14.45,-2.52,4.74,-4,-2.5,-4.15,-12.35,-7,5,-3,,,-0.93,-3.14,5.62,-5.5,-1.5,-4,,,1.41,,-1.2,3,,-13.96,2.71,,-1.12,-12.1,3.2,1,-4.2,3.9,-2.56,-3.34,-13.92,5,-0.5,,-2,-12.3,1.36,0.01,5.7,-6.1,-1.79,8.91,3.58,4.76,6.1,-0.6,-2.61,-5.9,-2.33,-6.76,-0.7,-3.8,-3.8,3.08,4.7690595332,3,13,10,2011
St. Louis,Baltimore,-5.5,-12.78,-3.4,-8,-13.19,-8.96,-8,-3,-23,-6.94,1,-6.25,-10.32,-0.98,-15.72,-15.35,-1.05,-7,-8.2,-12.61,-1.86,12.05,-16,-5.5,,,-11.74,-14.49,-9.96,-6.7,-4,-3,,,-13.28,,-4.9,-6,,-2.71,-21.61,,-8.1,-17.7,-7.4,-5,-5.2,-17.7,-5.28,-12.57,-20.84,-10.5,-3.5,,-6,-15.2,-4.1,-2,-8.7,1.2,-10.9,-13.28,-14.58,-6.17,-11.7,-3.6,-3.47,-5.9,-10.48,-3.73,-7.1,-10.7,-10.7,-7.91,5.593040469,3,7,37,2011
Tampa Bay,Atlanta,1,0.08,0.43,-0.25,-3.57,1.01,3,0.01,1.6,1.81,-7,3.87,-1.01,-0.68,6.8,1.49,0.98,-1,2.5,2.48,10.24,7,2,1,,,-1.32,1.37,3.05,-1.3,1,2,,,1.84,,2.2,-6,,-0.57,2.21,,0.93,3.4,3.1,1,0.2,6.8,-1.06,-1.25,4.57,-1,-1,,-4,17.8,1.97,3,-3,2.7,0.89,0.58,1.41,1.21,6.3,0.8,0.46,2.7,-1.72,-1,-4.7,-3.3,-3.3,1.26,2.841879197,3,16,13,2011
Tennessee,Denver,7,8.52,7.96,7,10.98,8.06,7,7,8.8,12.87,3,2.4,8.39,11.06,9.69,9.63,7.58,5,9.5,10.48,2.5,-7,12,7,,,7.8,9.3,7.39,6.3,6.5,6.5,,,11.93,,6.7,7,,3.18,6.16,,7.88,11.7,8,5,8.3,11.1,5.02,9.09,10.63,12,5,,5,17.9,0.88,5.5,7.6,9.2,7.35,10.09,7.31,5.83,7.5,5.83,6.53,6.2,0.23,4.5,9.9,9.8,7.2,7.96,2.7092387331,3,17,14,2011
Arizona,N.Y. Giants,0,-2.67,1.73,-3,-5.49,-1,-4,-3,-2.5,-0.44,10,3.44,-0.13,-0.16,0.56,-2.74,-2.95,-3,4.12,0.17,2.5,-7,-11,0,,,-3.47,-1.95,-3.12,11.4,-2.5,4.4,,,-5.73,,-2.8,-3,,-3.89,-6.97,,-1.58,2.2,-3,-5,1.88,-9.3,1.41,-2.71,1.27,-8.5,-1.2,,-3,,,-0.5,3,1.4,-3.28,-11.16,-2.73,-2.96,3.7,-2.72,-0.39,-1.5,1.9,0.49,7.5,3.2,4.4,-6.02,4.5661897462,4,27,31,2011
Baltimore,N.Y. Jets,5,2.1,2.71,4,6.73,3.77,4,4,3,7.65,4,5.86,6.55,5.48,9.34,3.33,4.27,1,-3.73,1.84,5.08,6.02,6,5,,,0.56,4.56,5.65,-2.5,3.5,2.9,,,6.73,,6.3,2,,-7.49,9.92,,4,5.7,-0.3,3,7.78,6.8,0.82,5.15,3.5,6,3.2,,-1,,,5.5,1.2,4.3,6.72,0.91,2.73,2.46,3,3.82,2.93,9.1,-3.19,2.94,3.3,6.3,5.8,2.16,3.0076148757,4,34,17,2011
Chicago,Carolina,7,7.59,0.01,7,11.23,7.94,9,9,19.5,5.94,9,3.97,4.43,10.02,2.7,9.27,11.31,4,10.8,10.43,6.87,7,16,7,,,7.86,7.32,12.54,0.8,6,8.9,,,14.16,,7.5,8,,4.08,24.11,,7.54,3,8,4,5.89,14.1,6.01,7.57,8.32,16.5,6.1,,7,,,5,3,5.6,9.56,21.13,13.34,7.18,5.6,5.48,7.1,8.3,-2.98,8.46,10.9,8.2,7.5,10.5,4.8995527725,4,34,29,2011
Cincinnati,Buffalo,-3,-4.09,-9.59,-3,-4.11,-3.07,-2,-1,1.9,-9.43,8,-1.02,-5.53,-8.92,-4.39,-6.68,5.24,-5,-7.21,-3.69,1.32,-7,2,-3,,,-5.93,-2.48,-1.54,-5.4,-3,2.4,,,-2.9,,-1.5,-4,,-4.96,0.16,,-2.9,-8.4,-6.5,2,-2.67,-2.6,0.12,-2.59,-7.15,3,-3.9,,-9,,,0.5,1.7,-2.3,-2.18,-11.98,0.56,-0.77,-6.5,-2.31,-1.76,-1,-12.66,0.07,-3.2,-4,-4,1.68,4.0522200425,4,23,20,2011
Cleveland,Tennessee,2.5,-3.62,-2.39,-1,-1.64,-2.48,-2,1,-4.7,-8.31,6,-0.51,2.37,-4,-3.16,-7.69,0.68,-1,-11.88,-5.09,-5.62,-7,-1,1.5,,,-3.47,-3.81,-1.02,-10.1,1,-0.3,,,-0.46,,0.6,2,,-4.03,0.11,,-1.06,-6.8,-6.2,-2,-9.56,-3.1,-0.56,-1.11,-6.96,-1,2,,-2,,,1.5,1.9,-5.5,-0.41,-0.68,-2.33,0.05,-3.2,0.19,1.23,2.1,-7.73,-3.49,-0.3,-0.4,-0.4,-2.57,3.4581964183,4,13,31,2011
Dallas,Detroit,2,4.83,6.81,0.25,-3.03,0.61,2,0.01,-1.1,-0.26,-4,-0.73,-2.16,-0.3,-9.32,-2.25,2.03,-1,0.32,0.73,5.55,7,0.01,2,,,5.7,4.12,0.17,7.1,3,0.1,,,-0.53,,-0.7,-3,,0.36,-0.72,,0.05,-2.3,5,1,1.89,-1.4,-4.2,2.43,-1.04,-0.5,-0.3,,-1,,,1.5,2.3,3.7,-0.86,-0.61,-0.9,-0.7,-1.9,-6.85,1.73,3.7,2.95,6.77,0.3,1.5,1.6,2.53,3.2004902222,4,30,34,2011
Green Bay,Denver,11.5,14.47,17.23,14,18.03,13.69,14,15,24.4,16.9,6,7.48,9.51,15.43,10.41,12.55,12.08,11,2.5,15.06,2.5,7,22,11.5,,,17.25,12.55,17.84,12.8,13,10.9,,,20.02,,15.1,10,,7,23.93,,14.28,13.3,15.4,10,9.55,18.5,10.1,14.09,12.36,20.5,14.5,,10,,,10.5,17.5,5.8,15.92,27.23,19.43,14.46,11.2,8.02,13.99,13.5,11.6,16.9,16.8,14.9,15.2,15.24,4.4375661839,4,49,23,2011
Houston,Pittsburgh,4,0.76,2.71,2,4.11,3.74,1,2,-10.8,11.57,-2,6.84,5.26,7.89,11.42,10.25,-2.5,1,2.5,10.95,2.5,7,1,4,,,-1.79,3.78,1.75,13.2,2,6.1,,,2.46,,5.8,4,,7,3.09,,3.33,5.6,7.9,0.01,11.45,3.9,6.1,3.35,12.79,-5,1.3,,-5,,,3.5,-3,4.8,0.1,-7.68,-6.84,-2.89,13.3,3.09,4.13,4.3,9.99,1.86,1.8,3.3,4.9,-0.72,5.3376159861,4,17,10,2011
Jacksonville,New Orleans,-8.5,-6.94,-8.38,-7,-8.29,-7.68,-5,-6,-9.3,-16.8,2,-1.51,-5.01,-6.95,-13.24,-12.7,-1.23,-7,-12.81,-9.24,-2.5,-12.31,-9,-8.5,,,-5.43,-8.85,-4.39,-7.6,-7,-7.3,,,-9.14,,-7.4,-6,,-7,-4.77,,-7.35,-10.2,-4.3,-6,-15.33,-15.7,-4,-4.82,-15.74,-6,-7.8,,-14,,,-3.5,-5.8,5.8,-10.34,-13.86,-5.64,-1.98,-17.3,-5.11,-6.79,-2.4,-9.71,-7.54,-12.5,-9.6,-9.6,-7.52,4.4828969646,4,10,23,2011
Kansas City,Minnesota,-3,-0.66,-5.78,-2,-10.94,-3.01,-3,-1,-1.5,-6.62,-5,1.39,-0.31,-5.32,-8.75,-5.98,5.75,-1,-8.17,-0.06,-2.5,-5.39,-7,-3,,,1.74,-4.31,-2.02,-4.4,-1,-7.8,,,-2.42,,0.3,3,,-12.04,-7.36,,-2.46,-7.6,5.3,-4,-15.22,-7.8,0.63,-1.44,-14.03,0.5,-1.5,,-3,,,1,6.5,-3.2,-5.68,1.17,1.16,3.81,-10.1,-5.03,-1.16,-3.1,-8.52,1.65,-1.7,-2.7,-2.7,-2.83,4.6101482883,4,22,17,2011
Oakland,New England,-6.5,-2.92,2.54,-5,-9.74,-2.52,-5,-3,-5,4.45,-8,1.07,-1.41,2.69,-0.23,-1.32,-1.62,-5,7.58,-0.89,1.54,7,-6,-6,,,-2.54,-3.3,-4.79,4.8,-5.5,-5.8,,,-4.87,,-1.5,-5,,6.71,-13.36,,-2.61,-1.8,6,-7,3.22,-2.1,-5.01,-5.15,0.26,-7.5,-0.8,,-4,,,-1.5,-10.3,-4.8,-6.74,0.79,-3.85,-2.69,13.6,-5.38,-5.44,-1,2.24,-1.47,-5.3,-0.9,-0.9,-6.89,4.4126568697,4,19,31,2011
Philadelphia,San Francisco,10,2.49,-3.97,3,4.7,2.93,6,6,14.5,-3.05,3,-0.52,9.84,0.28,-2.83,-3.6,6.02,5,-4.44,-0.59,-10.4,7,7,9,,,1.63,3.31,2.49,-13.4,6,13.6,,,4.25,,4.1,10,,-12,9.12,,4.05,-3,-4.1,9,-6.44,-2.6,6.62,7.89,-5.47,9.5,9,,4,,,3,8,5.9,8.14,4.34,9.24,3.98,-7.4,-0.59,10.08,6.7,-19.72,6.97,9.5,2.9,3.4,7.98,6.4249068516,4,23,24,2011
San Diego,Miami,6.5,7.28,5.15,7,3.17,7.19,7,9,15.3,8.44,12,6.25,5.12,9.39,9.43,5.11,8.66,5,4.89,6.06,9.06,12.83,10,6.5,,,10.44,4.65,10.6,8.6,8,7.5,,,6.35,,7.4,9,,10.58,7.22,,7.5,5.1,10.4,6,-3.89,3.3,7.97,7.49,2.3,9,10.5,,4,,,5.5,10,5.8,7.62,12.05,11.95,8.6,3.7,10.45,7.75,7.5,7.82,8.13,9.2,6.7,6.2,9.59,2.9536299481,4,26,16,2011
Seattle,Atlanta,-6,-1.8,4.66,-3,-4.71,-3.8,-5,-6,-9,-2.39,-8,3.48,-8.5,3.33,-4.92,-6.07,-2.8,-5,-3.48,-4.55,11.18,7,-8,-6,,,-1.04,-3.45,-1.43,8.5,-4.5,-6.3,,,-6.73,,-3.2,-3,,2.42,-7.57,,-4.75,-2.7,2.4,-4,-0.55,-7.2,-5.49,-5.79,-5.43,-8.5,-5.1,,-8,,,-1,-14.6,-3.7,-7.43,-4.53,-4.78,-0.57,-5.1,-0.85,-4.5,-2,4.84,-9.6,-9.1,-7.1,-7.1,-5.41,4.076737965,4,28,30,2011
St. Louis,Washington,-3,-8.72,-10.9,-6,-10.99,-7.17,-4,0.01,-10.8,-17.25,-3,-7.69,-8.78,-6.87,-16.04,-14.48,4.09,-4,-2.5,-11.59,-2.5,-7,-5,-3,,,-9.51,-8.11,-4.35,-21.2,2,0.1,,,-8.74,,-5.1,-1,,-12,-8.81,,-6.05,-14.2,-15.4,-2,-16.78,-10.8,-1.93,-5.23,-17.94,0.01,-0.7,,-1,,,-1.5,-6.1,-1.3,-4.64,-12.58,-5.64,-0.48,-13.5,-8.95,-0.19,-1.9,-27.37,-1.55,-3.2,-10.2,-10.2,-3.7,6.2352633538,4,10,17,2011
Tampa Bay,Indianapolis,10,5.62,4.5,6,2.24,7.9,6,5,9,18.32,3,4.58,6.4,20.09,13.94,13.76,2.53,6,2.5,12.92,-5.84,-5.67,6,10,,,7.16,4.11,8.66,15.6,9.5,12,,,8.36,,11,9,,8.98,6.41,,7.28,10.2,16.1,5,15.23,12.2,4.43,8.07,11.73,3.5,11,,8,,,8.5,0.5,5.7,12.05,15.46,6.97,4.94,15.6,9.62,9.87,8.7,11,4.73,4.4,7.4,9.3,1.85,4.4722389835,4,24,17,2011
Atlanta,Green Bay,-6,-7.86,-3.25,-9,-7.95,-7.53,-5,-3,-8,-10.38,-7,-7.35,-6.09,-6.16,-7.82,-14.56,0.37,-6,-2.5,-13.49,-2.5,-1.6,-7,-6,,,-7.78,-8.71,-6.97,-18.7,-3.5,-3.2,,,-9,,-1.9,-3,,-8.11,-10.12,,-6.61,-18.3,-8.8,-1,-14.63,-10.9,-3.35,-5.56,-19.74,-4,-4,,-5,-13.9,,-2.5,-10,-7.5,-4.3,-2.45,-4.78,-1.55,-20.8,-6.61,-5.52,-7.3,-21.7,-8.87,-5,-4.6,-4.6,-4.4,5.0598400853,5,14,25,2011
Buffalo,Philadelphia,-3,7.72,0.59,8,2.19,5.41,1,0.01,1.9,12.73,6,4.77,-4.17,10.26,9.2,14.24,-3.27,1,2.5,13.81,11.81,3.76,0.01,-2,,,8.79,6.81,7.6,14,-3,-4.3,,,7.34,,4.4,5,,4.17,9.15,,5.7,13,12.9,-3,13,8,5.63,1.02,15.23,13,7,,-1,12.7,,3,-3.9,3.6,-0.07,5.06,4.07,6.25,22,6.88,-1.86,-2,15.01,2.4,0.6,5.7,7.6,-2.96,5.9856969752,5,31,24,2011
Carolina,New Orleans,-6.5,-8.72,-13.51,-10,-10.2,-8.23,-8,-8,-12.6,-6.73,-4,-2.55,-13.57,-6.12,-4.73,-11.03,-6.17,-6,-7.35,-9.18,-6.8,-7,-11,-6.5,,,-10.12,-7.49,-9.78,-4.8,-6,-5.9,,,-9.74,,-7.6,-5,,-13.58,-14.53,,-8,-9.5,-8.1,-5,-9.88,-11.5,-1.24,-6.02,-10.5,-7.5,-5,,-5,-9.9,,-4,-15.2,-4.5,-9.85,-18.66,-7.68,-2.76,-7.8,-2.8,-6.55,-7,-13.7,-8.86,-13.6,-6.4,-6.4,-11.31,3.5544578879,5,27,30,2011
Denver,San Diego,-3.5,-0.97,-0.28,-4,-5.72,-1.31,-5,-5,-6,-0.19,-3,1.63,-2.07,-0.65,-4.37,7.01,-4.63,-5,10.64,3.74,10.22,13.9,-8,-3.5,,,-2.53,0.52,-2.26,4.6,-5.5,-2.5,,,-1.77,,-1.1,-2,,-3.83,-2.84,,-2,-3.1,4,-5,5.32,-1.7,-0.36,-4.11,4.79,5,-5,,-6,1.7,,-2,-10,1,-4.76,-12.36,-4.93,-3.87,6.5,-4,-3.76,-6.9,-3.83,1.3,-10,-1.6,-1.6,-7.73,4.4225552936,5,24,29,2011
Detroit,Chicago,6,5,13.35,8,9.38,7.45,3,9,5.2,11.03,7,6.54,9.62,12.21,13.71,9.67,1.19,5,4.19,8.61,-5.6,13.66,4,6,,,5.26,4.89,7.88,6.8,6,4.9,,,8.37,,10.9,3,,4.73,9.02,,8,9.7,11.5,7,9.81,9.4,8.99,5.84,6.05,16.5,7.5,,1,16.1,,7.5,3,10.3,8.89,8.12,5.61,6.03,14.5,10.85,5.8,4.3,2,5.66,8.1,9.1,8,5.7,3.4026160629,5,24,13,2011
Houston,Oakland,5,5.97,0.72,8,8.79,5.87,4,6,4.1,4.36,-1,1.63,7.53,5.75,11.15,2.52,0.66,4,1.97,3.04,-2.01,-5.85,4,5,,,4.9,7.39,4.52,5.9,8,5.9,,,8.37,,11.1,6,,6.57,7.09,,6,7.8,5.2,8,6,6.1,6.76,8.09,4.83,7,7.5,,-1,6,,7,9,0.2,8.76,2.29,3.91,3.72,12.2,7.74,5.69,6.5,5.32,5.45,11.2,6.9,10.5,5.31,2.9595544593,5,20,25,2011
Indianapolis,Kansas City,1.5,4.67,0.8,3,8.41,3.32,5,6,8,2.17,13,1.78,0.98,1.62,6.85,-1.81,3.85,1,1.09,-2.2,2.95,1.63,11,1.5,,,2.25,8.34,5.33,2,2,2.8,,,4.19,,2.9,4,,-7.21,4.62,,3.5,4.7,-2.1,5,6.87,7,3.83,3.44,8.03,-0.5,3.5,,-4,8.8,,0.5,-3,-1.6,4.45,-0.3,6.22,4.44,6.5,7.94,0.99,1.7,-5.11,8.58,2.4,4,1.9,5.95,3.6815631209,5,24,28,2011
Jacksonville,Cincinnati,-2.5,-0.5,-3.36,-2,-2.24,-1.83,0,1,-5.6,-1.77,4,-1.43,-0.21,-1.12,-10.6,-5.18,3.28,-1,-3.85,-2.39,-5.67,7,-1,-2.5,,,0.66,-1.86,1.01,0.7,2.5,2.1,,,-2.06,,0.5,-2,,0.34,-5.38,,-1.77,-2.4,0.8,-1,-7.13,-6.1,-2.7,3.41,-4.84,-5.5,0.01,,-1,-5.3,,0.5,-3,-4.8,1.76,-3.93,-2.53,0.55,-4.3,-7.76,1.73,1,-5.32,3.5,0.2,-2.1,-3.6,-1.41,3.0069015636,5,20,30,2011
Minnesota,Arizona,3.5,3.05,6.61,2,6.42,2.37,5,4,6.4,1.98,4,-3.49,6.8,-2.59,-1.08,-1.62,4.94,1,0.01,0.52,2.16,-8.53,11,3.5,,,4.05,2.39,5.73,-2.6,3,4.3,,,5.84,,3,4,,1.35,5.68,,2.39,-0.7,1.7,6,-0.75,7.6,0.77,5.15,-0.89,-2,-1,,-1,0.8,,3,7,2.5,3.97,10.16,5.48,4.55,1.4,1,1.56,2.9,-6.69,-1.37,4.3,2.3,-0.6,4.89,3.5784161364,5,34,10,2011
N.Y. Giants,Seattle,10,12.24,9.99,12,14.65,11.23,9,10,11.5,13.78,6,5.14,8.3,12.3,15.24,11.81,7.29,8,2.5,13.34,11.73,7,14,10,,,11.82,12.92,10.47,12.7,10,9.4,,,13.83,,12.2,8,,9.92,13.45,,11.81,10.8,13.9,10,13.81,12.2,6.92,13.23,13.03,8,10,,3,16.9,,10,17.4,8.6,12.61,9.62,8.69,5.88,22,9.42,10.59,10.4,13.61,16.46,16.6,11.5,13.7,10.59,3.2632249008,5,25,36,2011
New England,N.Y. Jets,7,7.35,7.96,8,9.77,8.47,9,7,3.1,10.34,1,3.59,10.62,11,8.07,13.2,6.6,6,11.7,10.89,10.81,8.32,9,7,,,7.86,6.76,6.66,12,8.5,6.1,,,11.75,,9.3,6,,6.96,12.75,,8.59,7.7,11.8,4,10.63,11.6,4.99,9.58,7.4,3,8,,3,10.3,,9,14.4,6.5,8.96,7.13,3.62,4.14,14,4.35,8.59,8.5,9.96,9.06,10,7.5,8.4,9.69,2.9638603075,5,30,21,2011
Pittsburgh,Tennessee,3.5,2.34,-0.37,-0.25,10.14,1.41,4,5,8.9,-1.48,-1,-1.05,2.75,-0.45,-7.55,-4.64,7.09,1,-9.6,-3.97,-13.84,-7,8,3.5,,,2.56,2.07,6.39,-5.4,8,6.7,,,4.56,,3.5,5,,3.72,-1.52,,2.5,-1.4,-0.5,6,-4,3.2,-3.43,4.95,-7.03,2.5,4,,1,-2.5,,2.5,6.5,-6.5,6.4,7.66,8.07,7.23,-1.4,0.9,3.24,2.7,-9.72,6.09,8.3,5,-0.8,9.35,4.7143060768,5,38,17,2011
San Francisco,Tampa Bay,3,3.12,3.78,3,0.58,3.22,1,4,-6.8,4.61,3,8.3,0.85,2.68,5.67,7.88,1.01,1,2.5,6.92,2.5,7,2,3,,,1.76,4.49,2.26,7.7,1,1,,,3.18,,4.5,5,,8.36,3.72,,3.12,5.3,7.4,0.01,5.06,3.7,3.77,2.91,6.46,3,4,,-4,6.4,,4,-0.5,1.7,1.69,-3.66,-4.04,-1.28,7.5,-0.07,2.75,2.1,4,3.01,2.9,4.8,4,1.07,3.2284934366,5,48,3,2011
Atlanta,Carolina,3.5,7.07,0.58,6,7.44,5.24,6,11,19.3,8.05,1,1.15,3.05,8.56,1.36,1.37,13.05,3,2.96,2.67,3.29,8.92,12,3.5,2.97,,10.83,3.46,7.93,0.7,6,4.8,,,7.77,,6.2,6,,7.86,7.34,,5.25,-4.2,12.5,5,0.04,7.1,1.84,6.23,-0.78,5,5.5,,2,1.8,,6,15.7,-1.5,7.43,21.65,13.64,7.98,2.3,-0.3,4.96,3.6,0.56,6.85,9.7,6.7,7.2,4.56,4.9784375915,6,31,17,2011
Baltimore,Houston,7,7.82,4.63,7,12.55,8.57,6,7,13.2,14.83,1,8.2,9.68,10.46,8.56,6.46,7.04,7,13.83,5.77,13.62,6.01,11,7,10.65,,8,8.82,10.17,9.1,6,6.8,,,10.93,,8.5,7,,1.98,6.04,,8.53,6.2,9.7,4,11.12,13,9.23,9.97,10.5,9,5.5,,4,15.7,,7,9.9,8.1,10.04,6.72,10,6.8,10.6,5.76,5.59,7.1,2.13,9.5,7.5,8.8,7.2,4.84,2.6451525864,6,29,14,2011
Chicago,Minnesota,2.5,7.19,2.82,5,5.72,5.81,3,4,11,11.86,4,2.92,7.04,19.37,-0.24,5.19,6.55,2,7.9,6.61,8.45,7,6,3,9.5,,9.85,4.72,7.74,6.1,3.5,3.4,,,5.98,,4.5,7,,11.13,7.02,,5.98,5.3,12.4,1,6.08,2.3,2.84,3.03,6.74,14,7.2,,3,7,,2,6,-1.8,2.92,9.21,9.25,7.5,6.6,4.75,3,3.2,2.33,8.12,3.1,5.8,7.5,0.57,3.6179153048,6,39,10,2011
Cincinnati,Indianapolis,4.5,11.17,10.12,11,7.66,10.58,6,4,4.1,20.7,12,10.39,8.44,19.29,13.31,16.93,-0.74,8,4.5,16.49,4.5,7,6,5.5,22.22,,11.55,10.84,7.43,15.5,3,13.5,,,12.55,,8.5,4,,12.11,10.22,,10.06,17.4,18.2,5,19.46,11.4,7.14,6.93,19.02,18.5,8.5,,4,19.3,,8.5,10,9.1,9.53,7.02,4.26,4.42,22,13.18,6.03,6,14.4,12.6,3.1,9.4,11.3,8.19,5.3253557425,6,27,17,2011
Detroit,San Francisco,5.5,5.52,7.49,5,8.21,5.71,4,6,13.5,10.89,4,0.39,6.64,15.51,2.79,4.67,4.13,5,4.97,6.62,5.04,9.91,4,5.5,5.93,,8.27,2.94,7.84,7.8,4.5,5.6,,,7.18,,3.9,3,,3.31,8.9,,5.6,6.4,10.4,6,1.53,0.8,2.55,4.24,2.04,9,6.6,,1,5.6,,4,6.3,8,5.02,8.85,10.67,7.83,4.6,5.12,4.36,5.2,2.7,4.18,6.8,6.2,8.3,2.84,2.9864800615,6,19,25,2011
Green Bay,St. Louis,14,24.76,22.26,23,27.35,21.13,18,17,33.5,31.95,7,15.63,23.38,25.1,22.31,32.87,9.14,16,4.5,27.29,4.5,7,27,14.5,33.74,,28.2,22.62,20.86,30.9,14.5,12.8,,,30.23,,19.4,9,,16.46,25.36,,22.46,32.2,21.9,12,25.37,31.2,13.59,15.82,30.27,25.5,16.5,,13,27.6,,15,18.9,12.2,22.53,33,25.2,14.7,23,12.76,14.88,15.7,27.83,24.12,22.4,21.1,23.8,17.76,7.3477493528,6,24,3,2011
