Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linedoi,linesage,linesagp,lineps,lineopen,linepts,linejohns,linemass,linecoff,lineesp,linetalisman,linerx,linel2to,linelog,linemidweek,linemed,linekerns,linejens,lineash,linestjohn,lineburd,linemrr,linedok,linepugh,linest,linecovers,linelock,linesun2,linewhatif,lineround,linedwig,lineff,linegametime,linesmart,lineshark,linebemiss,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linesun1,linedonchess,linerwp,linepi1,linepi2,linepi3,linestd,rscore,hscore,week
Washington,Detroit,-1.5,0.79,3.97,3,3.42,0.47,,4,15,-2.57,-3,-2.97,-0.67,-4.03,-8.51,-7,-4.69,,9.4,,6.92,13.88,4,-1.5,,3.74,0.65,0.91,,2.5,-14,,-2,,2.6,4.34,0.8,9.66,9.59,2,0.78,-3.2,-3.9,1,5.09,3.1,4.1,-0.77,0.77,7,1.5,11,4,-1,-5,-2.05,0.5,4,,-13.8,0.26,,,,3.7,2.58,,4,2,-3.25,-0.2,-3.9,-1.5,5.3176823103,27,20,3
Atlanta,New England,3,-2.06,-1.86,-5,-5.79,-0.87,,1,-4,0.8,-3,-2.32,3.86,-4.91,-5.75,2.53,-2.56,,7.83,,8.14,7.29,1,2,,1.99,-1.62,-2.29,,1.5,-8.33,-11.9,-3,,-0.2,-5.35,-1.7,6.28,-3.75,2.5,-1.04,-0.7,0.8,-2,1.76,1.9,0.91,-0.98,-5.79,-3.5,0.01,-1,-6,1,4,-2.65,0.5,0.8,11,-8.7,-1.75,,,,-0.7,1.11,,-6,-6,-11.19,-1.1,4.3,-2.2,4.1718954079,30,23,4
Buffalo,Baltimore,-3.5,-3.32,-0.54,-4,-0.59,-2.29,,-5,10,1.09,3,2.18,0.39,-2.59,-0.68,-5.13,0.47,,-1.73,,-1.47,16.57,-8,-3.5,,-6.93,-3.71,-2.67,,-3.5,-4,12.8,-3,,-4.1,-8.58,-2.8,-4.84,-0.83,-2.5,-2.74,-5.2,1.6,-4,-2.57,-8,-0.79,-2.03,-0.38,-7,-4.5,-4,2,-3,-1,0.3,-4,-2.6,5.3,-4.6,-3.41,,,,0.3,3.71,,1,-6,3.12,-5.7,-7,-5.5,4.2274626794,20,23,4
Cleveland,Cincinnati,-3.5,-1.97,-4.41,-3,-6.57,-3.23,,-5,-9,-8.87,-8,-0.29,-8.48,-7.27,-4.6,0.57,-1.83,,3.64,,3.37,2.83,-4,-3.5,,-0.22,-1.59,-2.12,,-6,-8.33,7,-4,,-4,-5.16,-2.1,0.41,3.48,-4,-4,-4.1,-5.6,-3,-2.15,-4.4,0.01,-3.68,-4.49,-1.5,-4,-9,-7,-9,-1,-4.7,-4,-0.9,-3,-8.7,-2.12,,,,16.5,-0.14,,-6,-4,-0.68,-5.2,-5.3,-5.1,4.2357124363,6,17,4
Denver,Philadelphia,10,12.22,13.72,15,16.37,15.82,,15,21,18.52,5,9.38,8.3,15.01,12.8,23.95,12.27,,14.1,,14.09,3.24,23,11,,12.32,12.3,12.47,,11,22,33.9,21,,11.2,20.7,15.2,14.85,6.09,10.5,15,22.4,17.1,10,12.85,27.1,9.07,17.7,21.2,22,13,21,21,7,17,18.4,14.5,9.3,-0.9,19.5,13.1,,,,23.6,12.11,,21,23,19.63,19.6,19.1,20.4,6.1254445409,20,52,4
Detroit,Chicago,3,1.35,-1.13,-2,-1.66,-0.13,,0.01,-1,-1.6,11,1.5,5.62,-4.37,1.79,1.21,2.32,,3.48,,3.12,1.24,-4,3,,2.96,1.59,1.38,,3,-1.67,2.3,-3,,-0.9,-3.13,4.9,2.92,-15.56,3,0.65,2.5,1.3,3,4.51,-2.1,1.62,-2.13,-2.88,-5.5,0.01,-3,-3,-3,-5,2.5,3.5,1,-14.5,-2.4,2.11,,,,11.8,4.11,,-4,-7,-2.43,-1,0.3,-1.3,4.1962132883,32,40,4
Houston,Seattle,-1.5,1.2,4.86,-4,-0.34,-5.87,,-3,-5,-12.66,7,-1.75,2.42,-7.94,-11.71,-10.94,-10.09,,-11.23,,-11.38,-7,-11,-2,,-2.88,1.64,1.11,,-3,-22.67,-18.1,-6,,-6.6,-9.76,-10.8,-6.19,2.1,-2,-4.8,-7.9,-6.2,-4,-3.8,-16.4,-1.21,-2.87,-15.4,-6.5,-1,-20,-5,-2,-7,-12.75,-2.5,-1,-0.2,-21.9,-2.88,,,,-14.8,-0.8,,-5,-3,-12.7,-3.9,-5.2,-4.6,6.6015574989,23,20,4
Jacksonville,Indianapolis,-7.5,-9.86,-16.15,-8,-15.28,-11.84,,-9,-13,-23.64,-10,-6.94,-16.74,-24.5,-14.7,-19,-10.65,,-12.72,,-12.59,-7,-14,-8.5,,-5.03,-10,-9.53,,-7.5,-27,-11.5,-14,,-9.4,-11.28,-10.2,-9.63,-2.1,-7.5,-11.39,-18.6,-11.1,-7,-7.9,-16.3,-2.53,-14.35,-16.27,-4.5,-7,-15,-11,-12,-11,-16.3,-11,-5.3,-0.2,-21.4,-8.23,,,,-10.5,-5.25,,-10,-14,-13.32,-12.2,-12.2,-12.8,5.3361150074,37,3,4
Kansas City,N.Y. Giants,3,-0.83,18.91,6,-3.76,8.02,,6,-13,24.21,-13,14,-4.05,21.97,22.74,11.43,18.4,,19.63,,19.58,-7,-3,3.5,,2.37,-1.95,0.52,,4.5,33.67,9.9,4,,11.8,-4.62,3.6,14.43,7,4,6.54,18.9,4.9,1,6.59,6.1,-1.71,0.06,11.49,-8,8,4,3,7,15,16.05,7.5,5.8,1.4,30.2,5.31,,,,16.5,8.76,,3,5,15.05,6.5,11.2,8.9,9.7958056971,7,31,4
Minnesota,Pittsburgh,-3,-0.44,2.12,2,2.06,2.48,,-1,0.01,3.63,-4,2.05,-3.86,1.7,5.67,7.16,4.42,,7.91,,7.97,18.52,3,-1.5,,5.99,-0.25,-0.63,,0,6.33,8.8,3,,2,2.03,2.4,5.52,0.37,-3,2.06,2.9,8.1,-2,0.31,4.8,0.09,1.47,3.45,0.5,-0.5,9,3,-1,5,4.65,2,2.5,0.02,5.8,1.65,,,,22.6,4.33,,3,-1,4.65,1.5,1,1.2,4.072216085,27,34,4
New Orleans,Miami,7,6.69,4.48,4,6.93,5.13,,6,2,9.28,15,3.14,9.72,8.11,6.35,1.12,6,,6.61,,7.07,-9.04,9,7,,5.41,6.55,7.1,,5.5,4.67,5,3,,1.8,5.48,6,5.95,7,6.5,5.5,5.5,3,5,7.74,7,6.44,2.17,4.65,7,5.5,4,6,1,-1,2.4,5.5,5,-5.8,3.4,6.05,,,,0.7,4.56,,5,3,2.14,7,7.5,6.4,3.0843475555,17,38,4
Oakland,Washington,-3.5,0.49,5.12,1,-3.3,3.04,,0.01,-4,7.08,3,5.25,-5.4,4.97,6.28,10.33,6.04,,7.4,,7.01,-7,-3,-2.5,,-4.18,0.46,0.8,,-2.5,8,26.4,6,,1.9,-6.62,3.6,6.48,5.76,-3,2.64,12.5,3.4,-2,1.29,4.4,-1.83,-1.64,2.67,-5.5,0.5,7,-2,-4,13,4.2,4,-0.9,2.7,6.5,0.85,,,,17.1,3.75,,-2,7,18.13,1.7,1.9,2.6,6.2891360297,24,14,4
San Diego,Dallas,-1.5,-0.86,-2.31,-2,-2.87,-1.13,,-1,3,-4.83,3,-2.44,2.9,-1.1,-4.02,-2.57,-2.51,,7.34,,7.4,-13.04,-3,-1.5,,-4.93,-0.45,-1.01,,-2.5,-9.33,-14.6,0.01,,-1,0.9,-0.3,9.64,3.65,-2,-1,-2,5.8,-1,-3.87,-4,2.42,-0.74,-5.58,1,-2.5,1,-4,-5,-2,-0.25,1.5,0.1,1.6,-9.5,-1.33,,,,-8.6,4.57,,-4,2,-10.58,-0.6,-1.9,0.2,4.1623283925,21,30,4
St. Louis,San Francisco,-3,-4.28,5.08,-3,-3.05,-1.54,,-2,-1,1.7,-1,2.5,-12.35,-0.2,5.87,3.65,5.41,,2.76,,3.07,-3.67,-3,-3,,-4.59,-4.68,-3.75,,-3,5,3.5,-3,,-1.3,-7.66,0.7,0.22,-1,-3,-1.15,-0.8,-0.5,-5,-0.44,-0.2,-2.55,-0.97,-2.84,-6.5,-4.5,-3,-4,-1,-5,-0.05,1.5,-0.8,-6.8,3.7,-0.62,,,,11.7,2.42,,-4,-4,2.1,-3.5,-1.7,-4.3,4.0684777613,35,11,4
Tampa Bay,Arizona,2.5,7,3.04,0.25,5.55,4.85,,4,-3,2.67,7,2.24,-0.83,0.83,0.8,1.63,1.27,,9.82,,9.79,7,7,2.5,,2.33,6.71,7.68,,3,1,19,6,,2.6,4.37,4.5,11.31,8.31,2.5,3.85,4.8,2,1,1.93,2.6,2.87,1.33,8.47,8,3,5,9,1,11,2.25,10,3.7,12.9,0.01,2.71,,,,9.4,4.67,,10,5,5.7,7.5,3.6,7.5,3.9934708576,13,10,4
Tennessee,N.Y. Jets,3,4.44,0.9,1,-0.49,2.27,,4,6,8.33,2,3.3,6.06,9.37,2.56,2.52,2.67,,8.38,,8.85,3.07,1,3,,5.37,4.54,4.61,,5,0.67,-23.6,1,,5,0.98,0.9,2.15,-2.42,3,3.15,3,6.3,-1,3.77,6.5,4.25,-0.33,-4.9,2,4.5,2,1,1,-5,6.1,5.5,4,-5.2,-0.3,3.38,,,,-5.7,-0.39,,1,3,-11.91,5.2,7.5,5.5,5.2808674198,13,38,4
Arizona,Carolina,-3,-2.98,-2.54,-1,-5.32,-3.54,,0.01,-6,-4.22,3,2,1.01,5.02,-11.22,-4.26,-5.17,,-8.41,,-7.58,-15.02,-11,-3,,0.86,0.45,-6.86,-3.5,-2,-14.67,-5.38,-4,,-2.8,-6.75,-7.4,-10.74,1.99,-1.5,-2.89,-7.9,-1.6,-3,-1.04,-12.9,2.41,-9.19,-13.23,-1,1,-11,-9,1,-8,-12.3,4.5,0.1,-3.9,-14.5,0.8,1.92,,,-12.7,1.58,,-7,1,-2.07,-2.1,0.6,-2,5.1469563836,6,22,5
Atlanta,N.Y. Jets,9,7.68,4.07,3,8.55,6.66,,10,8,8.66,6,3.38,5.03,8.57,5.73,4.88,4.5,,6.94,,7.23,2.78,15,9,,11.78,7.65,7.94,5,7.5,3.5,4.32,7,,5.2,7.81,10.8,-2.13,-3.45,9,7,1.5,7.4,2,10.96,12.6,9.29,11.28,5.75,6,8.5,11,7,3,7,7.1,9.5,8.4,12.7,2.4,5.82,4.3,,,17.1,1.76,,7,5,-1.79,9.7,11.8,8.6,3.8312445067,30,28,5
Chicago,New Orleans,-1,-2.22,-4.56,-2,2.48,-3.24,,0.01,2,-2.43,-14,-3.43,-5.41,0.43,-5.12,-9.32,-3.37,,-1.74,,-1.69,-1.67,1,-1,,0.79,-1.84,-2.45,-9.6,0,-9,-8.88,-3,,-2.5,2.44,-6.1,-2.62,-7,-1,-2.56,-10.7,-4.8,-1,-4.95,-5,2.02,-5.66,-6.96,-3.5,-0.5,-8,1,-2,-7,-4.7,-9.5,0.5,-5.4,-9.2,1.47,1.39,,,-17.7,5.02,,2,-7,-10.33,-0.1,-2.4,-1.4,4.6034070332,26,18,5
Cincinnati,New England,0,-4.94,-6.71,-5,-6.53,-3.31,,-2,0.5,-1.34,-6,-4.18,2.9,-4.13,-4.42,-7.44,-1.55,,0.68,,1.51,-9.98,-3,-0.5,,1.29,-4.76,-4.93,-8.5,0,-7,-8.68,-4,,-1.8,-1.37,-3.9,5.61,-7,1,-3.95,-5,-5.5,0.01,-4.24,-2.8,-1.54,-6.82,-6.17,-2,-1.5,-5,-4,-1,-5,-4.4,-1.5,-0.5,-7,-7.4,0.14,0.65,,,-8.3,2.27,,-4,-11,-12.82,-2.4,-0.3,-2.9,3.4987207905,6,13,5
Cleveland,Buffalo,3,3.07,1.89,2,5.87,3.04,,4,-10,4.59,-4,2.7,7.06,3.68,2.38,1.56,2.53,,6.97,,7.19,7,4,3,,7.25,3.46,2.9,0.4,3,0.75,-1.28,3,,3.3,5.08,2.6,7.24,1.71,3,3.19,1.1,3.7,4,1.9,4.2,2.82,1.47,-0.86,6,5,8,4,-2,-3,0.35,1.5,5.3,-1.8,-0.3,5.25,2.63,,,10.8,2.84,,4,3,-4.01,3.9,5.5,4.1,3.4182714569,24,37,5
Dallas,Denver,-7,-4.88,1.34,-5,-4.05,-6.42,,-5,-12.5,-6.82,9,-1.57,-4.39,-4.82,-3.49,-12.26,-3.24,,-4.81,,-3.74,-5.09,-8,-7,,-3.75,-6.42,-3.4,-11.5,-5.5,-16.25,-10.08,-7,,-3.8,-8.83,-10.4,-12.69,-7,-7,-5,-14.6,-8.9,-5,-3.33,-10.1,-1.6,-9.89,-13.92,-3,-4.5,-14,-11,-6,-9,-9.65,-1.5,-2,0.1,-16,-2.67,-0.21,,,-17.3,2.34,,-11,-13,-10.39,-7.9,-7.3,-8.3,5.2405379381,51,48,5
Green Bay,Detroit,8,4.69,1.71,2,11.54,4.09,,7,16,5.56,7,-0.76,12.03,-0.19,1.19,-0.46,1.64,,-1.48,,-2.14,7,12,7.5,,6.54,4.86,4.74,1.3,6.5,-1.58,1.22,3,,4.4,4.98,5.4,5.62,-3.24,7,4.42,4.3,3.3,3,6.41,8.2,6.45,10.86,2.67,3,7,8,8,2,-3,3.15,12.5,5.8,-3.2,-2.4,4.44,3.8,,,19.7,6.31,,8,3,-5.76,8.3,4.8,7.6,4.76330545,9,22,5
Indianapolis,Seattle,-3,-1.49,8.67,-5,-2.51,-2.58,,-2,-7,-5.1,4,1.3,-9.24,-7.43,2.05,-4.08,2.14,,1.53,,1.91,-8.5,-7,-3,,-0.78,-2.56,0.01,-8,-3,-1,0.02,-4,,-2.1,-12.48,-3.6,2.49,-1.97,-3,-2.5,-0.7,0.1,-6,-3.31,-1.2,-4.28,-8.63,-4.05,-10.5,-2.5,3,-3,-2,-3,-5.45,0.01,-0.3,3.8,-1.9,-2.94,0.96,,,-5.7,-2.85,,-3,-5,-4.43,0.6,0.2,0.9,3.9256083995,28,34,5
Miami,Baltimore,2.5,1.09,4.85,2,-2.25,2.39,,1,6,9.62,-1,7.03,5.12,11.55,2.18,2.35,2.47,,5.59,,5.57,2.63,-5,2.5,,4.8,1.73,0.63,1.8,3,0,2.42,2,,3.1,-2.95,1.1,1.17,9.93,3,2.09,-0.6,5.5,-2,4.26,-3.4,0.48,-3.97,-0.43,0.01,2.5,5,2,3,5,3.5,-2,1.9,8.3,-0.9,2.2,2.61,,,12.8,7.96,,2,5,1.91,-0.3,2.2,1,3.6451330257,26,23,5
N.Y. Giants,Philadelphia,1.5,0.49,0.63,2,2.1,0.67,,5,14,-1.13,7,-2.77,-3.62,-0.24,-2.94,1.16,-3.06,,-0.99,,-0.85,4.77,9,1.5,,5.48,0.93,-0.02,2.5,1,-10.5,-1.28,3,,-0.3,10.8,-0.2,0.53,-7,1.5,0.38,-6.3,0.1,1,1.63,3.4,6.94,0.27,-3.41,0.01,0.01,3,10,-5,-5,-2.45,2.5,2.4,-0.05,-10.7,2.32,3.94,,,9.9,5.42,,10,5,-6.08,4.5,2.3,3.2,4.8651749342,36,21,5
Oakland,San Diego,-4.5,-5.45,-4.1,-3,-6.13,-4.41,,-4,-1,-7.45,-4,-1.7,-6.84,-9.59,-2.46,-10.11,-0.27,,-5.92,,-6.12,0.6,-4,-4.5,,1.26,-6.15,-4.68,1.1,-5,-5.5,-3.38,-4,,-4.7,-2.13,-4,-4.8,-12.82,-4.5,-4.69,-5.6,-5.9,-2,-5.23,-6.1,-0.37,-7.97,-4.11,-2,-3,-8,-4,-9,-3,-5.2,-5.5,-1.9,-2.2,-6,0.01,0.91,,,-10.3,2.44,,-4,-7,-11.87,-4.7,-7.1,-5.7,3.0892654751,17,27,5
San Francisco,Houston,4.5,2.17,1.04,3,4.57,2.89,,4,-4,2.26,3,0.39,9,7.21,2.47,-1.38,2.46,,-0.12,,-0.53,-1.67,8,4.5,,7.23,2.67,1.91,-5.9,6.5,0.75,-1.18,3,,3.4,8.27,3.4,-1.03,-4.35,5.5,2.95,-1.6,2.9,2,1.99,5.8,6.9,6.46,-0.29,7,5.5,5,6,1,0.01,0.4,5,4.7,-0.8,-0.3,3.13,3.26,,,6.5,-1.35,,5,4,-2.92,5.6,6,5.6,3.2864778814,3,34,5
St. Louis,Jacksonville,11,11.92,3.73,8,7.58,8.83,,10,23,10.91,3,6.75,9.5,15.04,7.98,10.25,11.11,,6.56,,7.09,-15.94,15,11,,12.77,15.75,9.62,9.2,10.5,12.5,4.52,10,,6.2,14.54,10.5,4.06,3.62,11.5,9.56,6.7,6.9,9,10.65,9.9,9.95,15.05,8.44,-2,7.5,14,6,11,1,11.05,6.5,8.8,-10.9,5.2,10.8,6.28,,,17.2,10.25,,7,11,14.08,12,13.5,11.6,5.0892390599,20,34,5
Tennessee,Kansas City,-2.5,2.22,0.97,2,6.34,0.97,,-1,2,1.29,6,-0.76,-5.14,1.88,-2.9,-0.32,-2.86,,3.05,,3.22,5.56,2,-1.5,,1.31,2.75,1.78,5.2,-2.5,-7,1.02,3,,1.6,2.79,-6,4.48,-7,-3,1.54,-0.4,3.8,2,-4.12,5.1,2.89,-1.5,1.95,4.5,-0.5,1,4,-2,5,-0.8,6.5,0.5,-1.7,-7.4,1.47,3.6,,,-4.9,-2.8,,4,6,-0.81,3.5,-0.5,3.5,3.4255765355,26,17,5
Baltimore,Green Bay,-2.5,1.31,6.29,4,5.26,2.08,,0.01,-8,7.77,7,-0.34,3.95,12.92,0.33,5.36,1.17,,3.35,,3.28,5.03,1,-1.5,,1.1,0.64,1.23,4.5,-3.5,-2.85,3,3,4.87,1.6,3.65,2.4,4.39,7.53,-3,2.4,-3.7,4.3,1,-7.95,0.01,1.49,-2.29,-1.13,-0.5,-1.5,-8,3,-3,4,4.25,2.5,2,4.7,-3.6,-0.14,3.45,,,10.1,3.97,,4,6,2.64,-0.5,-0.5,-0.4,4.0260289083,19,17,6
Buffalo,Cincinnati,-6,-2.15,1.46,-2,-0.44,-1.4,,-3,5,6.8,5,-1.59,-10.37,11.38,-1.59,-0.1,0.57,,2.26,,1.78,7,-3,-4.5,,-1.44,-3.09,-1.96,0.7,-7,-4,-0.4,-1,-0.48,-1.8,-6.33,0.4,-2.18,3.44,-6.5,-1.59,-3.3,-1.3,-4,1.26,-2.6,-0.81,-2.65,-3.07,-1,-6,-8,-1,-1,0.01,1.85,-0.5,-3,2.9,-4.7,-4.1,2.88,,,5.6,1.42,,-1,-3,-2.99,-3.5,-4.2,-3.4,3.5924435992,27,24,6
Chicago,N.Y. Giants,7,13.9,14.02,16,8.23,12.73,,10,-4,20.37,-6,13.01,5.38,20.76,16.16,11.89,14.19,,16.42,,17.09,12.04,13,8,,10.15,12.5,14.63,8.5,7,22,16.4,12,15.82,12,6.66,8,9.4,7,7,13,19,15,7,6.6,18.9,5.69,10.53,20.7,14,10.5,20,10,7,19,15.6,5,8,9.3,19.4,9.33,4.24,,,23.9,14.56,,10,11,20.81,13.6,14.7,14.8,5.9908945847,21,27,6
Cleveland,Detroit,-2.5,2.19,4.64,2,1.94,2.17,,1,-1,-0.19,-7,2.19,-4.59,2.05,3.18,4.78,3.07,,3.27,,2.98,-7,3,-1,,1.3,0.72,2.91,4.7,-3,0.8,5.1,3,6.22,3.8,1.82,4.2,6.09,3.84,-2.5,2.58,-0.2,4.1,0.01,-2.09,5.5,0.97,-1.62,2.77,-1,-1,-2,3,-3,5,3,8.5,3,7.3,-0.2,1.93,2.9,,,2.7,2.88,,3,6,2.58,0.4,-0.2,1.5,2.9160357928,31,17,6
Dallas,Washington,5.5,8.45,9.92,4,4.53,7.76,,6,2.5,14.47,6,7.46,10.69,13.37,9.42,8.49,7.29,,10.61,,10.71,-7,6,5.5,,6.6,7.04,9.13,13.5,3.5,9.45,9.8,6,5.99,6.4,-0.18,7.8,9.23,4.28,5.5,7.46,5.9,6.5,2,11.8,8.7,4.02,4.59,5.86,7,7.5,21,2,2,13,12.2,7,6,11,7.8,5.48,3.25,,,14.7,11.93,,1,6,6.37,8.1,10.6,8.9,3.7803379335,16,31,6
Denver,Jacksonville,26.5,29.68,17.23,28,27.44,27.59,,24,35,40.44,21,19.08,32.3,40.3,26.8,33.26,23.98,,36.06,,36.05,7,34,26.5,,25.19,31.05,28.68,33.9,27.5,41.6,29.2,29,24.22,23.2,28.01,27.2,37,7,26.5,28,30.4,19.9,20,18.14,35.6,18,27.55,35.94,23,23,29,26,18,33,37.45,20,19,8.4,37.6,24.6,9.58,,,29.6,15.73,,26,37,26.88,29.9,32.2,30.9,7.4161596369,19,35,6
Houston,St. Louis,9,9.76,9.51,7,10.24,8.17,,7,5,12.23,13,5.34,13.48,14.25,1.52,9.84,2.02,,10.68,,9.94,7,7,9,,9.34,10.17,8.59,9.4,7,-0.6,7.2,8,5.28,5.3,6.78,7.8,15.68,6.08,7,8.2,14.2,9.1,10,5.21,8.2,5.05,8.15,6.7,11,8.5,4,4,4,11,11.75,9,5,8.6,-1.5,7.12,4.87,,,16.8,8.67,,5,7,4.53,8,7,8.6,3.6461638754,38,13,6
Kansas City,Oakland,7.5,12.58,8.13,9,5.58,11.56,,11,6,20.14,-4,10.66,16.78,20.8,17.37,15.12,11.54,,15.14,,15.28,-11.12,8,8.5,,14.14,11.41,13.1,10.4,10,17,11.9,10,12.84,12.9,4.59,9.2,10.85,7,8.5,11.54,13.1,12.8,7,13.09,12.3,6.31,12.99,10.1,6,11,15,4,11,9,15.35,8,9,4.7,14.8,11.43,4.75,,,12.9,7.86,,3,8,12.6,13.2,16.4,14.5,4.38789772,7,24,6
Minnesota,Carolina,2.5,4.14,-3.9,1,-1.03,0.41,,2,-4,0.83,-6,2.44,4.3,8.12,-3.21,-2.46,-0.72,,-0.37,,-0.47,-0.97,-1,2.5,,2.76,4.79,2.86,2.1,2,-5,4.1,3,2.39,0.4,-3.07,-2.2,-4.23,7,2.5,1,-4.3,3,-1,-9.57,-2.4,1.94,-1.21,-0.56,-1,1.5,-1,-1,-2,-1,-6.15,-1.5,3,5.8,-5.6,2.37,2.58,,,-4.3,1.82,,1,4,1.39,1.6,1.1,0.9,3.3795982678,35,10,6
N.Y. Jets,Pittsburgh,-1.5,6.93,8.44,9,0.39,6.91,,3,4,14.02,7,8.2,-1.56,23.51,9.99,12.64,7.13,,6.62,,6.86,-14.96,0.01,0,,3.59,7.04,6.07,14.1,-2,9.65,12,7,11.99,8.1,0.85,6.5,6.33,5.83,2,6.6,12.2,9.3,3,2.35,6,3.82,0.66,6.6,5.5,4.5,6,-1,2,9,10.05,14,3,4.8,6.1,3.52,3.52,,,16,8.88,,1,9,18.94,4.5,4.1,6.2,4.871193226,19,6,6
New England,New Orleans,2.5,1.31,-2.52,-1,4.64,-0.56,,2,8.5,0.3,4,-1.93,-1.15,5.98,-1.53,-5.18,0.34,,-4.55,,-4.7,-3.59,2,2,,3.24,0.64,1.24,-1.5,3,-6.2,-3.5,1,-2.86,-2.1,5.42,-0.1,-1.6,-16.2,3,-1,-4.8,-2.7,1,-3.6,-3.5,3.14,-0.79,-6.09,-2,2.5,-12,5,1,-5,-2.15,-1,3,-1.7,-6.7,2.51,3.72,,,-2.9,2.41,,5,-2,-5.95,2.7,-2.6,1.9,3.7741203269,27,30,6
San Diego,Indianapolis,0,-2.96,-7.76,-7,-1.95,-4.7,,-3,5,-4.72,10,-4.07,-7.31,-5.36,-7.6,-8.02,-3.74,,-7.86,,-7.58,-7,-5,-1,,-1.42,-2.55,-4.35,1,0,-11.8,-5.5,-4,-7.56,-4.4,-0.39,-0.9,-0.47,-4.44,-1.5,-4.35,-9.3,-6.5,0.01,-2.87,-9.2,1.94,-2.49,-11.27,-8.5,-1,-3,-4,-4,-11,-6.55,-5.5,-1,-3,-11.8,-1.92,1.74,,,-9.9,-0.44,,-4,-8,-8.15,-4.3,-3.3,-4.9,4.1962917975,9,19,6
San Francisco,Arizona,10.5,9.82,9.68,6,15.22,8.95,,9,2,11.84,14,4.25,14.51,13.28,6.76,4.06,4.72,,8.64,,7.9,15.71,16,10.5,,13.11,8.61,10.29,4,11.5,4.8,6.7,8,7.24,7.9,13.1,8.2,9.48,4.52,10.5,8.71,12.6,7.3,10,1.44,10.8,7.91,11.31,8.71,12.5,10,15,13,2,9,7,6.5,11,10.5,3.5,7.91,5.77,,,8,5.29,,12,7,3.65,14.5,12.1,14.3,3.7596563398,20,32,6
Seattle,Tennessee,11.5,11,6.57,11,20.96,11.23,,12,13,14.56,17,4.97,16.65,14.62,8.6,10.05,6.67,,12.07,,11.25,7,20,11.5,,15.25,10.37,10.95,10.5,13.5,8.2,9.7,13,8.26,7.7,19.25,13.8,9.62,4.04,13,11,13.3,10.8,12,10.01,12.5,9.11,12.83,11.33,14,12,9,18,7,9,12.55,12,9,3.2,6.7,11.97,6.05,,,18.4,7.56,,18,9,6.88,11.1,10.1,10.3,3.8452785946,13,20,6
Tampa Bay,Philadelphia,-3,1.84,-2.22,-1,0.31,1.07,,1,2,0.82,-11,1.33,-2.88,1.44,-2.26,0.18,-0.24,,1.45,,2.22,-4.06,4,-2,,4.61,0.78,2.17,5.9,-1.5,-0.7,2.9,3,-1.21,-1.3,7.8,-0.6,1.77,-16.16,-1.5,1.44,3.4,0.4,-1,-7.53,0.2,2.48,1.56,4.02,1.5,-1,-5,7,-5,5,2.25,3.5,1,9.7,-1.6,2.55,3.05,,,3.2,2.1,,7,4,-11.93,2.9,-0.1,2.5,3.9163898292,31,20,6
Arizona,Seattle,-5.5,-5.08,-0.37,-7,0.96,-5.75,,-4,-6.5,-7.96,-3,-4.45,-9.57,-8.72,-7.97,-3.81,-3.46,,-8.75,,-7.77,12.6,-12,-5.5,-5.56,-5.88,-3.7,-6.19,-4.1,-6,-12.17,-3.2,-3,-3.23,-5.1,-14.55,-6.6,-5.4,-2.06,-5.5,-5.25,-8.9,-3.6,-7,-4.44,-4.3,-3.62,-5.08,-7.76,1,-7.5,-16,-6,-6,-5,-7.65,-7,-4,-1,-12.2,-4.71,-1.35,,,,-2.76,,-5,-10,,-8.7,-5.6,-7.8,3.4811214161,34,22,7
Atlanta,Tampa Bay,6.5,7.9,5.32,9,7.95,7.92,,9,10.25,7.62,14,5.85,12.22,7.32,8.98,5.98,6.66,,7.3,,7.38,7,12,6.5,8.12,7.04,8.24,7.92,7.4,7,6,8.5,7,8.84,8.2,7.43,8.1,7.64,7,7,7.72,7.8,7.5,7,10.91,11.9,5.68,10.93,7.57,6.5,8.5,12,6,3,9,7.4,7,6,9.2,4.7,8.64,5.22,,,,6.83,,6,5,,9.2,9.1,9,2.1079090128,23,31,7
Carolina,St. Louis,7,7.58,4.59,6,10.28,7.79,,5,12.5,10.63,-3,1.98,3.21,2.47,12.58,6.19,9,,13.06,,12.27,12.33,12,7,10.75,4.72,5.54,10.27,6.8,6.5,11.37,6.6,7,4.8,8.1,8.91,12.1,15.77,1.22,6.5,7.29,12.8,8.1,9,3.25,14,3.83,8.28,12.07,22,6.5,11,6,5,12,16.1,-3.5,4,3.3,9.5,6.22,3.45,,,,9.43,,5,3,,7.6,6.6,7.8,4.4261497239,15,30,7
Detroit,Cincinnati,2,2.83,1.84,2,2.87,3.01,,3,1,5.49,1,4.77,0,4.29,4.09,5.26,3.5,,8.33,,8.09,7,2,2,5.76,2.99,3.61,2.41,3.4,2.5,3,5.9,3,3.44,4.3,-3.03,1.6,0.59,4.33,2.5,2.99,-0.3,5.5,1,6.39,6,2.04,2.79,4.01,5.5,2,3,1,-1,1,4.65,1.5,2,0.3,1.9,4.12,2.61,,,,4.76,,1,-3,,1.7,3.9,1.3,2.0902974247,27,24,7
