,year,name,grade,age,draft,prev.grade,model.weight,prev.attempts,last.grade,last.attempts,prior,posterior,pred,
523,2016,Ryan Tannehill,74.2,-1.902121834,8,73.62060804,389,2248,69.8,586,73.52860382,73.58378671,75.68555337,MIA
548,2016,Tom Brady,94.9,9.079397673,199,86.31418543,432,5244,91.9,624,73.52860382,83.47041728,84.30704961,NE
564,2016,Tyrod Taylor,75.6,-2.920602327,180,78.1632074,436,415,78.3,380,73.52860382,74.53296961,72.04275934,BUF
12,2017,A.J. McCarron,37.1,-3.032169747,164,64.7,14,119,60,0,73.52860382,72.87968235,66.33806697,CIN
220,2017,Aaron Rodgers,79.2,3.749486653,24,87.56446015,238,4641,91.4,610,73.52860382,84.13606339,87.40699097,GB
315,2017,Alex Smith,82.1,3.319644079,1,73.23320364,505,3943,77.4,489,73.52860382,73.314611,74.44059355,KC
59,2017,Andy Dalton,72.7,-0.15742642,35,71.72015652,496,3060,70.6,563,73.52860382,72.3150405,73.64363674,CIN
69,2017,Ben Roethlisberger,86.5,5.501711157,11,85.66438691,561,5369,80.3,509,73.52860382,83.01426686,85.26030325,PIT
75,2017,Blaine Gabbert,45.4,-2.120465435,10,57.46051576,171,1226,46.2,160,73.52860382,66.30209026,62.98930146,ARI
82,2017,Blake Bortles,69.4,-4.655715264,3,57.61987104,523,1706,56.9,625,73.52860382,65.06313342,66.73737339,JAX
9,2017,Brett Hundley,64.8,-5.77,147,37.4,316,10,37.4,10,73.52860382,73.28934154,67.14411402,GB
107,2017,Brian Hoyer,63.6,1.885010267,260,64.65280032,211,1199,79.8,200,73.52860382,69.58562924,63.46861019,SF
114,2017,Brock Osweiler,47.3,-3.223819302,7,56.23328334,172,815,51.7,510,73.52860382,67.43975449,68.07168043,DEN
135,2017,Cam Newton,68.7,-1.690622861,1,76.44864911,492,2928,68.5,510,73.52860382,75.45947388,77.04386867,CAR
14,2017,Carson Wentz,84.9,-5.329226557,2,69.9,440,607,69.9,607,73.52860382,72.48324904,74.77903825,PHI
153,2017,Case Keenum,81.4,-0.461327858,260,60.906001,481,777,58.9,322,73.52860382,69.22128612,64.38206975,MIN
168,2017,Chad Henne,45,2.17,57,54.90334887,2,1954,60,0,73.52860382,62.99190776,56.91906584,JAX
176,2017,Chase Daniel,61.5,0.902121834,260,65.80625778,0,78,76.2,1,73.52860382,73.1468909,65.2660787,NO
18,2017,Cody Kessler,62.1,-0.17,1,68.9,23,195,68.9,195,73.52860382,72.99610957,70.91355025,CLE
196,2017,Colt McCoy,60,0.98973306,85,60.07963659,0,842,0,0,73.52860382,68.69340723,62.83427477,WAS
20,2017,Dak Prescott,72.2,-5.906913073,135,83.7,490,459,83.7,459,73.52860382,75.91179465,75.06977882,DAL
2111,2017,Derek Anderson,47.8,4.214921287,31,65.5803083,8,1596,60.4,53,73.52860382,69.43122667,64.99960903,CAR
223,2017,Derek Carr,68.9,-3.568788501,36,70.67817552,515,1732,85.3,560,73.52860382,72.00108469,73.24901516,OAK
249,2017,Drew Brees,89.5,8.628336756,32,87.13140763,536,6949,83.2,673,73.52860382,84.71642293,88.6153085,NO
258,2017,Drew Stanton,54.3,3.32,43,50.99223326,159,500,47,48,73.52860382,67.89451118,63.07055843,ARI
269,2017,Eli Manning,68.9,6.65982204,1,68.0801288,571,6071,64.4,598,73.52860382,69.15960477,71.01356946,NYG
274,2017,Geno Smith,70.9,-3.106091718,39,58.48647239,36,866,65,14,73.52860382,68.02290398,62.90319549,NYG
281,2017,Jacoby Brissett,62.4,-6.27652293,91,51.9,469,55,51.9,55,73.52860382,72.76360497,67.85175801,IND
292,2017,Jameis Winston,73.7,-6.34770705,1,71.1261343,442,1102,72,567,73.52860382,72.51110904,74.39241536,TB
30,2017,Jared Goff,75.6,-7.117043121,1,42.9,477,205,42.9,205,73.52860382,69.84598576,67.53111384,LA
316,2017,Jimmy Garoppolo,86.6,-4.168377823,62,67.5606383,178,94,73.8,63,73.52860382,73.17666608,68.81233882,SF
328,2017,Joe Flacco,68.9,2.624229979,18,69.41561654,549,4742,66.5,672,73.52860382,70.40399861,72.94714268,BAL
337,2017,Joe Webb,46.9,0.8,199,45.44782609,7,152,52,0,73.52860382,70.9449003,63.6915814,
349,2017,Josh McCown,67.9,8.162902122,81,59.2980385,397,1259,55.7,165,73.52860382,67.03484458,62.83541013,NYJ
351,2017,Kevin Hogan,50.5,-5.13,162,61.4,75,26,61.4,26,73.52860382,73.32195657,67.13754788,CLE
365,2017,Kirk Cousins,70.6,-0.965092402,102,72.62383212,540,1556,80,606,73.52860382,73.06792817,73.9797686,WAS
372,2017,Marcus Mariota,76.2,-6.161533196,10,65.31278928,453,821,66.8,451,73.52860382,70.62244969,70.91809441,TEN
399,2017,Matt Cassel,42.2,5.293634497,230,54.27919217,42,2600,51,51,73.52860382,61.32165985,53.13419801,TEN
408,2017,Matt Ryan,88.3,2.292950034,3,85.17791241,529,5064,92.2,534,73.52860382,82.51582178,85.09283051,ATL
427,2017,Matthew Stafford,78.6,-0.43394935,1,73.30429925,565,4285,81.4,594,73.52860382,73.36245947,75.62723109,DEN
433,2017,Mike Glennon,61.4,-2.28,73,40.65909091,140,630,74.9,11,73.52860382,63.80663521,57.71075089,CHI
464,2017,Nick Foles,73.2,-1.386721424,88,64.08765132,101,1285,67.2,55,73.52860382,69.17254494,63.91588088,PHI
489,2017,Philip Rivers,80.4,5.731690623,4,77.73784559,575,5887,70.7,578,73.52860382,76.88311936,79.31236131,LAC
504,2017,Russell Wilson,78.8,-1.244353183,3,81.40854883,553,2281,83.8,546,73.52860382,78.28241354,80.53168604,SEA
518,2017,Ryan Fitzpatrick,67.9,4.770704997,250,63.54742536,163,3741,51.8,403,73.52860382,66.40408777,62.27869573,TB
533,2017,Teddy Bridgewater,63.8,-5.192334018,32,73.44134276,2,849,0,0,73.52860382,73.49706502,68.91806781,MIN
549,2017,Tom Brady,94.1,10.07939767,199,88.26043505,581,5676,94.9,432,73.52860382,85.18103889,84.12954659,NE
551,2017,Trevor Siemian,53,-4.31,250,56.8,349,486,56.8,486,73.52860382,69.43489714,66.53299321,DEN
565,2017,Tyrod Taylor,77.7,-1.920602327,180,76.80055893,420,851,75.6,436,73.52860382,74.71296528,72.84679575,BUF
