,year,name,grade,age,draft,prev.grade,model.weight,prev.attempts,last.grade,last.attempts,prior,posterior,pred,
393,2011,Matt Cassel,64.1,-0.706365503,230,65.69260558,269,1474,68,450,73.52860382,69.64485755,66.66422556,
402,2011,Matt Ryan,79.3,-3.707049966,3,81.06894387,566,1456,84.7,571,73.52860382,77.24265494,79.64952232,
413,2011,Matt Schaub,78.5,0.186173854,90,82.9471496,292,1853,84.4,574,73.52860382,78.73366357,80.08438967,
421,2011,Matthew Stafford,76.1,-6.43394935,1,62.05753228,663,473,81.8,96,73.52860382,70.77856994,67.38762977,
483,2011,Philip Rivers,78.5,-0.268309377,4,90.39946325,582,2425,91.4,541,73.52860382,83.95200104,86.7453575,
512,2011,Ryan Fitzpatrick,65.5,-1.229295003,250,65.40751963,569,1040,66.9,441,73.52860382,70.20343549,66.89871174,
543,2011,Tom Brady,87.7,4.079397673,199,81.61144587,611,2162,83.8,492,73.52860382,78.30061488,77.15368214,
28,2012,Aaron Rodgers,89.7,-1.250513347,24,92.11220862,552,2097,93,502,73.52860382,84.36258193,86.49196842,
36,2012,Alex Smith,68,-1.680355921,1,74.98090783,218,1794,78.6,445,73.52860382,74.31956721,75.07906419,
5,2012,Andy Dalton,63.7,-5.15742642,35,62.2,528,516,62.2,516,73.52860382,70.6290207,71.26806291,
64,2012,Ben Roethlisberger,86,0.501711157,11,77.81076429,449,2750,75.5,513,73.52860382,76.29941354,77.86329684,
7,2012,Blaine Gabbert,58.3,-7.120465435,10,31.2,278,413,31.2,413,73.52860382,64.39022777,63.60240507,
102,2012,Brian Hoyer,47.3,-3.114989733,260,60.27856242,53,43,68.5,1,73.52860382,73.15935445,65.27988857,
13,2012,Cam Newton,72.4,-6.690622861,1,67.3,485,517,67.3,517,73.52860382,71.93208018,73.21102051,
163,2012,Chad Henne,53.1,-2.83,57,71.14447208,308,1065,75.1,112,73.52860382,72.53870117,68.70629928,
171,2012,Chase Daniel,65,-4.097878166,260,47.33728814,1,8,47.2,5,73.52860382,73.38965785,65.57825489,
191,2012,Colt McCoy,39.5,-4.01026694,85,58.8641994,17,685,56.5,463,73.52860382,68.93129625,68.09658707,
214,2012,Derek Anderson,54.7,-0.785078713,31,49.33709969,4,1436,58.1,0,73.52860382,61.69651937,55.85719002,
244,2012,Drew Brees,85.1,3.628336756,32,92.05318292,670,3670,93.9,657,73.52860382,86.67854682,90.61663889,
264,2012,Eli Manning,78.7,1.65982204,1,85.0457459,536,3167,87.3,589,73.52860382,81.34407178,84.41703544,
323,2012,Joe Flacco,73.3,-2.375770021,18,67.53869849,531,1958,65.2,542,73.52860382,70.13698015,71.24775077,
332,2012,Joe Webb,32.9,-4.2,199,45.44782609,0,152,43.9,63,73.52860382,70.9449003,64.37175369,
394,2012,Matt Cassel,56.7,0.293634497,230,64.76606761,277,1743,64.1,269,73.52860382,68.81904458,63.79506247,
403,2012,Matt Ryan,88.2,-2.707049966,3,79.80094477,615,2022,79.3,566,73.52860382,77.12959002,79.4702622,
414,2012,Matt Schaub,73.3,1.186173854,90,80.49395081,544,2145,78.5,292,73.52860382,77.62755287,75.81421615,
422,2012,Matthew Stafford,73.6,-5.43394935,1,74.88620975,727,1136,76.1,663,73.52860382,74.11367223,77.20454048,
484,2012,Philip Rivers,64.1,0.731690623,4,81.80480542,527,3007,78.5,582,73.52860382,79.05035625,81.75688872,
513,2012,Ryan Fitzpatrick,54,-0.229295003,250,65.47942889,505,1609,65.5,569,73.52860382,69.36291631,67.34933701,
544,2012,Tom Brady,90,5.079397673,199,86.17217355,637,2773,87.7,611,73.52860382,81.73375684,82.24244205,
56,2012,Tyrod Taylor,68.2,-6.920602327,180,64,29,1,64,1,73.52860382,73.52225565,66.83103793,
29,2013,Aaron Rodgers,85.8,-0.250513347,24,90.37021722,290,2649,89.7,552,73.52860382,84.2814199,86.94185854,
37,2013,Alex Smith,69.8,-0.680355921,1,71.10968159,508,2012,68,218,73.52860382,72.14282036,70.21640558,
4,2013,Andrew Luck,77.5,-6.030116359,1,66.7,570,627,66.7,627,73.52860382,71.51565855,73.93721941,
53,2013,Andy Dalton,70.6,-4.15742642,35,63.3599297,586,1044,63.7,528,73.52860382,69.3556102,69.9866552,
65,2013,Ben Roethlisberger,83.3,1.501711157,11,83.40996866,584,3199,86,449,73.52860382,80.25567046,81.55594006,
71,2013,Blaine Gabbert,38.6,-6.120465435,10,49.94545907,86,691,58.3,278,73.52860382,66.09092558,64.02930025,
103,2013,Brian Hoyer,73.6,-2.114989733,260,47.85753986,96,96,47.3,53,73.52860382,71.98447967,64.53951583,
11,2013,Brock Osweiler,58.8,-7.223819302,7,59.4,16,4,59.4,4,73.52860382,73.49102775,69.31364129,
131,2013,Cam Newton,73.2,-5.690622861,1,71.16423996,473,1002,72.4,485,73.52860382,72.58172429,73.58535486,
164,2013,Chad Henne,58.5,-1.83,57,57.17950299,503,1373,53.1,308,73.52860382,65.71540666,63.2620439,
172,2013,Chase Daniel,61,-3.097878166,260,53.71371841,38,9,65,1,73.52860382,73.41042359,65.5580782,
192,2013,Colt McCoy,56.2,-3.01026694,85,56.99251763,1,702,39.5,17,73.52860382,68.25688152,62.5341341,
215,2013,Derek Anderson,55.1,0.214921287,31,49.84782531,0,1440,54.7,4,73.52860382,61.92985516,56.15891629,
245,2013,Drew Brees,84.5,4.628336756,32,87.13553658,650,4340,85.1,670,73.52860382,83.64060522,87.39089178,
265,2013,Eli Manning,68.7,2.65982204,1,80.6878669,551,3703,78.7,536,73.52860382,78.62388561,80.83080626,
324,2013,Joe Flacco,67.4,-1.375770021,18,71.59310431,614,2489,73.3,531,73.52860382,72.32091812,73.54883752,
333,2013,Joe Webb,50.5,-3.2,199,45.44782609,0,152,32.9,0,73.52860382,70.9449003,63.6915814,
345,2013,Josh McCown,86.4,4.162902122,81,48.53347115,224,251,0,0,73.52860382,69.94563506,64.27922066,
361,2013,Kirk Cousins,51.4,-4.965092402,102,80.9,155,48,80.9,48,73.52860382,73.75717424,68.71908393,
395,2013,Matt Cassel,64.1,1.293634497,230,59.39145014,254,2020,56.7,277,73.52860382,65.4158054,60.1105764,
404,2013,Matt Ryan,76.6,-1.707049966,3,85.86448003,651,2637,88.2,615,73.52860382,81.39171853,84.72180883,
415,2013,Matt Schaub,58.6,2.186173854,90,74.92550469,358,2689,73.3,544,73.52860382,74.42530147,74.98674662,
423,2013,Matthew Stafford,80.1,-4.43394935,1,73.89641862,634,1863,73.6,727,73.52860382,73.73236206,77.47300985,
46,2013,Nick Foles,78.2,-5.386721424,88,56.5,317,265,56.5,265,73.52860382,70.97190126,68.17684467,
485,2013,Philip Rivers,88.2,1.731690623,4,69.66745131,544,3534,64.1,527,73.52860382,70.81797351,72.04144259,
49,2013,Robert Griffin III,65.7,-6.45,2,81.4,456,393,81.4,393,73.52860382,75.16276055,75.43756416,
50,2013,Russell Wilson,83.8,-5.244353183,3,90.5,407,393,90.5,393,73.52860382,77.05198401,77.51649849,
514,2013,Ryan Fitzpatrick,68.1,0.770704997,250,57.47825021,350,2114,54,505,73.52860382,64.13999078,60.87126226,
52,2013,Ryan Tannehill,80.4,-4.902121834,8,69.4,588,484,69.4,484,73.52860382,72.52142426,73.40720317,
545,2013,Tom Brady,78.8,6.079397673,199,88.93764045,628,3410,90,637,73.52860382,84.23019545,85.28925205,
561,2013,Tyrod Taylor,61.1,-5.920602327,180,68.15699659,5,30,68.2,29,73.52860382,73.42327819,67.02366771,
210,2014,Aaron Rodgers,93.4,0.749486653,24,87.81807179,520,2939,85.8,290,73.52860382,82.98946131,82.68168954,
310,2014,Alex Smith,72.9,0.319644079,1,70.04676178,464,2520,69.8,508,73.52860382,71.34595657,72.46441634,
44,2014,Andrew Luck,79.4,-5.030116359,1,74.82030075,616,1197,77.5,570,73.52860382,74.10189311,76.18742513,
55,2014,Andy Dalton,66.5,-3.15742642,35,68.72470791,481,1630,70.6,586,73.52860382,71.02689445,72.46466198,
66,2014,Ben Roethlisberger,86.4,2.501711157,11,83.32773945,608,3783,83.3,584,73.52860382,80.54547494,83.33456127,
72,2014,Blaine Gabbert,55,-5.120465435,10,45.22207484,7,777,38.6,86,73.52860382,63.86932713,59.49481867,
104,2014,Brian Hoyer,58.9,-1.114989733,260,69.80226038,438,192,73.6,96,73.52860382,73.10575634,66.24615741,
111,2014,Brock Osweiler,61.5,-6.223819302,7,58.84186047,10,20,58.8,16,73.52860382,73.3353572,69.27071183,
